video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,28
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,1
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,43
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,27
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,31
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,2
571mul470r-OhhhhhhBama392.xml,42,the_environment,11
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,2
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,3
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,35
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,26
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,9
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,26
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,3
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,29
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,26
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,23
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,21
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,20
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,26
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,9
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,7
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,13
Aaronjupiter-MuscleUp759.xml,90,documentary,20
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,49
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,9
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,23
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,8
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,35
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,35
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,35
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,23
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,21
Acnethai-414.xml,2,health,3
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,1
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,13
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,62,music_and_entertainment,13
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,19,default_category,13
Adobedreamer-ApplicationWorkspaceOverview128.xml,5,educational,20
Adobedreamer-Basics313.xml,54,educational,20
Adobedreamer-CleaningUpYourCode369.xml,6,technology,20
Adobedreamer-CodeToolbar161.xml,5,educational,20
Adobedreamer-ConstructionOfABasicWebsite690.xml,78,educational,20
Adobedreamer-CoveredInTisCourse132.xml,1,educational,21
Adobedreamer-CreatingNewPages952.xml,9,technology,34
Adobedreamer-DreamweaverViewOptions911.xml,10,educational,3
Adobedreamer-HowToCreateAnEmailLink283.xml,6,technology,12
Adobedreamer-HTMLTutorial576.xml,37,educational,20
Adobedreamer-Introduction127.xml,1,educational,3
Adobedreamer-TheBasics983.xml,12,educational,7
Adobedreamer-TheDocumentToolbar845.xml,19,web_development_and_sites,4
Adobedreamer-TheInsertBar208.xml,3,web_development_and_sites,12
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,95,technology,20
Adobedreamer-TheStructureOfXMLCode806.xml,7,technology,23
Adobedreamer-using_mysql_admin852.xml,16,technology,23
Adobedreamer-WhatIsMySQL343.xml,2,technology,15
Adobedreamer-XMLBasics582.xml,8,technology,15
Adobefireworks-BlurDodgeAndSharpen840.xml,3,educational,15
Adobefireworks-BrushPreserve315.xml,1,educational,3
Adobefireworks-FireworksSmartWebIntergration409.xml,28,educational,23
Adobefireworks-ImageMasks896.xml,3,educational,3
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,14,educational,23
Adobefireworks-WorkingWithLayersCS3Style263.xml,9,educational,23
Adventcalendar-December15th618.xml,2,educational,47
Adventcalendar-December17th902.xml,2,default_category,31
Adventcalendar-December18th499.xml,2,educational,8
Aerobroken-ABNRockUpdate11072008WS229.xml,2,music_and_entertainment,13
Aerobroken-ABNRockUpdate11212008339.xml,4,music_and_entertainment,13
Aerobroken-ABNRockUpdate12052008776.xml,2,music_and_entertainment,9
Agaelebe-14EDTEDCarlosBrando444.xml,5,conferences_and_other_events,26
Agaelebe-ResultsONDayAleksandarMandic715.xml,17,conferences_and_other_events,29
Agaelebe-RubyRailsNoMundoRealFbioKung992.xml,2,default_category,1
Agahran-ClosetCollapsePart1534.xml,1,personal_or_auto-biographical,13
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,71,business,20
AGORANEWS3-Villaverde01175.xml,9,citizen_journalism,31
AGORAVIDEOS4-animalesNocturnosEnElESTAS405.xml,4,default_category,17
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,70,politics,20
AlanTaylor925-ALANANDREWTAYLORFILMMAKERSHOWREEL915.xml,14,personal_or_auto-biographical,31
AlanTaylor925-AloneShortFilm417.xml,32,movies_and_television,13
AlanTaylor925-EdinburghFestivalCavalcade544.xml,17,music_and_entertainment,13
AlanTaylor925-EdinburghFestivalFringe114.xml,39,comedy,13
AlanTaylor925-FalklandsWarRemembrance209.xml,78,educational,13
AlanTaylor925-LastVoyageOfTheQE2755.xml,17,school_and_education,23
ALAOIF-CoryDoctorowPrivacyIsItTimeForARevolution901.xml,3,conferences_and_other_events,13
Alawash-PalReveresOrBenedictArnoldsWhistleblowingInThePost911Ag621.xml,6,conferences_and_other_events,9
Albarra-12_2_29518.xml,1,default_category,3
Albarra-12_2_41158.xml,1,default_category,47
Albarra-12_2_56990.xml,1,default_category,47
Albarra-3_4637.xml,1,educational,6
Albarra-A1_4865.xml,1,default_category,47
Albarra-activity2_1946.xml,5,educational,18
Albarra-AlbarraR3_3_1to3911904.xml,1,default_category,4
Albarra-latexshort711.xml,18,default_category,19
Albarra-limitCalculusMathDerivativeTangentLineLinearEquationInte958.xml,1,default_category,6
Albarra-MA123Set005Part3124.xml,3,default_category,6
Albarra-MeanValueTheorem1456.xml,3,educational,6
Albarra-MeanValueTheorem2541.xml,10,educational,6
Albarra-part12675.xml,1,default_category,47
Albarra-part5590.xml,14,default_category,23
Albarra-Problem12217124.xml,1,default_category,6
Albarra-Problem12315755.xml,2,educational,6
Albarra-Problem12322851.xml,2,educational,6
Albarra-Problem1234514.xml,2,educational,6
Albarra-QuranPart1_2ndversion977.xml,3,educational,6
Albarra-QuranPart2675.xml,14,educational,29
Albarra-QuranPart5845.xml,22,educational,18
Albarra-Review3SectionIProblem6397.xml,1,default_category,36
Albarra-Set007Problem10354.xml,1,default_category,47
Albarra-Set007Problem15207.xml,5,default_category,9
Albarra-Set007Problem2326.xml,4,default_category,47
Albarra-Set007Problem6316.xml,1,default_category,47
Albarra-Set007Problem7852.xml,2,default_category,47
Albarra-Set007Problem8407.xml,3,default_category,11
Albarra-SubtractionMadeEasy779.xml,2,default_category,34
Albarra-whs2_1932.xml,15,educational,34
Alecmuffett-ITFuturologyWhatCouldHappenToTheWebBy2012423.xml,18,technology,23
Alecmuffett-Reuse20563.xml,4,default_category,34
Alefarendsen-SpringSourceToolSuiteErrorAnalysis486.xml,1,default_category,9
Alexodam-NameCompetition565.xml,5,technology,8
Alfocus-BannedBooksWeekIdLikeToFindBLEEP872.xml,24,default_category,31
Alfocus-FreedomToReadFoundationMidwinterAuthorEventFeaturingLaur843.xml,2,default_category,43
AliaK-NaVloPoMo26Day26SultanAhmetHagiaSofia834.xml,14,travel,22
AliaK-VloMo08Day3PalmBeachSydney662.xml,2,travel,42
Alienbabeltech-JohnCarmackCriticizesPhysX861.xml,1,gaming,21
Alleyno-EP33TheZeigtgeistMovementDontMindTheMenBehindTheCurt802.xml,49,documentary,30
Allusel-AquaticaTheUnderwaterAdventure954.xml,7,gaming,31
Amberlrhea-ThanksForTheMemoriesNowGetOutOfMyClosetEpisode3696.xml,2,personal_or_auto-biographical,41
AmnestyVlaanderen-AnnVanElsen532.xml,2,default_category,10
AmnestyVlaanderen-BartPeetersSteuntSharifOmarEnZijnDorpJayyus321.xml,1,default_category,4
AmnestyVlaanderen-GeertHosteSteuntAungSanSuuKyi704.xml,2,default_category,7
Andersonuniversity-SimManDedication503.xml,13,educational,23
Andmau-Brujitas947.xml,1,default_category,16
Andrekleinnett-DSCN0070250.xml,1,default_category,46
Andrekleinnett-DSCN1137531.xml,1,default_category,16
Andrekleinnett-R9D091495.xml,1,default_category,22
Andresworld-BigSamsFunkyNationLiveAtCargo338.xml,5,music_and_entertainment,22
Andresworld-PablosFinestHourVantagePoint725.xml,1,music_and_entertainment,2
Andresworld-PetestockTheGrandTour834.xml,53,music_and_entertainment,26
Andresworld-TheSecretOfAMojito234.xml,7,personal_or_auto-biographical,36
Anglicantv-ACC14FridayVideoTape1Part1338.xml,6,religion,9
Anglicantv-ACC14FridayVideoTape1Part2527.xml,5,religion,9
Anglicantv-ACNA2009PressConference187.xml,7,religion,24
Anglicantv-AMW2009TeachingThree610.xml,11,religion,21
Anglicantv-AnglicanReport1FromGenCon2009156.xml,6,religion,7
Anglicantv-ArchbishopDucansSermon486.xml,5,religion,21
Anglicantv-BihsopDucanSpeaksToTheInauguralAssemblyOfACNA687.xml,3,religion,13
Anglicantv-FCA2009ArchbishopVenables921.xml,5,religion,7
Anglicantv-FCA2009BishopBenn159.xml,3,religion,1
Anglicantv-FCA2009InterviewWithArchbishopJensenAndArchbishopVeneabl988.xml,4,religion,7
Anglicantv-FCA2009RevRoberts569.xml,4,religion,7
Anglicantv-RickWarrenWelcome39thProvinceOfAnglicanChurch482.xml,49,religion,26
Anham-linkfluenceLinkspreadOrangeIPhone3GFr960.xml,12,business,18
AnimalTVorg-movie_100357.xml,17,default_category,4
AnimalTVorg-movie_107997.xml,4,default_category,8
AnimalTVorg-movie_125153.xml,14,default_category,19
AnimalTVorg-movie_20361.xml,8,documentary,45
AnimalTVorg-movie_84755.xml,30,default_category,23
AnimalTVorg-movie_85664.xml,11,default_category,45
Annexdshow-AnnexdShortsCarlsImpressions905.xml,21,comedy,43
Ansmtug-VMwareManagementWithPowerShell173.xml,86,technology,20
Antonwithagen-Wired665.xml,50,documentary,1
Apfelphone-SpecialEvent2009In7Minutes353.xml,57,videoblogging,7
Appshow-AppShow1727.xml,9,default_category,23
Aptureinc-AptureGettingStartedVideo373.xml,25,technology,23
Aptureinc-ApturePlatformTour870.xml,35,default_category,23
Aptureinc-OpenCongressBrowserWithIntegratedYouTubeChannelsAndTwitt197.xml,6,politics,42
ArahanClaveau-BeyondHuman746.xml,4,art,13
Aramistech-3TipsForYoutubeAndYourBlog218.xml,22,technology,4
Aramistech-AsusEeepc1005HAReview559.xml,6,technology,13
Aramistech-ChoosingTheRightMonitor697.xml,3,technology,13
Aramistech-ChoosingTheRightMP3Player813.xml,3,technology,49
Aramistech-FlipVideoCamcorderRecordYourself153.xml,14,technology,4
Aramistech-LCDOrPlasma881.xml,4,technology,9
Aramistech-PimpYourMacMiniPart1405.xml,6,technology,1
Aramistech-PlanetOfTheJelliesGame983.xml,3,gaming,11
Aramistech-RegistryCleanerFix597.xml,10,technology,25
Aramistech-RemoteAccessAnywhereFREEOnTheIphonePART2475.xml,12,technology,48
Aramistech-TaurusMillenniumProPT140Part2805.xml,4,technology,1
Aramistech-UpgradingYourMotherboard513.xml,3,technology,15
Aramistech-WatchNetflixOnYourTVAndInYourCar936.xml,9,technology,40
Aramistech-WirelessNForYourMacMini850.xml,8,technology,1
Aramistech-ZuneOrIpod123.xml,5,technology,1
ArchiveTVClassics-BH02_Getting_Settled_512kb315.xml,83,movies_and_television,20
