video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,10
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,7
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,22
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,35
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,6
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,27
571mul470r-OhhhhhhBama392.xml,42,the_environment,3
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,33
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,41
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,3
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,41
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,9
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,7
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,18
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,30
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,47
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,47
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,69
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,12
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,41
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,36
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,52
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,29
Aaronjupiter-MuscleUp759.xml,90,documentary,50
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,59
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,9
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,37
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,11
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,3
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,8
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,3
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,37
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,3
Acnethai-414.xml,2,health,41
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,22
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,48
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,62,music_and_entertainment,48
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,19,default_category,29
Adobedreamer-ApplicationWorkspaceOverview128.xml,5,educational,41
Adobedreamer-Basics313.xml,54,educational,12
Adobedreamer-CleaningUpYourCode369.xml,6,technology,47
Adobedreamer-CodeToolbar161.xml,5,educational,12
Adobedreamer-ConstructionOfABasicWebsite690.xml,78,educational,12
Adobedreamer-CoveredInTisCourse132.xml,1,educational,69
Adobedreamer-CreatingNewPages952.xml,9,technology,49
Adobedreamer-DreamweaverViewOptions911.xml,10,educational,51
Adobedreamer-HowToCreateAnEmailLink283.xml,6,technology,44
Adobedreamer-HTMLTutorial576.xml,37,educational,12
Adobedreamer-Introduction127.xml,1,educational,18
Adobedreamer-TheBasics983.xml,12,educational,53
Adobedreamer-TheDocumentToolbar845.xml,19,web_development_and_sites,46
Adobedreamer-TheInsertBar208.xml,3,web_development_and_sites,47
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,95,technology,12
Adobedreamer-TheStructureOfXMLCode806.xml,7,technology,58
Adobedreamer-using_mysql_admin852.xml,16,technology,58
Adobedreamer-WhatIsMySQL343.xml,2,technology,40
Adobedreamer-XMLBasics582.xml,8,technology,40
Adobefireworks-BlurDodgeAndSharpen840.xml,3,educational,59
Adobefireworks-BrushPreserve315.xml,1,educational,47
Adobefireworks-FireworksSmartWebIntergration409.xml,28,educational,58
Adobefireworks-ImageMasks896.xml,3,educational,18
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,14,educational,58
Adobefireworks-WorkingWithLayersCS3Style263.xml,9,educational,58
Adventcalendar-December15th618.xml,2,educational,25
Adventcalendar-December17th902.xml,2,default_category,34
Adventcalendar-December18th499.xml,2,educational,11
Aerobroken-ABNRockUpdate11072008WS229.xml,2,music_and_entertainment,48
Aerobroken-ABNRockUpdate11212008339.xml,4,music_and_entertainment,48
Aerobroken-ABNRockUpdate12052008776.xml,2,music_and_entertainment,0
Agaelebe-14EDTEDCarlosBrando444.xml,5,conferences_and_other_events,41
Agaelebe-ResultsONDayAleksandarMandic715.xml,17,conferences_and_other_events,32
Agaelebe-RubyRailsNoMundoRealFbioKung992.xml,2,default_category,59
Agahran-ClosetCollapsePart1534.xml,1,personal_or_auto-biographical,56
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,71,business,50
AGORANEWS3-Villaverde01175.xml,9,citizen_journalism,16
AGORAVIDEOS4-animalesNocturnosEnElESTAS405.xml,4,default_category,10
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,70,politics,8
AlanTaylor925-ALANANDREWTAYLORFILMMAKERSHOWREEL915.xml,14,personal_or_auto-biographical,6
