video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,1,technology,313
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,1,documentary,17
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,1,documentary,8
1801Media-iPhone3GWhatDoPeopleKnow259.xml,1,default_category,199
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,1,music_and_entertainment,17
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,15
571mul470r-OhhhhhhBama392.xml,1,the_environment,61
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,284
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,1,default_category,10
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,1,religion,0
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,1,religion,335
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,0
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,1,religion,0
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,0
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,0
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,1,religion,0
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,1,religion,5
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,1,religion,8
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,1,religion,236
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,1,religion,335
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,1,religion,182
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,1,religion,0
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,1,videoblogging,8
Aaronjupiter-MuscleUp759.xml,1,documentary,47
ABCNewspapers-BlackBeltGranny347.xml,1,the_mainstream_media,21
ABCNewspapers-ChemnitzerConcertina100.xml,1,the_mainstream_media,10
Abird-ThrownFromTheHolidayTrain826.xml,1,default_category,125
AbsoluteDisaster-CraigTheWerewolf1753.xml,1,comedy,363
ACDigest-AnnapolisCityDigest103551.xml,1,default_category,4
ACDigest-AnnapolisCityDigest107788.xml,1,default_category,44
ACDigest-AnnapolisCityDigest108396.xml,1,default_category,2
AceWebsites-HowToFindAndInstallATheme591.xml,1,default_category,16
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,1,technology,32
Acnethai-414.xml,1,health,8
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,1,health,10
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,1,default_category,75
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,1,music_and_entertainment,41
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,1,default_category,22
Adobedreamer-ApplicationWorkspaceOverview128.xml,1,educational,1
Adobedreamer-Basics313.xml,1,educational,268
Adobedreamer-CleaningUpYourCode369.xml,1,technology,1
Adobedreamer-CodeToolbar161.xml,1,educational,0
Adobedreamer-ConstructionOfABasicWebsite690.xml,1,educational,268
Adobedreamer-CoveredInTisCourse132.xml,1,educational,280
Adobedreamer-CreatingNewPages952.xml,1,technology,52
Adobedreamer-DreamweaverViewOptions911.xml,1,educational,16
Adobedreamer-HowToCreateAnEmailLink283.xml,1,technology,228
Adobedreamer-HTMLTutorial576.xml,1,educational,5
Adobedreamer-Introduction127.xml,1,educational,109
Adobedreamer-TheBasics983.xml,1,educational,0
Adobedreamer-TheDocumentToolbar845.xml,1,web_development_and_sites,50
Adobedreamer-TheInsertBar208.xml,1,web_development_and_sites,76
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,1,technology,236
Adobedreamer-TheStructureOfXMLCode806.xml,1,technology,1
Adobedreamer-using_mysql_admin852.xml,1,technology,2
Adobedreamer-WhatIsMySQL343.xml,1,technology,30
Adobedreamer-XMLBasics582.xml,1,technology,2
Adobefireworks-BlurDodgeAndSharpen840.xml,1,educational,10
Adobefireworks-BrushPreserve315.xml,1,educational,109
Adobefireworks-FireworksSmartWebIntergration409.xml,1,educational,1
Adobefireworks-ImageMasks896.xml,1,educational,10
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,1,educational,1
Adobefireworks-WorkingWithLayersCS3Style263.xml,1,educational,0
Adventcalendar-December15th618.xml,1,educational,63
Adventcalendar-December17th902.xml,1,default_category,13
Adventcalendar-December18th499.xml,1,educational,28
Aerobroken-ABNRockUpdate11072008WS229.xml,1,music_and_entertainment,29
Aerobroken-ABNRockUpdate11212008339.xml,1,music_and_entertainment,10
Aerobroken-ABNRockUpdate12052008776.xml,1,music_and_entertainment,29
Agaelebe-14EDTEDCarlosBrando444.xml,1,conferences_and_other_events,8
Agaelebe-ResultsONDayAleksandarMandic715.xml,1,conferences_and_other_events,108
Agaelebe-RubyRailsNoMundoRealFbioKung992.xml,1,default_category,5
Agahran-ClosetCollapsePart1534.xml,1,personal_or_auto-biographical,10
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,1,business,3
AGORANEWS3-Villaverde01175.xml,1,citizen_journalism,56
AGORAVIDEOS4-animalesNocturnosEnElESTAS405.xml,1,default_category,17
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,1,politics,2
AlanTaylor925-ALANANDREWTAYLORFILMMAKERSHOWREEL915.xml,1,personal_or_auto-biographical,83
AlanTaylor925-AloneShortFilm417.xml,1,movies_and_television,35
