cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,12,12,0,23,1,5,10,1,0,1,0,13,0,4,0,12,10,6,0,2,0,0,7,19,3,0
cluster11,5,5,0,41,0,12,0,0,0,1,1,1,24,4,0,0,4,12,0,1,0,0,2,1,2,12
cluster12,2,24,0,2,0,6,2,0,0,9,0,0,0,1,0,0,0,2,0,0,3,0,0,1,2,3
cluster13,1,19,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0
cluster14,0,13,0,2,14,1,9,0,0,0,0,0,0,0,0,0,1,0,0,86,0,0,0,6,1,0
cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
cluster16,0,15,0,12,2,24,12,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,2,25,8
cluster17,4,0,0,17,0,0,4,0,0,2,2,0,2,4,0,2,3,1,0,0,0,0,0,7,1,12
cluster18,89,23,0,39,6,19,19,3,1,1,0,0,3,6,0,6,1,9,0,0,3,0,9,36,3,0
cluster19,9,2,0,11,0,2,0,0,0,1,0,0,1,7,0,1,3,7,0,0,0,0,2,6,2,6
cluster30,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
cluster31,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
cluster-1,2116,4779,424,4813,2168,3681,2784,362,466,2717,317,1539,911,2014,238,809,952,1450,169,480,699,34,1594,5768,1763,1829
cluster29,0,0,0,24,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2,0
cluster28,0,0,1,82,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster21,0,0,0,58,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,3,0,0,0,4,0,0
cluster20,0,0,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,0
cluster23,0,0,1,0,0,24,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cluster22,0,0,0,0,0,1,0,0,0,0,75,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0
cluster25,4,1,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0
cluster24,0,9,0,4,0,0,0,0,0,2,2,1,1,0,0,0,0,2,0,0,0,0,3,8,1,1
cluster27,0,5,0,4,0,0,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1
cluster26,2,0,0,15,0,1,0,0,0,1,2,0,3,8,0,0,2,1,0,0,0,0,2,2,0,0
cluster8,4,19,0,26,11,131,8,0,4,1,7,9,1,3,0,28,0,14,1,4,2,0,15,18,3,0
cluster9,45,8,1,17,11,25,14,0,4,3,0,2,0,2,0,25,10,8,0,4,0,0,11,24,3,0
cluster2,7,92,0,22,0,3,1,0,0,34,3,12,7,4,0,1,2,4,0,2,20,0,14,9,12,12
cluster3,9,45,0,14,4,4,6,0,5,36,0,6,0,2,0,0,1,0,0,0,1,0,7,8,4,8
cluster0,1301,1949,83,6576,955,1422,1091,113,127,1540,1023,899,488,346,29,134,176,407,45,160,217,0,901,2706,597,627
cluster1,1168,1242,148,11191,462,3000,1604,38,21,530,82,2976,728,1649,15,81,648,562,22,158,787,10,347,2825,183,613
cluster6,0,0,6,1,0,20,37,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0
cluster7,4,176,0,6,0,4,2,0,5,19,0,8,36,5,1,0,5,5,0,0,5,0,3,12,9,11
cluster4,2,27,0,0,4,4,2,0,1,10,0,1,0,0,0,0,0,1,0,0,1,0,0,12,2,4
cluster5,1,52,0,1,2,3,2,3,1,15,0,2,0,1,0,1,0,6,0,0,8,0,1,4,3,15
