cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,323,386,80,2926,219,1548,755,17,22,50,63,289,554,536,16,53,312,150,3,86,252,13,164,1166,108,63
cluster11,68,213,8,99,67,79,40,12,4,67,13,49,16,51,1,13,19,49,2,4,15,0,53,186,46,105
cluster12,15,74,6,258,126,68,83,1,31,35,1,44,34,14,7,2,31,121,83,34,16,0,42,157,99,64
cluster13,166,122,12,137,64,143,201,17,12,38,20,22,17,22,7,28,18,95,4,3,9,0,50,240,39,17
cluster14,71,215,3,184,46,87,30,10,14,82,5,22,8,156,1,1,23,28,0,9,46,0,30,154,72,80
cluster15,140,190,1,216,38,95,31,6,11,116,12,25,57,165,0,9,16,17,0,3,47,0,43,122,51,81
cluster16,232,975,11,263,165,118,268,17,26,135,2,238,102,168,15,15,86,165,1,115,45,0,69,323,65,181
cluster17,19,23,10,378,64,51,22,2,62,7,8,2,48,43,2,2,2,12,0,31,11,0,1,149,25,30
cluster18,85,114,0,172,21,26,13,2,4,37,0,16,1,129,0,0,21,10,0,1,9,0,25,75,18,66
cluster19,223,729,28,483,273,185,166,32,41,376,81,114,33,138,10,112,66,123,5,22,33,0,273,423,159,204
cluster29,0,0,0,0,4,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0
cluster28,56,139,1,107,46,42,48,8,7,42,7,28,29,41,1,26,31,46,0,12,5,0,20,155,31,92
cluster21,1263,1845,31,539,567,276,288,100,139,1718,17,432,103,181,17,64,51,343,2,28,115,0,647,1583,388,550
cluster20,69,127,1,136,38,54,12,12,10,65,3,18,65,91,0,7,23,21,0,4,31,0,13,68,13,44
cluster23,112,133,4,243,86,255,171,24,23,99,34,49,13,39,10,117,33,81,2,26,24,0,83,275,87,68
cluster22,23,34,1,2,8,26,9,0,4,65,1,3,0,18,2,4,0,14,15,5,4,0,22,81,64,42
cluster25,38,203,6,121,37,55,41,10,6,20,4,55,18,39,0,9,22,19,1,2,13,0,26,87,13,70
cluster24,172,503,3,522,72,52,61,5,13,155,15,58,80,285,2,12,33,26,0,10,114,1,37,287,72,124
cluster27,138,240,90,1174,192,1205,645,42,12,69,33,547,70,292,13,45,224,73,13,109,407,8,107,696,83,44
cluster26,72,194,5,172,66,66,48,6,4,36,1,33,30,64,0,11,17,60,5,14,16,0,29,86,20,88
cluster8,97,110,45,205,121,238,256,33,32,112,83,91,37,53,32,94,38,44,30,39,23,7,92,347,134,46
cluster9,84,124,66,142,98,461,231,31,29,156,39,25,8,40,28,98,22,111,7,40,17,0,107,449,121,36
cluster2,167,283,25,198,159,248,264,14,13,234,16,129,55,107,37,33,83,122,0,51,94,2,118,405,129,102
cluster3,211,317,66,1039,80,515,413,38,4,203,0,2112,37,254,7,15,149,130,5,22,86,1,115,522,67,188
cluster0,253,272,41,5098,75,534,263,17,2,226,5,399,105,391,3,18,191,210,4,32,34,0,135,721,34,309
cluster1,115,270,59,6081,399,1188,862,8,15,67,934,510,386,182,1,81,137,24,7,133,153,6,246,1286,253,147
cluster6,109,441,27,172,167,213,148,23,35,309,11,104,38,80,19,58,45,114,5,23,43,2,118,378,119,111
cluster7,220,93,23,144,176,385,143,23,30,268,93,18,17,78,20,137,42,117,8,22,12,4,118,474,101,62
cluster4,39,55,11,49,109,15,32,12,31,92,13,7,13,36,33,35,1,166,53,4,6,0,98,240,159,28
cluster5,217,93,1,1765,68,195,62,4,0,77,3,30,231,389,1,2,85,11,0,18,67,0,43,410,50,139
