category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,172,38,72,138,69,1263,23,112,56,0,115,253,211,167,217,39,220,109,84,97,68,323,166,15,140,71,19,232,223,85
movies_and_television,503,203,194,240,127,1845,34,133,139,0,270,272,317,283,93,55,93,441,124,110,213,386,122,74,190,215,23,975,729,114
web_development_and_sites,3,6,5,90,1,31,1,4,1,0,59,41,66,25,1,11,23,27,66,45,8,80,12,6,1,3,10,11,28,0
politics,522,121,172,1174,136,539,2,243,107,0,6081,5098,1039,198,1765,49,144,172,142,205,99,2926,137,258,216,184,378,263,483,172
sports,72,37,66,192,38,567,8,86,46,4,399,75,80,159,68,109,176,167,98,121,67,219,64,126,38,46,64,165,273,21
technology,52,55,66,1205,54,276,26,255,42,1,1188,534,515,248,195,15,385,213,461,238,79,1548,143,68,95,87,51,118,185,26
educational,61,41,48,645,12,288,9,171,48,4,862,263,413,264,62,32,143,148,231,256,40,755,201,83,31,30,22,268,166,13
religion,58,55,33,547,18,432,3,49,28,0,510,399,2112,129,30,7,18,104,25,91,49,289,22,44,25,22,2,238,114,16
travel,13,6,4,12,10,139,4,23,7,0,15,2,4,13,0,31,30,35,29,32,4,22,12,31,11,14,62,26,41,4
music_and_entertainment,155,20,36,69,65,1718,65,99,42,2,67,226,203,234,77,92,268,309,156,112,67,50,38,35,116,82,7,135,376,37
the_environment,15,4,1,33,3,17,1,34,7,0,934,5,0,16,3,13,93,11,39,83,13,63,20,1,12,5,8,2,81,0
school_and_education,5,10,6,42,12,100,0,24,8,0,8,17,38,14,4,12,23,23,31,33,12,17,17,1,6,10,2,17,32,2
health,80,18,30,70,65,103,0,13,29,0,386,105,37,55,231,13,17,38,8,37,16,554,17,34,57,8,48,102,33,1
citizen_journalism,285,39,64,292,91,181,18,39,41,1,182,391,254,107,389,36,78,80,40,53,51,536,22,14,165,156,43,168,138,129
personal_or_auto-biographical,2,0,0,13,0,17,2,10,1,0,1,3,7,37,1,33,20,19,28,32,1,16,7,7,0,1,2,15,10,0
food_and_drink,12,9,11,45,7,64,4,117,26,0,81,18,15,33,2,35,137,58,98,94,13,53,28,2,9,1,2,15,112,0
conferences_and_other_events,33,22,17,224,23,51,0,33,31,0,137,191,149,83,85,1,42,45,22,38,19,312,18,31,16,23,2,86,66,21
gaming,26,19,60,73,21,343,14,81,46,0,24,210,130,122,11,166,117,114,111,44,49,150,95,121,17,28,12,165,123,10
literature,0,1,5,13,0,2,15,2,0,0,7,4,5,0,0,53,8,5,7,30,2,3,4,83,0,0,0,1,5,0
business,10,2,14,109,4,28,5,26,12,0,133,32,22,51,18,4,22,23,40,39,4,86,3,34,3,9,31,115,22,1
the_mainstream_media,114,13,16,407,31,115,4,24,5,0,153,34,86,94,67,6,12,43,17,23,15,252,9,16,47,46,11,45,33,9
autos_and_vehicles,1,0,0,8,0,0,0,0,0,0,6,0,1,2,0,0,4,2,0,7,0,13,0,0,0,0,0,0,0,0
comedy,37,26,29,107,13,647,22,83,20,0,246,135,115,118,43,98,118,118,107,92,53,164,50,42,43,30,1,69,273,25
default_category,287,87,86,696,68,1583,81,275,155,2,1286,721,522,405,410,240,474,378,449,347,186,1166,240,157,122,154,149,323,423,75
videoblogging,72,13,20,83,13,388,64,87,31,1,253,34,67,129,50,159,101,119,121,134,46,108,39,99,51,72,25,65,159,18
documentary,124,70,88,44,44,550,42,68,92,0,147,309,188,102,139,28,62,111,36,46,105,63,17,64,81,80,30,181,204,66
