cluster,category,score
cluster10,citizen_journalism,0.28816230057120346
cluster11,autos_and_vehicles,0.16653635652853793
cluster12,citizen_journalism,0.17842323651452283
cluster13,travel,0.1596806387225549
cluster14,autos_and_vehicles,0.15613652868554828
cluster15,citizen_journalism,0.1447721179624665
cluster16,autos_and_vehicles,0.2565789473684211
cluster17,citizen_journalism,0.37649402390438247
cluster18,citizen_journalism,0.20355029585798817
cluster19,autos_and_vehicles,0.1682825484764543
cluster29,comedy,0.26666666666666666
cluster28,travel,0.15196078431372548
cluster21,autos_and_vehicles,0.16346239036059182
cluster20,citizen_journalism,0.14702702702702702
cluster23,travel,0.13151602104256338
cluster22,travel,0.18120805369127516
cluster25,autos_and_vehicles,0.22185792349726777
cluster24,citizen_journalism,0.19233603537214444
cluster27,conferences_and_other_events,0.18338152488205753
cluster26,autos_and_vehicles,0.16972878390201224
cluster8,travel,0.14227142271422713
cluster9,conferences_and_other_events,0.1793774319066148
cluster2,travel,0.13115284974093264
cluster3,health,0.32019405700424497
cluster0,citizen_journalism,0.5439607341015792
cluster1,citizen_journalism,0.4487822878228782
cluster6,autos_and_vehicles,0.15144230769230768
cluster7,travel,0.1676096181046676
cluster4,travel,0.17950635751682872
cluster5,citizen_journalism,0.4455945468316082
