cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
cluster10,226,782,22,443,355,220,181,34,61,372,18,197,49,147,27,190,109,147,14,23,41,2,282,567,217,176
cluster11,77,79,1,87,46,170,43,3,13,231,96,19,11,16,20,113,38,79,10,19,13,0,105,314,64,58
cluster12,148,300,3,309,120,101,41,17,17,89,8,41,88,156,0,17,37,76,5,17,50,0,39,152,35,124
cluster13,464,1167,13,373,247,219,193,32,80,1299,13,180,78,105,26,48,23,282,8,24,98,0,446,984,284,363
cluster14,81,119,27,129,86,337,115,13,28,147,34,27,10,24,29,101,21,104,8,24,17,0,109,347,102,32
cluster15,77,105,103,163,95,290,541,17,5,121,12,353,48,77,3,20,45,52,0,43,15,10,21,299,83,61
cluster16,166,500,4,503,71,36,54,5,13,153,15,55,68,269,2,12,35,24,0,9,121,1,35,279,68,117
cluster17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
cluster18,14,78,8,572,160,97,94,2,71,30,1,45,55,38,5,4,29,128,69,51,19,0,40,235,112,57
cluster19,200,284,23,1020,67,339,105,13,2,197,0,1996,32,242,4,12,97,140,5,14,89,0,58,448,60,159
cluster29,118,292,2,288,52,62,29,10,21,55,5,62,17,160,0,7,31,28,1,3,23,0,48,160,29,138
cluster28,222,969,4,250,154,78,162,13,23,131,2,199,96,145,14,15,77,138,0,109,41,0,65,283,56,171
cluster21,218,87,1,1749,68,180,59,3,0,78,3,30,234,397,1,2,83,9,0,17,53,0,43,407,57,148
cluster20,184,276,1,302,75,115,58,9,17,137,17,37,64,192,1,29,36,49,0,14,50,0,54,228,64,158
cluster23,166,123,7,134,64,108,162,18,12,37,18,22,20,27,7,29,17,93,4,1,9,0,49,221,38,19
cluster22,280,120,29,1003,227,739,275,19,17,80,19,194,330,145,25,34,54,44,0,58,82,13,84,343,83,42
cluster25,17,16,71,116,44,279,285,45,8,14,10,2,3,44,11,4,8,27,0,54,0,2,15,255,48,8
cluster24,89,190,41,764,183,699,295,49,15,89,26,389,60,107,9,39,95,26,6,69,99,8,99,329,79,40
cluster27,105,135,1,210,81,200,111,12,22,97,33,50,13,42,4,122,33,76,2,21,23,0,83,239,83,71
cluster26,35,82,5,11,51,36,19,0,20,127,2,5,0,33,6,19,0,84,53,2,4,0,73,168,118,46
cluster8,129,396,5,287,109,123,46,13,21,130,21,55,23,194,3,14,33,71,2,13,58,0,77,305,112,173
cluster9,99,357,18,1834,77,537,335,5,7,33,43,139,259,427,6,32,242,132,3,37,186,1,111,705,46,40
cluster2,155,24,21,68,142,234,108,26,19,68,8,5,8,68,9,34,9,41,3,5,3,4,22,195,53,22
cluster3,38,125,83,91,42,425,534,44,6,17,0,169,35,72,6,12,123,34,0,16,1,1,65,264,21,84
cluster0,936,1073,12,341,475,187,144,101,97,705,15,320,51,115,27,38,39,200,2,13,56,0,351,903,271,321
cluster1,131,248,10,375,76,367,201,4,8,152,27,293,32,243,32,30,151,136,6,66,398,1,104,508,77,90
cluster6,75,102,23,3130,271,40,413,9,13,43,1,116,1,35,3,17,71,20,1,4,12,0,76,758,37,24
cluster7,241,200,14,5042,61,345,168,4,2,215,4,343,91,376,3,15,143,196,5,28,33,0,120,594,33,271
cluster4,73,281,12,3014,133,1142,228,2,15,103,1065,116,399,167,2,90,60,53,47,122,144,0,238,595,246,165
cluster5,33,7,101,417,19,718,611,4,3,8,1,10,30,20,0,2,82,13,1,26,9,1,12,460,44,3
