video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,1,technology,42
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,1,documentary,43
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,1,documentary,36
1801Media-iPhone3GWhatDoPeopleKnow259.xml,1,default_category,15
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,1,music_and_entertainment,43
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,43
571mul470r-OhhhhhhBama392.xml,1,the_environment,33
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,17
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,1,default_category,39
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,1,religion,50
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,1,religion,50
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,50
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,1,religion,19
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,50
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,19
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,1,religion,19
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,1,religion,39
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,1,religion,36
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,1,religion,0
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,1,religion,50
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,1,religion,36
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,1,religion,19
