video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,42
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,16
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,40
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,11
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,19
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,13
571mul470r-OhhhhhhBama392.xml,42,the_environment,14
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,30
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,9
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,35
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,41
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,38
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,35
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,33
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,44
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,36
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,36
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,32
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,4
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,9
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,30
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,44
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,28
