category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,1,71,200,77,73,34,166,109,59,22,47,147,42,58,85,1216,236,160,277,2,150,68,86,115,228,38,140,79,0,111,72,63,161,48,39,51,102,76,69,19
movies_and_television,41,214,596,297,34,54,127,189,621,21,217,49,204,93,113,1741,502,186,354,37,237,212,132,134,262,15,189,61,0,210,193,75,63,135,204,38,440,78,127,22
web_development_and_sites,1,3,22,0,1,7,12,0,4,0,11,0,2,82,0,27,13,41,49,6,18,9,66,4,39,4,1,30,0,48,6,4,20,1,6,37,23,57,1,10
politics,64,180,330,188,9,38,139,343,68,2,151,1253,3454,206,172,523,352,941,1808,193,141,99,146,251,4991,66,219,148,0,997,173,539,86,107,121,1205,165,2648,135,374
sports,64,46,227,45,25,98,64,24,75,6,94,35,110,54,22,530,124,53,102,61,140,67,98,88,68,76,38,104,4,162,65,40,94,46,37,125,143,295,38,64
technology,11,86,137,16,69,13,147,32,48,15,83,104,1076,363,26,260,127,419,1302,66,206,80,464,259,513,81,95,168,1,994,67,108,253,39,55,221,203,116,51,50
educational,10,30,145,19,10,31,203,44,103,4,72,40,262,419,13,276,288,230,572,78,226,41,231,173,248,56,31,147,4,397,48,21,108,34,40,199,118,606,11,22
religion,0,22,93,29,5,6,22,23,73,3,45,15,113,446,15,411,411,1750,286,44,91,47,25,52,376,2,25,65,0,295,33,25,18,28,54,13,88,400,18,2
travel,0,14,36,9,5,23,12,4,25,3,25,0,2,5,4,133,3,4,15,31,11,4,30,23,2,15,11,18,0,7,4,0,14,7,6,10,30,19,10,62
music_and_entertainment,15,81,321,92,223,78,38,64,101,53,108,54,49,38,37,1588,71,187,30,27,223,68,156,100,215,52,116,161,2,49,36,24,59,36,20,22,256,35,65,8
the_environment,0,5,38,9,7,12,20,4,1,1,45,0,982,20,0,14,1,0,56,1,14,13,39,34,5,7,13,24,0,16,1,5,93,5,4,7,8,2,3,8
school_and_education,0,10,32,2,0,12,17,3,10,0,11,0,0,39,2,97,13,23,8,1,12,12,33,24,16,8,6,11,0,22,6,4,19,7,10,9,24,9,12,2
health,1,8,26,38,2,10,18,54,71,0,17,194,120,22,1,96,34,28,162,32,44,16,8,14,102,6,57,29,0,50,30,30,12,29,18,409,37,267,65,48
citizen_journalism,5,150,87,91,3,42,22,194,65,9,43,253,147,52,129,170,152,222,511,9,87,51,40,46,368,4,164,43,1,270,64,141,80,41,39,25,76,54,91,42
personal_or_auto-biographical,1,1,8,1,12,27,7,1,5,2,6,1,1,10,0,16,11,4,1,5,32,1,27,11,3,9,0,30,0,10,0,1,3,1,0,15,18,2,0,2
food_and_drink,1,1,106,6,9,34,29,6,1,0,47,1,64,27,0,59,20,11,40,2,24,13,102,122,12,40,9,46,0,25,11,0,97,21,9,23,52,22,7,2
conferences_and_other_events,15,23,51,11,10,0,18,23,44,0,22,57,59,109,21,47,60,119,294,15,73,19,21,34,184,12,16,28,0,150,17,28,22,31,21,22,41,79,23,2
gaming,7,28,98,14,51,161,95,12,65,13,46,6,14,35,10,321,154,91,150,114,108,50,111,81,196,39,17,37,0,55,61,5,40,44,20,2,101,18,21,11
literature,27,0,5,0,0,54,4,0,0,8,0,0,6,4,0,2,1,5,3,58,0,2,8,2,4,9,0,32,0,9,5,0,0,0,1,0,5,1,0,0
business,5,7,14,7,5,4,4,3,18,5,19,10,93,39,1,28,97,17,53,29,48,4,39,27,31,4,3,28,0,78,14,8,14,12,2,38,19,41,4,30
the_mainstream_media,12,46,24,83,9,5,9,27,21,4,25,24,133,57,9,100,36,76,151,4,81,15,18,24,27,3,47,16,0,361,16,53,9,4,13,109,32,23,31,10
autos_and_vehicles,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,3,0,1,0,0,4,0,7,0,5,0,0,0,0,0,11,0,6,0,0
comedy,32,30,236,22,57,92,50,15,26,15,88,32,201,82,25,625,68,76,100,15,96,53,110,85,130,19,43,34,0,66,30,11,59,20,26,69,116,57,12,1
default_category,59,153,374,78,168,220,241,194,157,62,137,250,759,273,75,1499,251,435,844,111,352,186,450,279,691,160,120,280,2,540,87,177,216,139,86,342,339,545,66,150
videoblogging,38,72,145,53,47,131,39,17,46,50,62,36,206,54,18,361,42,41,68,76,118,44,125,89,32,31,50,127,1,44,18,17,40,30,13,48,102,53,13,24
documentary,24,79,175,67,68,26,17,56,86,15,55,86,114,24,65,527,146,157,58,25,97,103,35,72,290,35,81,36,0,29,89,53,14,89,70,5,103,36,44,30
