cluster,category,score
cluster10,autos_and_vehicles,0.15952672378620972
cluster11,travel,0.1820289855072464
cluster12,citizen_journalism,0.15527638190954773
cluster13,food_and_drink,0.18428145836288834
cluster14,travel,0.16755190729116368
cluster15,default_category,0.2034599473486273
cluster16,citizen_journalism,0.19235181644359464
cluster17,travel,0.5
cluster18,citizen_journalism,0.2840119165839126
cluster19,health,0.3560470924009989
cluster29,autos_and_vehicles,0.17794028031687995
cluster28,autos_and_vehicles,0.2835820895522388
cluster21,citizen_journalism,0.44537815126050423
cluster20,citizen_journalism,0.1393631748961698
cluster23,travel,0.15729537366548044
cluster22,citizen_journalism,0.23115925328416687
cluster25,default_category,0.20562770562770563
cluster24,citizen_journalism,0.19619928094504366
cluster27,travel,0.12787586944890317
cluster26,travel,0.16816816816816818
cluster8,autos_and_vehicles,0.1641110650642354
cluster9,citizen_journalism,0.32113465242514444
cluster2,conferences_and_other_events,0.172821270310192
cluster3,default_category,0.231369150779896
cluster0,autos_and_vehicles,0.15795672015309878
cluster1,travel,0.13489113117365906
cluster6,citizen_journalism,0.591123701605288
cluster7,citizen_journalism,0.5899145899145899
cluster4,citizen_journalism,0.35408834586466165
cluster5,conferences_and_other_events,0.27248576850094874
