video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,14
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,2
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,23
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,1
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,18
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,23
571mul470r-OhhhhhhBama392.xml,42,the_environment,25
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,12
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,2
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,9
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,9
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,18
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,12
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,15
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,21
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,9
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,9
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,0
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,9
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,23
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,22
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,21
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,18
Aaronjupiter-MuscleUp759.xml,90,documentary,9
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,6
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,22
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,25
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,4
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,25
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,5
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,0
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,2
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,0
Acnethai-414.xml,2,health,23
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,23
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,18
