video,shot_number,category,cluster
10zenmonkeys-DearInternetImSorry675.xml,6,technology,43
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,20,documentary,408
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,3,documentary,241
1801Media-iPhone3GWhatDoPeopleKnow259.xml,17,default_category,38
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,4,music_and_entertainment,1
210tvmusic-VerityBandRawAndUncut354.xml,1,music_and_entertainment,431
571mul470r-OhhhhhhBama392.xml,42,the_environment,0
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,1,default_category,46
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,7,default_category,338
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,8,religion,258
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,5,religion,19
Aabbey1-DonnielHartmanGenesis1822970.xml,1,religion,1
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,3,religion,0
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,1,videoblogging,3
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,1,religion,44
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,3,religion,53
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,11,religion,245
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,5,religion,1
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,98,religion,407
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,3,religion,73
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,2,religion,412
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,5,religion,0
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,2,videoblogging,1
Aaronjupiter-MuscleUp759.xml,90,documentary,407
ABCNewspapers-BlackBeltGranny347.xml,4,the_mainstream_media,511
ABCNewspapers-ChemnitzerConcertina100.xml,2,the_mainstream_media,65
Abird-ThrownFromTheHolidayTrain826.xml,25,default_category,0
AbsoluteDisaster-CraigTheWerewolf1753.xml,11,comedy,7
ACDigest-AnnapolisCityDigest103551.xml,58,default_category,83
ACDigest-AnnapolisCityDigest107788.xml,73,default_category,0
ACDigest-AnnapolisCityDigest108396.xml,38,default_category,397
AceWebsites-HowToFindAndInstallATheme591.xml,41,default_category,0
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,13,technology,414
Acnethai-414.xml,2,health,338
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,7,health,189
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,79,default_category,1
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,62,music_and_entertainment,1
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,19,default_category,1
Adobedreamer-ApplicationWorkspaceOverview128.xml,5,educational,338
Adobedreamer-Basics313.xml,54,educational,338
Adobedreamer-CleaningUpYourCode369.xml,6,technology,404
Adobedreamer-CodeToolbar161.xml,5,educational,19
Adobedreamer-ConstructionOfABasicWebsite690.xml,78,educational,338
Adobedreamer-CoveredInTisCourse132.xml,1,educational,66
Adobedreamer-CreatingNewPages952.xml,9,technology,11
Adobedreamer-DreamweaverViewOptions911.xml,10,educational,404
Adobedreamer-HowToCreateAnEmailLink283.xml,6,technology,81
Adobedreamer-HTMLTutorial576.xml,37,educational,338
Adobedreamer-Introduction127.xml,1,educational,3
Adobedreamer-TheBasics983.xml,12,educational,0
Adobedreamer-TheDocumentToolbar845.xml,19,web_development_and_sites,20
Adobedreamer-TheInsertBar208.xml,3,web_development_and_sites,330
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,95,technology,407
Adobedreamer-TheStructureOfXMLCode806.xml,7,technology,404
Adobedreamer-using_mysql_admin852.xml,16,technology,404
Adobedreamer-WhatIsMySQL343.xml,2,technology,20
Adobedreamer-XMLBasics582.xml,8,technology,371
Adobefireworks-BlurDodgeAndSharpen840.xml,3,educational,74
Adobefireworks-BrushPreserve315.xml,1,educational,3
Adobefireworks-FireworksSmartWebIntergration409.xml,28,educational,0
Adobefireworks-ImageMasks896.xml,3,educational,3
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,14,educational,185
Adobefireworks-WorkingWithLayersCS3Style263.xml,9,educational,3
Adventcalendar-December15th618.xml,2,educational,30
Adventcalendar-December17th902.xml,2,default_category,9
Adventcalendar-December18th499.xml,2,educational,269
Aerobroken-ABNRockUpdate11072008WS229.xml,2,music_and_entertainment,1
Aerobroken-ABNRockUpdate11212008339.xml,4,music_and_entertainment,1
Aerobroken-ABNRockUpdate12052008776.xml,2,music_and_entertainment,1
Agaelebe-14EDTEDCarlosBrando444.xml,5,conferences_and_other_events,244
Agaelebe-ResultsONDayAleksandarMandic715.xml,17,conferences_and_other_events,99
Agaelebe-RubyRailsNoMundoRealFbioKung992.xml,2,default_category,144
Agahran-ClosetCollapsePart1534.xml,1,personal_or_auto-biographical,1
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,71,business,0
AGORANEWS3-Villaverde01175.xml,9,citizen_journalism,9
AGORAVIDEOS4-animalesNocturnosEnElESTAS405.xml,4,default_category,409
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,70,politics,0
AlanTaylor925-ALANANDREWTAYLORFILMMAKERSHOWREEL915.xml,14,personal_or_auto-biographical,1
AlanTaylor925-AloneShortFilm417.xml,32,movies_and_television,1
AlanTaylor925-EdinburghFestivalCavalcade544.xml,17,music_and_entertainment,1
AlanTaylor925-EdinburghFestivalFringe114.xml,39,comedy,1
AlanTaylor925-FalklandsWarRemembrance209.xml,78,educational,1
AlanTaylor925-LastVoyageOfTheQE2755.xml,17,school_and_education,20
ALAOIF-CoryDoctorowPrivacyIsItTimeForARevolution901.xml,3,conferences_and_other_events,25
Alawash-PalReveresOrBenedictArnoldsWhistleblowingInThePost911Ag621.xml,6,conferences_and_other_events,254
Albarra-12_2_29518.xml,1,default_category,58
Albarra-12_2_41158.xml,1,default_category,352
Albarra-12_2_56990.xml,1,default_category,30
Albarra-3_4637.xml,1,educational,59
Albarra-A1_4865.xml,1,default_category,30
Albarra-activity2_1946.xml,5,educational,514
Albarra-AlbarraR3_3_1to3911904.xml,1,default_category,14
Albarra-latexshort711.xml,18,default_category,18
