category,art,movies_and_television,web_development_and_sites,politics,sports,technology,educational,religion,travel,music_and_entertainment,the_environment,school_and_education,health,citizen_journalism,personal_or_auto-biographical,food_and_drink,conferences_and_other_events,gaming,literature,business,the_mainstream_media,autos_and_vehicles,comedy,default_category,videoblogging,documentary
art,734.7991364764559,720.5025867480223,719.4726247562933,750.1006275812309,709.1217302424512,766.622399749161,745.3664773746174,840.9454375054273,711.4834162149037,715.4196524747342,723.7953814055694,777.7017346743739,730.3399515518223,715.7136434247925,728.3327492198955,710.35964470271,789.3637807736782,803.8998247849289,822.6853406590238,792.6123127377577,765.7864109683521,722.3152810680165,729.239658696565,708.9167108709441,707.96292444107,721.8731465729234
movies_and_television,612.4583053397599,570.2581038993384,553.4741910446016,603.2689209294055,536.7201158160365,629.5054576744534,599.6447091692864,718.0136739576076,547.9009091345195,562.3721305568134,573.4937000747183,645.3204141471083,586.9356962838991,544.273024103077,575.4513121047378,537.1261525098618,659.8586786172685,746.2365782860245,699.7607739659767,662.8175260614253,627.8874647002533,554.1090090277572,591.4752790837151,533.7847705356388,535.4505168660081,576.719711113223
web_development_and_sites,794.8697542234306,714.8222139914743,518.0212509008502,474.42354006522737,613.5870697325511,455.9910495054967,468.65304874769777,467.97883028540184,652.9697055344931,690.3458520479054,710.3605310944713,451.58729857326887,732.4562428996468,540.5362127010748,497.0593912780407,611.1611038672293,454.0933461571658,999.6252393545194,469.9952419932725,450.0868554717545,459.7491965043679,532.3213634558044,753.1333605835121,591.0987462577701,590.0604995284926,726.0966760119463
politics,632.3483600121891,538.5369675127233,316.9305837671184,275.5389624285324,423.54622943765906,277.6050638963028,280.54117055035005,327.81560183136975,470.08990425584176,514.4303995508075,532.7562607217932,281.43385174672767,557.1019064246512,335.87030576365623,307.95105800542893,420.584287497062,292.74333636046265,865.671602155665,307.5434158499425,283.4529166139455,280.2782047200787,328.39226422618606,581.9493854945109,396.5148599797565,398.62575897419424,552.570669691033
sports,664.9149096444056,617.389431309035,536.9642533329021,549.0917401502395,564.2379551057977,557.645115858985,544.0681905236494,612.3591361851509,583.0690641875256,603.2939810976992,617.3043829370366,564.9527544230095,631.6252761386604,540.6744550320441,537.7801838827296,563.4991093631943,573.9457028844222,805.2126459821072,599.5907465799495,575.259059491362,557.7320503969839,543.8337718689193,641.1351360363966,554.7484757848644,553.8986592916697,623.3727255499167
technology,772.1996317581691,674.3020315106936,415.87935821194435,345.2841728222469,546.381780458934,311.56860158852487,337.3576987481805,299.3692756114492,596.6455994462585,641.2841853280745,670.4021019270376,303.70968743354973,697.8762159467357,445.45583823248006,376.1195727611566,542.1820274493438,298.59937255987893,1013.4405903468052,310.27082980624135,295.39670540452727,313.94707284243583,434.19004453877596,722.6334772396633,515.8961552844493,512.9009144653115,688.516300889324
educational,767.0133719191721,682.0024995775902,465.83548933327944,408.4475253860241,573.0498093490838,379.34614158931834,399.97887616254644,365.10338997807247,615.4527422276763,654.0742165961893,678.7187236293162,370.976640115837,702.6786800272326,490.58208567833833,431.4436041421411,569.8173666918547,366.4679400183857,982.4288591714566,375.8765848995408,365.3166538513219,381.90670017146437,483.1586068883759,723.7191847410105,547.8648888622703,545.3230393994073,694.1406513768437
religion,861.1936991510244,759.7279990454338,471.36910366703785,368.90217318815434,622.9436603731241,312.7177869269943,356.8464491003947,216.20183281918958,676.8444866705466,721.3496052732118,758.6642376120327,293.88817827463345,787.9679431392092,507.7754020098893,407.26651663883706,619.6111837302901,267.5657301936395,1105.4243074306019,274.0893189013226,277.15371649254905,314.22311833509957,496.3887140970412,810.5323343204286,588.9040085950112,583.5112364320804,775.5272996070304
travel,617.3638923380444,586.5572203671835,550.8297807183816,579.1367438751971,553.8310563706034,590.6067944385145,572.2878240579943,654.0682512723796,562.5859364701222,573.7853625063348,591.1386140737252,599.383753048331,603.3175631308686,548.9868201958718,553.3679954914118,554.5593099556384,608.4720026135517,735.5213494848609,635.1654197912181,612.1331133697119,588.9564582883141,555.769007485307,605.1845950349233,549.1600264830133,546.6507707370522,589.4311477980384
music_and_entertainment,781.1689516005619,743.0854233180095,680.1058641070827,688.3119094090919,697.5554327437153,687.1463979730623,677.6767182428716,726.9566934232101,709.8008079085976,722.1702998764662,748.5096278960663,691.1341751136981,763.5757030418166,683.3661655275378,663.5415987503421,698.1990930605585,693.5094117228629,904.8887048834937,714.748401923862,700.7841974731626,685.2643470212026,690.2963903322079,766.6365750238881,690.4342603646908,684.8743608283779,747.3026871812427
the_environment,1076.2468158813326,1020.7488045792143,894.4352896328903,874.5057154711667,948.4052971236679,862.2281239396791,868.4369359215485,863.594247301075,976.1223704372771,1002.0975995162702,1019.1267723674694,860.5850060740405,1035.512777931833,905.562381541903,878.4448701372886,946.3159641206231,859.3246146785137,1215.2395637269426,871.6414096725938,859.3164820144825,862.171576399759,903.6933427443757,1048.5089752672989,933.2071692800614,931.586645241736,1028.810203099789
school_and_education,718.4037898774174,628.9583405129675,404.23574315811453,335.72407347004133,517.8069623992916,300.7397728144921,327.2175597309629,275.69400876891217,560.848754051108,600.0807311704265,626.2979049444176,288.278890989811,651.5164140921277,430.49828194369303,364.6524987034177,514.1379515903357,282.3515858374474,953.7497352616779,288.95090564462015,280.69171987496213,304.31549434708216,423.6018367725457,672.5997614105185,491.5004506649563,488.32860722083274,641.0172875021905
health,600.2485515550851,581.4886366031236,615.5614084472472,657.8025423618719,585.7801651727754,680.6451688595197,657.2906304551998,762.1584806913746,586.6165649338006,593.6455705298996,575.6538350757627,693.5065358466863,576.0264219124261,606.7745283492295,643.8575108112028,586.2702513928238,709.6091727227034,673.1933471643131,743.3983189465418,707.9117156864587,680.7139678935008,608.500867216834,584.5292763868716,590.3193739761863,595.9870881762854,584.6421447036447
citizen_journalism,698.504817801629,646.20993816475,547.8538326873572,530.3063835857392,592.2438862448483,527.8059921191507,530.4651872297369,547.719599057934,613.8486107863283,637.1641255830345,643.8942962918354,527.4718333162149,657.190189169338,554.4740616272097,542.314142763107,590.739564290343,530.8296142770264,872.4933332431436,536.3471797494626,527.8686599897298,529.7831468050705,556.3527524163916,668.8314880624556,579.9870709573528,581.3827542548806,653.4790203942316
personal_or_auto-biographical,786.734275870942,713.0008965952952,526.5677629431834,477.28789451440645,615.3745216565057,446.6829041470281,464.2579622135316,433.1382086719453,651.0189132223429,682.5237873343431,713.7382246057398,438.7965712289437,736.0707107144577,547.2535683822235,480.36958867870965,612.7947063249741,430.12736952774156,977.212588531676,433.6349286943427,435.55051143282475,446.08940109465374,543.6342773056314,752.0435079101801,593.2731204899893,586.7229685984204,722.8684960938655
