category,art,movies_and_television,web_development_and_sites,politics,sports,technology,educational,religion,travel,music_and_entertainment,the_environment,school_and_education,health,citizen_journalism,personal_or_auto-biographical,food_and_drink,conferences_and_other_events,gaming,literature,business,the_mainstream_media,autos_and_vehicles,comedy,default_category,videoblogging,documentary
art,120.27855440097272,121.07755361555226,132.14249888968897,129.8207031894665,122.30616462303539,130.1245910335062,127.22634315508036,133.86410671710703,125.85440597113833,121.80670794592909,135.0187583982014,123.83960268354473,129.51798726733801,127.87275935033935,130.95764608397423,130.10435953542193,129.26411540668954,122.61070306405665,153.84751892848098,128.1885946520691,129.57066954606867,148.9544618044646,121.71180461208903,122.63378511141431,123.54830761447161,121.86540548311261
movies_and_television,114.54254090420898,111.7176407267848,131.69405612418535,126.96424209330448,117.7687242360409,129.94444389867536,125.60123555266397,127.52982029747068,121.89665215592399,114.10382879500781,132.25418251783455,119.49338911529075,128.7960527964415,124.75365168569498,128.31777926639688,129.26107970948252,127.08693816956465,116.85797851553386,153.44613646935812,126.93057336054659,127.059718594588,153.37841311577859,116.34057513352465,118.85651241084656,118.95768338495199,114.3480870737884
web_development_and_sites,121.90052021126017,127.9980848341849,110.35999550496719,122.28863983964014,120.40502977671188,113.59430323385726,111.94449978060943,120.89467210335322,128.29773676732523,132.864824231088,136.93237022678264,116.49185632582652,121.65239989102881,121.5973711559963,123.05905999637547,122.23004920989283,115.31357837004276,120.90020230811275,147.00069810958394,114.43080715404439,119.85117476629833,124.53829899475804,123.72997972039225,117.23457743431206,124.45103140060415,124.56454676146767
politics,119.5272379535382,123.11373186870935,123.3033517160603,109.68080719369719,121.82344579538871,117.2140391165157,118.01803533655882,118.51578542902848,130.45875274026855,130.71250544318963,122.20688153917486,125.22536728462981,114.40220970853511,113.78345280948352,134.73725914513918,129.2395747810759,114.45613013583565,119.9701570895023,151.10783931145278,118.70610240091035,118.74476569766246,140.69871267494906,121.43262158992931,116.6603379923639,126.74593113292484,118.37911826331204
sports,122.11299316355277,123.80957266022098,130.95352655618234,132.54659114830696,120.69884565108734,130.4101937512714,127.04635566875098,137.42557556855948,123.44080837684974,122.97406988571835,132.70644585705213,123.3876429028305,130.20205121286028,131.84737002471914,127.37358423021199,126.09881287573317,131.70324254742854,122.2528467542218,144.609544113316,126.22904916332594,130.70555883698438,143.16676385632417,120.8462662340144,122.47658278906763,121.44208108001231,123.58095702182659
technology,124.35674999586188,130.6356712306395,117.79495079220729,120.39161742715777,124.42745473483264,113.79505637453796,115.85052995615342,124.84392765674974,133.21876982726155,135.88194655724712,131.3402425414911,123.59619778994599,120.33940196231839,120.47774336407988,128.86282450438063,124.91934053918453,115.70895720810236,123.53393895549944,152.05727753177845,116.78407507882156,117.61241710358094,129.99644442102104,125.78378769956069,119.3307603669773,128.76345264273792,127.21942035397328
educational,120.097892738064,125.27034494397252,115.41492005408672,120.64015836196829,119.73132961563425,114.88448989634578,113.68425493548374,122.31808986210406,128.08443044985606,130.18914231240558,131.89523977255422,118.44557804880293,120.57544232611676,120.4073293448034,125.0601984792307,122.80872364871907,116.09974891470948,119.88827526685114,149.14435112039578,115.94948461808023,118.97994257084602,129.8574689265989,121.7775335357723,116.67620210078017,123.93217626732888,122.70292932361954
religion,119.17296599188178,119.74743330910216,116.18530647046323,112.15478056450333,122.21193707262759,115.1451339799139,113.49892399056249,99.44792082240367,134.9962052043685,131.32164508810217,136.9983335039333,119.75743224150517,119.94015440228232,112.14021621688737,131.41475548517494,131.5210801643034,107.5079430535469,117.7086199896211,155.79365965509038,117.38892857044954,116.00746108923582,140.86483546869277,123.36168819005292,116.74692612956399,128.3400972967405,116.69964875826945
travel,128.22298411736026,129.3252469138725,140.6108071312669,143.79217049343075,125.82430729493667,141.35254981165974,137.29009266288818,151.68990270221536,123.06099631351802,124.35725119582091,138.81853309691087,129.29322171552715,138.93878944688424,142.7772283615291,131.3350257533657,130.76181945650816,144.25111904656654,128.32195243058797,143.4664535925837,134.54808810841553,141.2716164466566,150.93774507533584,125.53493669711277,129.68975152596667,124.1717794537355,129.87114703830014
music_and_entertainment,119.81731175249998,117.58591545038128,139.50905354923125,137.78504941558418,120.60673773223813,138.6701740641484,133.87033070835207,142.11385874935527,120.08831216667627,112.85365108159783,135.34509738379194,124.13387888315283,135.9315957935168,136.29467732408708,127.85685703521753,130.4459443977338,138.54018884652848,121.77978396415527,149.40809311591536,132.87047947629017,135.26132471504116,155.32859928859432,118.53630271997609,124.4143073988765,118.94896363406812,121.3218300533256
