category,art,movies_and_television,web_development_and_sites,politics,sports,technology,educational,religion,travel,music_and_entertainment,the_environment,school_and_education,health,citizen_journalism,personal_or_auto-biographical,food_and_drink,conferences_and_other_events,gaming,literature,business,the_mainstream_media,autos_and_vehicles,comedy,default_category,videoblogging,documentary
art,88.14009179020834,90.1445286830308,106.27634283137364,103.65274374347534,91.45037306501168,99.03715079716996,101.98135385253798,104.87008261268876,94.53933840869244,91.91347620339725,105.36359986790836,94.77569391820809,101.85089713211873,97.87480682723502,99.40182048833563,95.07917646631452,98.16756999938343,91.01657520565814,118.34452172034014,98.82744957939465,105.51269245432213,128.10009152030932,90.67698533141625,94.07213027839434,94.47367192114109,95.32709792878532
movies_and_television,82.73962286250242,80.13260573111835,99.7994953005424,95.87442908689206,86.08834640886155,90.37881534238166,93.86343733488425,90.87352783524825,91.20475568645735,91.90041168094017,98.6499083491252,86.03653641801083,94.64798060062277,90.23439819078052,96.55443865021206,88.82382308417164,87.53644666155083,87.03439497652404,117.28020440136117,91.10169856892867,96.67478900269549,124.72945642763312,83.98872884813596,88.49219964442187,91.66928602585742,90.41669683072465
web_development_and_sites,102.26411363984953,99.38682493102004,82.46709029740518,93.31996676297958,95.79033539137473,86.10070491999052,84.04580694786418,101.0068351353314,99.15024980090965,114.24464247997867,90.52182212113898,90.45622347390118,93.48728491090827,92.07993458803519,102.17383199232724,94.59719411618717,93.47207547757799,103.50161616133687,120.60404126015838,88.56806266034175,91.40973061308132,95.61014380550614,97.95385420589795,93.26325369077922,101.96598238681312,98.20532760386685
politics,96.16684468059243,92.62429623368743,89.4379512078563,79.09093231891056,89.79371213857362,86.96405450728226,88.08981500943712,100.73848163480882,92.10238454373481,109.28272442104245,91.9045842605337,92.39713587016647,83.75263881059954,83.51899074249677,105.16993743465068,91.8498796894455,91.66928169183575,98.08020378467072,108.77769554416192,86.31915546953019,90.02360617911229,107.94454012203285,90.37536047212936,88.83211827166899,97.91452954418321,94.57267992938769
sports,94.65147986463111,95.48079482105587,104.1235289924447,101.92512880693583,93.84315933522073,99.2492426011741,101.160849621074,109.3042191278599,96.28326305686726,99.69628827902761,104.50054187204177,98.14425977952425,100.6362212452069,98.0184843336623,102.56725829926067,96.57111493295598,101.04505277250551,95.67098678577453,115.66037879268032,98.83456380113223,104.76245235109201,121.86643250871636,94.33691325613032,95.15419741458189,97.18431192299292,97.03173817652696
technology,99.0218655970198,95.79720918582456,90.42826580612014,94.73986206561162,95.4586399900159,87.1326320283092,88.03928761828476,98.42817523197976,100.2237646124289,110.57254855834506,90.96538839240665,90.91070499256362,94.6485414898746,93.44798335959504,100.2162436199188,94.2733366901298,91.41298065620752,102.03075052442375,122.86877404456472,89.16985914381277,90.23145777186305,107.05307266775765,96.33496235758939,93.7360037568944,101.96994295928974,98.49096705803531
educational,104.14148087040742,100.79479760253287,92.25283358937739,98.59406593604872,99.72923180163252,91.26061528207514,90.64238133053631,102.03827110878683,104.22457018529872,115.8930361666789,94.95343025284689,94.1725645764315,99.60142047331736,96.90030473111494,104.88982412685209,98.0862541121551,95.73280107612982,106.43712982389326,125.51662187966717,93.11872657431127,95.59957414543295,108.92900255058811,100.90306866481428,97.67034318363814,105.93878051130987,102.19299500189068
religion,101.7329374595257,96.15163125790612,105.07569601638717,105.58008223335793,103.51832426290099,97.79190882010712,99.19742475348735,85.4195454987491,111.49180371713804,113.65392513384764,104.06310667880749,95.83729053993109,106.5955445345704,102.52453858917322,109.2446301063169,105.03104092616447,92.8251395032109,108.1636530015126,136.07075017566507,99.11837223633036,101.80276779023153,128.68743467821986,100.86145311497111,103.63477927977006,110.12717770185232,106.0579155256682
travel,91.08836626129973,93.55903246742753,103.67059402988745,100.33013481664973,89.53965088433,99.6817905325419,101.63536517467405,113.3702033270779,88.62970522752885,93.06245415102426,103.99811888130249,97.54407660154138,99.61908788336372,95.0233408872124,97.91706399089408,92.49323124110066,102.60544655706275,89.49819226603216,105.73766273853711,97.45763074269334,105.65605403093143,120.53819947353949,90.81886057169669,90.5134778223018,90.08387465054487,91.62050624614766
music_and_entertainment,97.95615216036532,102.64483347106552,125.28787345502951,121.65611706428305,102.95342067524123,116.72200389001947,120.44746521323025,121.81795036632268,104.25819393073064,95.37242815939258,121.66859571172245,109.97748433848207,119.13364888597991,113.55253482687304,106.94201623834265,107.81361015007175,114.63513064895908,99.23604010719691,124.46200125485841,114.63576733413016,123.1924905095027,145.4221152424139,102.50269814837968,106.16152032110399,102.11071920750538,105.51930784297357
