video,shot_number,category,cluster
Apfelphone-SpecialEvent2009In7Minutes353.xml,0,videoblogging,0
Actorschecklist-ArgentinasBikinisAndSoccerBallsTranceBandTSpigotJunebugs517.xml,0,default_category,1
AlanTaylor925-FalklandsWarRemembrance209.xml,0,educational,1
ArchiveTVClassics-ep12_512kb188.xml,0,movies_and_television,2
ArchiveTVClassics-gam1_512kb540.xml,0,movies_and_television,2
ArchiveTVClassics-gam4_512kb544.xml,0,movies_and_television,2
ArchiveTVClassics-radarmen_chapter4_512kb983.xml,0,movies_and_television,2
Alexodam-NameCompetition565.xml,0,technology,3
AnimalTVorg-movie_107997.xml,0,default_category,3
Adobedreamer-TheDocumentToolbar845.xml,0,web_development_and_sites,4
AlanTaylor925-EdinburghFestivalFringe114.xml,0,comedy,4
Albarra-QuranPart5845.xml,0,educational,4
Alleyno-EP33TheZeigtgeistMovementDontMindTheMenBehindTheCurt802.xml,0,documentary,4
Aramistech-3TipsForYoutubeAndYourBlog218.xml,0,technology,4
Aramistech-FlipVideoCamcorderRecordYourself153.xml,0,technology,4
Albarra-latexshort711.xml,0,default_category,5
Albarra-whs2_1932.xml,0,educational,5
AnimalTVorg-movie_125153.xml,0,default_category,5
Anglicantv-AMW2009TeachingThree610.xml,0,religion,6
Arincrumley-CantWeAllJustGetALong760.xml,0,educational,6
Aabbey1-MajorityAndMinorityInJewishLifeNoamZoharLLR668.xml,0,religion,7
Aramistech-ZuneOrIpod123.xml,0,technology,7
10zenmonkeys-DearInternetImSorry675.xml,0,technology,8
11minutu-EntrevistaAntonioBasagoitiPolitika2011Minutu265.xml,0,documentary,8
Adobedreamer-DreamweaverViewOptions911.xml,0,educational,8
Albarra-MA123Set005Part3124.xml,0,default_category,8
Albarra-MeanValueTheorem1456.xml,0,educational,8
Albarra-Set007Problem15207.xml,0,default_category,8
Albarra-Set007Problem2326.xml,0,default_category,8
Albarra-Set007Problem7852.xml,0,default_category,8
Albarra-Set007Problem8407.xml,0,default_category,8
Andresworld-TheSecretOfAMojito234.xml,0,personal_or_auto-biographical,8
Aramistech-PlanetOfTheJelliesGame983.xml,0,gaming,8
210tvmusic-InterviewWithVerityBandAtTheWarhol635.xml,0,music_and_entertainment,9
AbsoluteDisaster-CraigTheWerewolf1753.xml,0,comedy,9
Actorschecklist-DeadlyPursuitCarChaseThrillerFastestBassGuitaristHollywo111.xml,0,music_and_entertainment,9
Actorschecklist-TurboTheTrailerAndFilmComposerJermaineStegallConductsTh636.xml,0,default_category,9
AlanTaylor925-AloneShortFilm417.xml,0,movies_and_television,9
AlanTaylor925-EdinburghFestivalCavalcade544.xml,0,music_and_entertainment,9
Allusel-AquaticaTheUnderwaterAdventure954.xml,0,gaming,9
ArahanClaveau-BeyondHuman746.xml,0,art,9
Aramistech-LCDOrPlasma881.xml,0,technology,9
Aramistech-WirelessNForYourMacMini850.xml,0,technology,10
1801Media-iPhone3GWhatDoPeopleKnow259.xml,0,default_category,11
AliaK-NaVloPoMo26Day26SultanAhmetHagiaSofia834.xml,0,travel,11
AnimalTVorg-movie_20361.xml,0,documentary,11
ArchiveTVClassics-ep5_512kb903.xml,0,movies_and_television,12
ArchiveTVClassics-ep6_512kb569.xml,0,movies_and_television,12
ArchiveTVClassics-ep9_512kb845.xml,0,movies_and_television,12
Antonwithagen-Wired665.xml,0,documentary,13
ArchiveTVClassics-radarmen_chapter2_512kb836.xml,0,movies_and_television,14
Andresworld-PetestockTheGrandTour834.xml,0,music_and_entertainment,15
ArchiveTVClassics-ep2_512kb507.xml,0,movies_and_television,15
ArchiveTVClassics-gam13_512kb201.xml,0,movies_and_television,15
ArchiveTVClassics-part11_512kb577.xml,0,movies_and_television,15
Aabbey1-DavidHartmanTheContingentFeatureOfTheJewishViewOfHisto566.xml,0,religion,16
Aabbey1-DonnielHartmanHowDreamsForFutureCanBecomeNightmaresFor365.xml,0,religion,16
Aabbey1-DonnielHartmanStoriesOfTheProphets646.xml,0,religion,16
Aabbey1-HolyEnvyLecturesOnReligiousPluralismInHonorOfKristerSt239.xml,0,religion,16
Aabbey1-ShalomHartmanInstitutesInnovativeTheologyConference661.xml,0,religion,16
ABCNewspapers-BlackBeltGranny347.xml,0,the_mainstream_media,16
Adobedreamer-ApplicationWorkspaceOverview128.xml,0,educational,16
Adobedreamer-CleaningUpYourCode369.xml,0,technology,16
Adobedreamer-CodeToolbar161.xml,0,educational,16
Adobedreamer-TheBasics983.xml,0,educational,16
Adobedreamer-TheStructureOfXMLCode806.xml,0,technology,16
Adobefireworks-WorkingWithLayersCS3Style263.xml,0,educational,16
Agaelebe-14EDTEDCarlosBrando444.xml,0,conferences_and_other_events,16
AGORANEWS3-Villaverde01175.xml,0,citizen_journalism,16
AGORAVIDEOS4-animalesNocturnosEnElESTAS405.xml,0,default_category,16
Anglicantv-AnglicanReport1FromGenCon2009156.xml,0,religion,16
Anglicantv-ArchbishopDucansSermon486.xml,0,religion,16
Anglicantv-FCA2009ArchbishopVenables921.xml,0,religion,16
Anglicantv-FCA2009InterviewWithArchbishopJensenAndArchbishopVeneabl988.xml,0,religion,16
Anglicantv-RickWarrenWelcome39thProvinceOfAnglicanChurch482.xml,0,religion,16
Annexdshow-AnnexdShortsCarlsImpressions905.xml,0,comedy,16
Aramistech-RemoteAccessAnywhereFREEOnTheIphonePART2475.xml,0,technology,16
Aramistech-TaurusMillenniumProPT140Part2805.xml,0,technology,16
ArchiveTVClassics-radarmen_chapter9_512kb944.xml,0,movies_and_television,17
ArchiveTVClassics-BH14_No_Place_Like_Home_512kb339.xml,0,movies_and_television,18
571mul470r-OhhhhhhBama392.xml,0,the_environment,19
ACDigest-AnnapolisCityDigest103551.xml,0,default_category,19
ACDigest-AnnapolisCityDigest107788.xml,0,default_category,19
Adobedreamer-Basics313.xml,0,educational,19
Adobedreamer-HTMLTutorial576.xml,0,educational,19
Adobefireworks-FireworksSmartWebIntergration409.xml,0,educational,19
Agimble-TheProfitPartnerPresentsFrazierOLeary476.xml,0,business,19
AIMTV-SeymourHershUSIsFundingAlQaedaToCounterIran937.xml,0,politics,19
AnimalTVorg-movie_84755.xml,0,default_category,19
ACDigest-AnnapolisCityDigest108396.xml,0,default_category,20
ACMNational-NCMR2008Spectrum20UsingPublicAirwavesToBuildTheFuture928.xml,0,technology,20
Aramistech-WatchNetflixOnYourTVAndInYourCar936.xml,0,technology,20
Anham-linkfluenceLinkspreadOrangeIPhone3GFr960.xml,0,business,21
AnimalTVorg-movie_100357.xml,0,default_category,21
Aptureinc-OpenCongressBrowserWithIntegratedYouTubeChannelsAndTwitt197.xml,0,politics,21
8bitjoystick-TiggaRyuDaCatsAwesomeOutsideAdventure537.xml,0,default_category,22
Aabbey1-DavidHartmanChallengesFacingModernJewryInIsraelAndTheD328.xml,0,religion,22
Acnethai-EP4HowToMakeUpForAcneFromBobbiBrown565.xml,0,health,22
Adobedreamer-using_mysql_admin852.xml,0,technology,22
Adobefireworks-ImportAndExportWithFireworksCS3111.xml,0,educational,22
AlanTaylor925-LastVoyageOfTheQE2755.xml,0,school_and_education,22
Albarra-part5590.xml,0,default_category,22
Albarra-QuranPart2675.xml,0,educational,22
Alecmuffett-ITFuturologyWhatCouldHappenToTheWebBy2012423.xml,0,technology,22
Andersonuniversity-SimManDedication503.xml,0,educational,22
Anglicantv-ACNA2009PressConference187.xml,0,religion,22
Appshow-AppShow1727.xml,0,default_category,22
Aramistech-AsusEeepc1005HAReview559.xml,0,technology,22
Aramistech-PimpYourMacMiniPart1405.xml,0,technology,22
Abird-ThrownFromTheHolidayTrain826.xml,0,default_category,23
AceWebsites-HowToFindAndInstallATheme591.xml,0,default_category,23
Aptureinc-AptureGettingStartedVideo373.xml,0,technology,23
Aptureinc-ApturePlatformTour870.xml,0,default_category,23
Adobedreamer-ConstructionOfABasicWebsite690.xml,0,educational,24
ArchiveTVClassics-BH02_Getting_Settled_512kb315.xml,0,movies_and_television,24
ArchiveTVClassics-BH08_Jethro_Goes_To_School_512kb502.xml,0,movies_and_television,24
ArchiveTVClassics-BH16_Back_To_Californy_512kb345.xml,0,movies_and_television,24
ArchiveTVClassics-BH20_Jed_Throws_A_WingDing_512kb959.xml,0,movies_and_television,24
Aramistech-RegistryCleanerFix597.xml,0,technology,25
11minutu-EntrevistaJuanJosIbarretxePolitika2011Minutu923.xml,0,documentary,26
Adobedreamer-XMLBasics582.xml,0,technology,26
Aerobroken-ABNRockUpdate11212008339.xml,0,music_and_entertainment,26
AlanTaylor925-ALANANDREWTAYLORFILMMAKERSHOWREEL915.xml,0,personal_or_auto-biographical,26
Andresworld-BigSamsFunkyNationLiveAtCargo338.xml,0,music_and_entertainment,26
Anglicantv-ACC14FridayVideoTape1Part1338.xml,0,religion,26
Anglicantv-ACC14FridayVideoTape1Part2527.xml,0,religion,26
Anglicantv-FCA2009BishopBenn159.xml,0,religion,26
Anglicantv-FCA2009RevRoberts569.xml,0,religion,26
Aramistech-ChoosingTheRightMP3Player813.xml,0,technology,26
Aramistech-UpgradingYourMotherboard513.xml,0,technology,26
Andmau-Brujitas947.xml,0,default_category,27
Andrekleinnett-DSCN0070250.xml,0,default_category,27
Andrekleinnett-DSCN1137531.xml,0,default_category,27
AnimalTVorg-movie_85664.xml,0,default_category,28
Agaelebe-ResultsONDayAleksandarMandic715.xml,0,conferences_and_other_events,29
Alawash-PalReveresOrBenedictArnoldsWhistleblowingInThePost911Ag621.xml,0,conferences_and_other_events,29
Aabbey1-MicahGoodmanTheComplexitiesOfIsraeliIdentity348.xml,0,religion,30
Aaronjupiter-MuscleUp759.xml,0,documentary,30
Adobedreamer-ThePropertiesOfDreamweaverCS3330.xml,0,technology,30
Ansmtug-VMwareManagementWithPowerShell173.xml,0,technology,30
210tvmusic-VerityBandRawAndUncut354.xml,0,music_and_entertainment,31
8bitjoystick-DaveHorsey_seattlePi_eventmp4203.xml,0,default_category,31
Aabbey1-DonnielHartmanGenesis1822970.xml,0,religion,31
Aabbey1-DonnielHartmanOnRoshHashana5769RethinkWhoYouAre237.xml,0,religion,31
Aabbey1-RachelSabathBeitHalachmiThreeModelsOfTorahOnCelebrating136.xml,0,religion,31
Aabbey1-SoloveitchikTheRabbiAndHartmanThePhilosopher602.xml,0,videoblogging,31
ABCNewspapers-ChemnitzerConcertina100.xml,0,the_mainstream_media,31
Adobedreamer-CoveredInTisCourse132.xml,0,educational,31
Adventcalendar-December17th902.xml,0,default_category,31
Aerobroken-ABNRockUpdate11072008WS229.xml,0,music_and_entertainment,31
Aerobroken-ABNRockUpdate12052008776.xml,0,music_and_entertainment,31
Agahran-ClosetCollapsePart1534.xml,0,personal_or_auto-biographical,31
ALAOIF-CoryDoctorowPrivacyIsItTimeForARevolution901.xml,0,conferences_and_other_events,31
Albarra-12_2_41158.xml,0,default_category,31
Albarra-12_2_56990.xml,0,default_category,31
Albarra-3_4637.xml,0,educational,31
Albarra-A1_4865.xml,0,default_category,31
Albarra-activity2_1946.xml,0,educational,31
Albarra-limitCalculusMathDerivativeTangentLineLinearEquationInte958.xml,0,default_category,31
Albarra-MeanValueTheorem2541.xml,0,educational,31
Albarra-part12675.xml,0,default_category,31
Albarra-Problem12217124.xml,0,default_category,31
Albarra-Problem12315755.xml,0,educational,31
Albarra-Problem12322851.xml,0,educational,31
Albarra-Problem1234514.xml,0,educational,31
Albarra-QuranPart1_2ndversion977.xml,0,educational,31
Albarra-Set007Problem10354.xml,0,default_category,31
Albarra-Set007Problem6316.xml,0,default_category,31
Alefarendsen-SpringSourceToolSuiteErrorAnalysis486.xml,0,default_category,31
AliaK-VloMo08Day3PalmBeachSydney662.xml,0,travel,31
Alienbabeltech-JohnCarmackCriticizesPhysX861.xml,0,gaming,31
AmnestyVlaanderen-GeertHosteSteuntAungSanSuuKyi704.xml,0,default_category,31
Andrekleinnett-R9D091495.xml,0,default_category,31
Andresworld-PablosFinestHourVantagePoint725.xml,0,music_and_entertainment,31
Anglicantv-BihsopDucanSpeaksToTheInauguralAssemblyOfACNA687.xml,0,religion,31
Arincrumley-arinCrumleyAsTheDustSettlesProduction08_22_08548.xml,0,videoblogging,31
Alfocus-BannedBooksWeekIdLikeToFindBLEEP872.xml,0,default_category,32
Aabbey1-DonnielHartmanIsraelsStrugglesInGazaToFightAJustWarIn468.xml,0,videoblogging,33
Adobedreamer-CreatingNewPages952.xml,0,technology,33
Adobedreamer-Introduction127.xml,0,educational,33
Adobefireworks-BrushPreserve315.xml,0,educational,33
Albarra-12_2_29518.xml,0,default_category,33
Albarra-AlbarraR3_3_1to3911904.xml,0,default_category,33
Albarra-Review3SectionIProblem6397.xml,0,default_category,33
Albarra-SubtractionMadeEasy779.xml,0,default_category,33
Alecmuffett-Reuse20563.xml,0,default_category,33
AmnestyVlaanderen-BartPeetersSteuntSharifOmarEnZijnDorpJayyus321.xml,0,default_category,33
Arincrumley-ArinCrumleyASTHEDUSTSETTLESPreproduction82108199.xml,0,videoblogging,33
Aabbey1-ParadigmsOfResponseInPostHolocaustPhilosophyRabbiRachelS920.xml,0,religion,34
Acnethai-414.xml,0,health,34
Adobedreamer-HowToCreateAnEmailLink283.xml,0,technology,34
Adobedreamer-TheInsertBar208.xml,0,web_development_and_sites,34
Adobedreamer-WhatIsMySQL343.xml,0,technology,34
Adobefireworks-BlurDodgeAndSharpen840.xml,0,educational,34
Adobefireworks-ImageMasks896.xml,0,educational,34
Adventcalendar-December15th618.xml,0,educational,34
Adventcalendar-December18th499.xml,0,educational,34
Agaelebe-RubyRailsNoMundoRealFbioKung992.xml,0,default_category,34
Alfocus-FreedomToReadFoundationMidwinterAuthorEventFeaturingLaur843.xml,0,default_category,34
Amberlrhea-ThanksForTheMemoriesNowGetOutOfMyClosetEpisode3696.xml,0,personal_or_auto-biographical,34
AmnestyVlaanderen-AnnVanElsen532.xml,0,default_category,34
Aramistech-ChoosingTheRightMonitor697.xml,0,technology,34
Arincrumley-AdventuresInSelfDistributionPanelPowerToThePixel195.xml,0,business,34
