category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,4,0,4,3,0,0,12,11,15,13,2,0,1,2,8,4,9,8,8,9,0,3,6,7,0,4
autos_and_vehicles,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1
business,0,0,27,1,0,0,0,5,2,2,0,0,0,6,16,0,4,5,10,1,0,0,3,0,0,3
citizen_journalism,0,0,4,0,0,0,4,5,11,5,1,1,0,36,7,0,2,20,17,1,0,1,9,1,0,6
comedy,5,0,36,6,0,0,11,9,14,12,2,0,0,1,5,7,3,6,2,1,0,4,9,4,0,6
conferences_and_other_events,0,0,18,0,0,0,1,6,6,0,0,0,0,6,8,0,12,3,1,6,0,0,3,1,0,2
default_category,13,1,53,3,0,0,22,63,61,25,6,0,2,77,56,10,64,34,54,24,1,4,44,21,0,22
documentary,5,0,4,1,0,0,5,9,10,5,1,0,0,10,5,7,6,10,5,5,0,1,3,9,0,7
educational,3,0,46,2,0,0,10,23,23,4,2,1,0,32,59,0,29,9,18,10,0,1,18,0,0,5
food_and_drink,2,0,1,0,0,0,5,7,8,5,0,0,0,8,5,2,5,8,2,7,0,0,7,3,0,3
gaming,8,0,6,0,1,1,9,9,9,10,4,0,1,3,3,5,3,8,2,7,0,3,5,5,0,8
health,0,0,4,0,0,0,14,3,5,6,0,0,0,7,6,1,0,6,5,5,0,1,11,5,0,8
literature,1,0,2,0,0,0,0,7,8,0,0,0,0,40,1,1,0,0,23,0,0,0,0,0,0,0
movies_and_television,8,0,15,6,0,1,10,19,50,25,1,1,0,8,14,5,6,16,3,10,0,2,46,8,0,15
music_and_entertainment,16,0,8,6,0,0,21,31,21,15,3,0,3,12,11,11,55,13,5,41,0,7,20,14,0,8
personal_or_auto-biographical,2,0,3,0,0,0,1,4,1,1,0,0,0,3,1,1,15,1,2,10,0,1,1,2,0,2
politics,0,0,9,0,0,0,5,114,136,7,0,0,0,71,34,2,2,22,129,3,0,0,45,2,0,11
religion,2,0,96,1,0,0,1,10,6,2,0,0,0,10,66,3,47,0,3,8,0,1,1,0,0,2
school_and_education,1,0,10,0,0,0,1,4,2,1,0,0,0,6,15,0,1,1,4,1,0,0,3,0,0,3
sports,8,0,18,0,0,0,12,21,28,14,4,0,0,6,13,3,22,10,4,5,0,0,16,7,0,8
technology,7,0,71,0,0,0,1,42,45,6,1,0,0,41,90,2,26,8,27,13,0,0,18,0,1,2
the_environment,1,0,20,1,0,0,0,2,4,1,0,0,4,1,0,4,4,1,0,1,0,0,4,1,0,0
the_mainstream_media,1,0,14,0,0,0,0,17,11,1,0,0,0,5,18,1,4,1,2,5,0,0,4,1,0,2
travel,3,0,3,0,0,0,5,1,8,3,0,0,0,1,2,1,4,3,0,8,0,0,1,3,0,4
videoblogging,17,0,14,1,0,0,10,27,24,6,2,1,0,22,12,5,26,14,9,13,0,4,20,3,0,12
web_development_and_sites,0,0,6,0,0,0,1,2,5,0,0,0,1,6,6,0,1,2,2,1,0,1,3,0,0,0
