category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,2,2,4,3,1,1,1,0,2,3,7,6,7,2,5,2,5,1,0,3,3,1,2,2,2,3,7,0,1,0,0,1,1,0,0,1,4,1,6,9,1,1,0,2,2,4,0,0,1,3,3,0,1,8,6
autos_and_vehicles,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,0,0,0,1,7,0,1,0,0,0,0,1,4,0,3,0,0,1,0,2,1,1,23,5,4,3,4,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2,13,0,0,0,2,0,0,0,1,0
citizen_journalism,0,1,1,0,12,3,0,0,0,1,3,2,4,0,3,0,0,1,0,1,1,4,3,21,1,3,2,12,4,3,1,0,4,0,0,1,0,0,4,1,1,0,1,2,13,5,0,0,1,7,0,0,0,4,0
comedy,1,1,2,6,1,2,0,0,0,6,3,6,3,0,0,3,3,2,0,3,6,3,3,1,33,4,3,0,4,0,0,0,3,0,0,2,5,4,4,1,1,1,5,1,2,0,0,0,1,4,3,0,0,5,2
conferences_and_other_events,0,3,0,0,0,1,0,0,0,2,0,0,4,0,0,0,0,2,0,1,0,0,10,3,8,1,12,2,1,1,0,0,2,0,0,0,0,0,3,6,0,0,1,1,2,5,0,0,0,1,0,0,0,0,1
default_category,7,6,10,3,10,8,5,0,9,27,8,17,20,14,21,1,7,7,0,18,12,8,35,40,18,14,50,13,17,24,0,16,17,1,0,11,13,5,30,24,1,5,7,23,7,31,1,0,3,13,5,2,0,6,10
documentary,1,1,0,1,1,3,2,0,1,4,5,7,3,3,3,1,0,1,0,3,3,2,4,5,0,4,3,4,2,1,0,2,1,0,0,3,5,2,0,5,0,1,0,1,4,1,0,0,0,3,5,0,0,1,6
educational,1,5,1,2,2,4,1,0,1,6,4,7,10,13,13,0,2,6,0,16,1,5,33,23,13,1,16,7,10,2,0,7,7,0,0,0,3,0,6,10,1,1,4,3,3,37,0,1,1,4,0,0,0,2,0
food_and_drink,0,1,0,0,0,2,1,0,0,2,1,5,1,2,1,0,2,2,0,1,3,1,1,5,0,1,3,3,4,0,0,4,3,0,0,3,2,1,1,7,0,0,2,1,2,2,0,0,0,5,1,0,0,2,0
