category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,0,1,0,2,0,0,7,4,1,8,2,44,1,0,1,5,8,0,3,7,1,0,10,4,6,1,0,2,0,0,0,2,2,1,0,3,0,3,0,0,0,3,2,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
business,0,4,0,2,1,3,4,0,0,10,0,3,2,0,0,4,1,6,0,11,2,6,6,1,5,0,0,0,2,0,2,0,1,1,1,0,3,0,1,2,1,1,0,0,0
citizen_journalism,0,0,0,0,1,14,7,8,1,5,0,5,0,0,1,4,0,16,1,9,1,0,11,0,2,0,0,1,1,1,11,5,3,2,1,6,2,3,1,0,0,7,1,0,0
comedy,10,6,0,0,1,0,7,1,1,9,2,35,1,0,0,4,2,0,1,20,2,1,9,2,9,1,0,0,3,0,1,0,3,2,0,2,3,7,0,0,0,1,0,0,0
conferences_and_other_events,0,2,0,0,4,0,9,4,0,2,0,4,3,0,1,2,1,0,0,7,0,1,11,4,4,0,0,0,5,0,0,1,0,0,2,1,1,0,1,0,1,2,0,0,1
default_category,7,9,2,8,13,7,23,9,6,25,2,87,9,3,5,30,17,10,11,58,27,9,54,30,29,6,2,6,19,5,9,9,11,18,5,13,10,15,4,6,5,13,10,2,6
documentary,4,4,0,3,0,1,7,4,1,3,0,13,5,0,0,4,6,0,3,8,0,1,2,3,4,3,0,3,1,1,4,4,2,3,0,2,1,0,1,1,2,2,1,2,0
educational,1,4,0,1,9,1,30,3,0,14,1,13,4,3,3,7,2,2,2,29,7,13,50,5,24,1,1,1,4,8,5,8,0,1,2,2,17,4,0,1,0,0,13,0,0
food_and_drink,2,6,0,0,5,0,1,2,0,4,0,4,0,0,1,3,1,0,1,7,3,2,5,3,8,0,0,2,0,0,5,1,1,0,0,9,0,1,0,1,0,0,0,0,0
gaming,5,2,0,1,1,1,4,1,11,5,1,21,0,1,0,2,4,0,1,2,2,1,4,4,7,0,0,2,3,1,0,6,1,2,1,1,3,7,0,1,0,0,1,0,0
health,0,1,0,0,0,2,0,1,0,1,0,8,1,0,0,1,0,0,0,27,0,2,22,0,10,0,0,0,1,0,0,2,0,2,0,1,2,0,0,0,0,4,0,0,0
literature,5,0,0,1,0,0,1,0,0,0,0,2,0,1,10,0,1,0,11,6,0,0,1,2,0,1,0,0,2,0,1,2,3,32,0,1,0,0,0,0,0,0,0,0,0
movies_and_television,5,12,0,0,11,3,7,16,3,31,1,54,37,2,1,0,2,0,6,21,0,5,6,1,16,5,0,2,2,1,2,3,6,2,1,1,0,1,4,0,0,1,0,1,0
music_and_entertainment,3,10,0,0,5,0,8,9,16,10,5,95,6,4,1,8,42,1,6,3,2,5,7,18,15,0,3,6,3,2,1,2,2,2,0,3,2,6,2,1,3,0,1,4,0
personal_or_auto-biographical,0,1,0,0,1,0,0,0,0,4,0,5,0,0,2,5,2,0,0,0,1,0,1,6,2,0,0,1,1,5,1,1,2,1,1,1,0,3,0,0,3,0,1,0,0
politics,1,0,0,3,4,70,42,5,1,27,0,4,1,2,4,1,0,70,2,207,6,4,28,0,9,3,0,3,21,0,24,13,0,16,0,5,6,5,0,0,0,4,1,0,3
religion,0,7,0,0,26,1,74,10,0,9,0,32,4,2,0,4,4,1,0,21,2,3,11,13,5,0,0,6,1,0,0,0,1,0,0,0,5,1,2,0,0,5,1,0,12
school_and_education,0,1,0,0,4,0,2,2,0,2,0,12,0,0,0,2,0,0,0,1,3,2,7,1,7,0,0,1,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0
sports,2,4,0,4,6,6,3,5,3,13,0,29,2,2,0,4,6,2,1,21,3,3,16,6,12,2,1,1,6,0,2,3,3,2,0,9,1,11,1,0,1,2,0,1,0
technology,3,3,0,2,10,2,24,6,1,28,1,23,5,2,2,13,7,1,1,42,15,14,71,12,23,2,0,2,10,7,6,8,2,2,0,5,29,1,1,3,3,6,9,0,0
the_environment,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,11,1,13,4,5,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
the_mainstream_media,0,2,0,1,1,0,4,1,1,9,1,2,0,1,0,2,1,0,1,11,1,3,29,2,3,0,0,0,0,0,1,2,1,0,2,0,0,1,2,0,3,1,0,0,0
travel,3,0,0,0,0,5,0,2,1,3,0,8,1,0,0,0,1,0,0,0,2,1,4,4,4,0,0,0,1,0,1,1,2,2,0,1,0,2,0,0,0,0,1,0,0
videoblogging,2,7,0,1,8,4,4,5,5,13,3,32,2,0,1,4,11,2,12,9,7,5,6,9,22,4,1,4,6,3,2,1,6,10,1,6,1,12,2,4,1,0,3,1,1
web_development_and_sites,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,1,3,0,11,0,3,0,0,0,1,0,1,0,1,1,0,0,3,2,0,0,0,0,3,0,0
