category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,0,1,1,4,0,2,0,0,7,4,5,9,1,1,2,1,3,1,0,1,6,0,0,2,0,1,7,0,4,2,1,0,8,0,44,0,2,2,1,0,3,0,3,0,0,0,3,2,0,0
autos_and_vehicles,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
business,0,1,4,1,1,2,1,3,4,0,0,5,0,3,0,0,1,2,0,0,5,6,6,0,0,2,10,0,1,0,0,0,10,2,3,2,0,1,1,1,0,3,0,1,2,1,1,0,0,0
citizen_journalism,0,2,0,1,2,0,1,14,7,8,0,9,0,3,0,1,0,0,0,1,2,16,0,1,0,1,7,1,0,1,0,0,5,1,5,11,5,3,2,1,6,2,3,1,0,0,7,1,0,0
comedy,10,4,6,4,0,0,1,0,7,1,0,5,0,0,2,1,2,1,0,0,9,0,1,0,0,2,20,0,2,1,1,0,9,3,35,1,0,3,2,0,2,3,7,0,0,0,1,0,0,0
conferences_and_other_events,0,0,2,2,1,0,4,0,9,4,0,11,0,0,0,0,1,3,0,1,4,0,1,0,0,0,6,0,4,0,0,0,2,5,4,0,1,0,0,2,1,1,0,1,0,1,2,0,0,1
default_category,7,18,9,12,5,8,13,7,23,9,11,36,1,18,2,6,6,9,3,5,29,10,9,6,2,27,53,5,30,10,6,2,25,19,87,9,9,11,18,5,13,10,15,4,6,5,13,10,2,6
documentary,4,0,4,2,0,3,0,1,7,4,1,2,0,2,0,1,5,5,0,0,4,0,1,3,0,0,8,1,3,3,3,0,3,1,13,4,4,2,3,0,2,1,0,1,1,2,2,1,2,0
educational,1,10,4,0,2,1,9,1,30,3,2,40,0,7,1,0,0,4,3,3,24,2,13,1,0,7,27,8,5,2,1,1,14,4,13,5,8,0,1,2,2,17,4,0,1,0,0,13,0,0
food_and_drink,2,2,6,3,0,0,5,0,1,2,1,3,0,0,0,0,0,0,0,1,8,0,2,2,0,3,7,0,3,1,0,0,4,0,4,5,1,1,0,0,9,0,1,0,1,0,0,0,0,0
gaming,5,1,2,1,0,1,1,1,4,1,2,3,1,1,1,11,2,0,1,0,7,0,1,2,0,2,2,1,4,0,0,0,5,3,21,0,6,1,2,1,1,3,7,0,1,0,0,1,0,0
health,0,18,1,1,1,0,0,2,0,1,0,4,0,0,0,0,0,1,0,0,10,0,2,0,0,0,26,0,0,0,0,0,1,1,8,0,2,0,2,0,1,2,0,0,0,0,4,0,0,0
literature,5,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,10,0,0,0,0,0,0,5,0,2,11,1,0,0,2,2,1,2,3,32,0,1,0,0,0,0,0,0,0,0,0
movies_and_television,5,0,12,0,0,0,11,3,7,16,1,6,1,0,1,3,1,37,2,1,16,0,5,2,0,0,21,1,1,5,5,0,31,2,54,2,3,6,2,1,1,0,1,4,0,0,1,0,1,0
music_and_entertainment,3,3,10,4,0,0,5,0,8,9,23,4,6,4,5,16,19,6,4,1,15,1,5,6,0,2,3,2,18,0,0,3,10,3,95,1,2,2,2,0,3,2,6,2,1,3,0,1,4,0
personal_or_auto-biographical,0,1,1,2,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,2,2,0,0,1,0,1,0,5,6,0,0,0,4,1,5,1,1,2,1,1,1,0,3,0,0,3,0,1,0,0
politics,1,9,0,1,2,3,4,70,42,5,0,19,0,0,0,1,0,1,2,4,9,70,4,3,0,6,205,0,0,2,3,0,27,21,4,24,13,0,16,0,5,6,5,0,0,0,4,1,0,3
religion,0,1,7,2,2,0,26,1,74,10,3,10,0,2,0,0,1,4,2,0,5,1,3,6,0,2,19,0,13,0,0,0,9,1,32,0,0,1,0,0,0,5,1,2,0,0,5,1,0,12
school_and_education,0,1,1,1,0,0,4,0,2,2,0,6,0,1,0,0,0,0,0,0,7,0,2,1,0,3,1,0,1,0,0,0,2,0,12,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0
sports,2,7,4,2,1,4,6,6,3,5,6,9,0,2,0,3,0,2,2,0,12,2,3,1,0,3,20,0,6,1,2,1,13,6,29,2,3,3,2,0,9,1,11,1,0,1,2,0,1,0
technology,3,8,3,9,0,2,10,2,24,6,5,63,0,4,1,1,2,5,2,2,23,1,14,2,0,15,42,7,12,1,2,0,28,10,23,6,8,2,2,0,5,29,1,1,3,3,6,9,0,0
the_environment,2,1,0,1,1,0,0,0,0,0,1,3,0,2,0,0,2,0,0,0,0,0,13,0,0,1,10,0,5,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0
the_mainstream_media,0,17,2,1,1,1,1,0,4,1,1,12,1,1,1,1,0,0,1,0,3,0,3,0,0,1,10,0,2,0,0,0,9,0,2,1,2,1,0,2,0,0,1,2,0,3,1,0,0,0
travel,3,2,0,0,0,0,0,5,0,2,1,2,0,0,0,1,0,1,0,0,4,0,1,0,0,2,0,0,4,0,0,0,3,1,8,1,1,2,2,0,1,0,2,0,0,0,0,1,0,0
videoblogging,2,1,7,1,2,1,8,4,4,5,7,5,5,3,3,5,4,2,0,1,22,2,5,4,0,7,7,3,9,7,4,1,13,6,32,2,1,6,10,1,6,1,12,2,4,1,0,3,1,1
web_development_and_sites,1,3,0,0,0,0,0,1,3,2,0,8,0,1,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,2,0,0,0,0,3,0,0
