category,interactions_number_speakers_2,interactions_number_speakers_3,interactions_number_speakers_4,interactions_number_speakers_4+,intervention_short,intervention_long,speakers_type_ponctuel,speakers_type_localise,speakers_type_present,speakers_type_regulier,speakers_type_important,speaker_distribution,mean_number_of_faces,std_number_of_faces,inter_intensity_variation,intra_intensity_variation,number_shot_transition,number_speaker_transition,speech,music,speech_with_music,speech_with_non_music,non_speech_with_music,non_speech_with_non_music,words,duration
art,7.069022556390979,5.333007518796993,4.887443609022556,24.142180451127828,2.8535338345864663,12.76360902255639,6.3917293233082715,1.8639849624060145,6.377593984962404,10.781127819548873,30.55917293233083,100.0,7.891888774374314,7.458794083644284,31.38267891952133,15.039887299949227,978.694618427464,3.113410737365158,45.98225563909775,65.08218045112784,17.81263157894736,28.07,47.27142857142856,5.714285714285713,8.953765303316354,6.66710322917136
movies_and_television,9.087286245353159,7.262230483271376,5.982750929368031,35.978178438661686,3.5587732342007414,12.703011152416355,5.993234200743492,1.0342379182156134,8.07624535315985,18.69936802973977,38.387063197026016,100.0,11.33798241963945,10.395170431069273,24.81999011913711,14.740465372435732,870.3359275552693,5.741137253902637,54.99133828996288,52.27029739776951,19.286468401486992,35.5507434944238,33.018773234200744,10.391933085501874,17.286780591293834,9.39666542718265
web_development_and_sites,12.594594594594597,6.148918918918919,2.7213513513513514,45.975675675675674,2.271621621621622,12.03,9.274054054054053,0.0,1.8143243243243246,13.132432432432433,54.87108108108109,100.0,2.776598026598027,2.3030270132923425,59.64186539480422,15.63681328387333,544.1503279467677,8.532439172882677,76.28837837837837,35.30918918918919,17.51783783783784,59.02648648648649,17.791621621621623,4.86945945945946,13.646879864156205,7.22884404594146
politics,23.446452702702718,6.962280405405406,3.1164527027027034,47.31050675675681,0.5144425675675676,13.211858108108112,30.245624999999986,0.15971283783783782,6.399189189189187,9.665337837837836,47.42949324324325,100.0,11.315890862762064,9.236309011588947,36.0494722663828,13.080727786611439,414.0722420783941,3.3713865971038173,89.13672297297305,16.56153716216216,10.350219594594595,78.66826013513518,6.2151013513513504,3.0857601351351343,12.066537250601082,5.645847747985073
music_and_entertainment,7.901744548286606,4.430373831775701,1.757071651090342,15.499439252336447,4.262492211838007,14.575638629283485,5.464423676012459,2.7343613707165115,5.614704049844239,6.246697819314641,27.699532710280366,99.74040498442368,6.200780598300199,5.102973163210322,25.526687435099344,12.789010377429634,821.7389135015482,2.2276098697268067,27.295202492211857,75.63781931464175,12.966012461059185,14.20763239875389,63.15560747663554,6.5712461059190055,4.209603496925452,3.848682596804866
technology,8.714164588528682,6.769825436408981,3.793491271820449,52.67698254364091,1.5461596009975058,14.879576059850365,7.695411471321695,0.4283042394014962,3.755336658354116,12.13753117206983,62.69316708229429,99.98336658354116,6.322671247432854,5.198107580265443,39.71480449203744,16.559798760180716,346.36042518083326,4.410066824379071,76.17214463840396,35.1372319201995,19.775436408977555,56.30244389027433,15.416159600997512,6.771795511221945,18.762354584741274,8.92850130326569
educational,8.65633898305085,8.557932203389829,6.443186440677964,44.87776271186442,2.42593220338983,11.57233898305085,5.4876610169491515,0.6973220338983052,2.7524067796610177,14.222542372881364,56.85484745762708,100.0,5.113297912120066,4.342135436271374,47.59838853808914,13.241608507811103,405.91810439022646,6.016762774962996,72.98518644067786,38.38101694915256,20.06098305084745,52.82796610169492,18.326745762711862,6.824949152542376,15.7011269855325,7.913809376830978
religion,3.664749034749033,4.195444015444011,2.457374517374517,66.84903474903477,1.7505019305019303,3.839884169884168,1.8516602316602315,0.36416988416988416,5.421428571428569,46.97216216216219,24.43922779922781,100.0,5.332484958530813,4.516631809994718,25.717063281769597,13.23390617508342,202.39012121725978,12.766291336560576,69.26637065637068,47.23498069498066,25.528996138996124,43.71884169884171,21.71555984555984,6.193976833976833,36.42382097879552,21.273428161784512
travel,16.393199999999997,6.691000000000002,3.0616,18.067400000000006,4.027200000000001,14.1204,14.129599999999998,1.8922000000000003,5.408200000000001,4.3494,35.3666,100.0,7.178134920634921,7.716131702975523,34.28874945533598,16.874945533770727,774.9012630059945,2.503585747974061,44.28059999999999,60.00580000000001,13.353000000000002,30.774000000000004,46.65180000000001,8.046400000000002,2.930890052358036,2.59400017594654
sports,6.800452261306531,6.097839195979899,2.870502512562814,31.01477386934674,3.1463819095477388,16.270351758793968,9.859798994974874,1.0795477386934673,4.981708542713568,8.201859296482413,41.097185929648234,100.0,6.084062565181396,5.773604805159849,36.695906547989985,15.976615101652312,717.57566949619,2.847043311453569,57.20160804020097,51.64266331658287,17.947638190954766,39.15040201005025,33.720904522613054,6.789296482412059,8.127943381830514,4.808462122346662
the_environment,5.221632653061224,5.749591836734693,2.2836734693877547,50.40714285714285,2.2773469387755108,6.8834693877551025,1.9579591836734693,1.4057142857142857,2.860612244897959,8.944897959183669,56.25326530612244,100.0,6.16218820861678,3.2436202935084943,32.92460984393748,7.498110355254311,868.6798208381065,3.577057785674061,74.484693877551,39.75755102040816,20.41265306122449,53.88877551020408,19.34612244897959,5.4340816326530605,12.951971364460405,6.87453656574994
school_and_education,10.554905660377356,8.361509433962263,9.90132075471698,40.91226415094339,3.161320754716981,11.481886792452833,3.8290566037735845,0.029056603773584905,6.149622641509433,17.614905660377364,55.075094339622645,100.0,6.598946336682186,4.99010389500548,46.47169811320824,12.045052821966824,317.5516207183834,3.5955182299129813,79.40698113207544,37.38981132075472,21.279999999999994,57.826792452830176,16.109245283018872,3.8690566037735854,12.06509927887467,5.951853345748433
health,5.980344827586206,4.281724137931033,4.94264367816092,63.09574712643679,1.5086206896551722,9.762528735632182,5.437011494252873,0.0,5.026551724137932,14.043333333333337,63.759655172413815,100.0,12.32194005603742,10.23245158680045,35.14706132772323,16.927854155711167,900.0385521148185,5.282302029325919,80.70275862068965,32.5403448275862,19.044252873563213,61.485057471264355,13.496896551724138,3.437701149425288,7.831437684302459,4.10828279886448
citizen_journalism,22.057099236641218,11.493435114503816,9.992366412213741,30.71587786259542,1.1053435114503822,12.935725190839696,21.329007633587786,0.476412213740458,9.681526717557253,9.907786259541982,45.8695419847328,100.0,8.280737372983799,7.050831689577995,33.09391142376949,13.197957724226379,585.5938108491961,2.579613466821254,79.20702290076339,30.256793893129764,15.870381679389313,63.19603053435116,14.393511450381679,4.982290076335878,14.07157987290664,6.455878372980971
personal_or_auto-biographical,10.369607843137254,4.380588235294118,1.5098039215686274,30.611176470588237,3.976078431372549,18.289607843137258,5.594117647058824,0.8774509803921569,1.9356862745098038,5.924117647058823,52.40941176470587,100.0,12.076383209255182,7.71941218067862,31.042462300824123,10.67879875261844,462.68508079988055,7.915883093146374,43.27156862745098,64.02372549019609,19.955490196078426,25.113921568627447,44.06803921568628,6.926666666666667,3.791961810902216,2.5978192807867253
food_and_drink,11.646282051282052,12.758076923076922,3.7046153846153835,20.809487179487178,5.103974358974358,19.064102564102566,4.339615384615385,1.0785897435897436,3.1149999999999993,8.337948717948715,54.00705128205129,100.0,6.431492092777518,6.213365248148679,29.26708005139437,15.997430311155057,712.5588302994742,4.009882714698847,65.6251282051282,52.472179487179474,27.517051282051288,38.02384615384616,24.955000000000002,7.931282051282053,6.547690965230977,3.9845436520045134
conferences_and_other_events,5.330958904109585,5.026849315068492,5.023561643835617,51.2727397260274,1.360821917808219,17.6,7.734931506849317,0.6701369863013699,6.595479452054794,24.179589041095895,44.00246575342466,100.0,5.66628094728311,6.078811119176852,29.822550511833157,13.225296206761568,287.49086571957747,5.958406486554615,68.84287671232877,47.0186301369863,25.4341095890411,43.32616438356165,21.584383561643833,4.883424657534249,27.54177723589168,15.894243249206664
gaming,8.66990909090909,6.486181818181819,6.619818181818182,18.06118181818182,4.420545454545454,15.22345454545454,6.904727272727272,1.8566363636363632,4.338181818181819,11.306090909090909,33.31436363636363,100.0,5.370123311032404,5.295901518813973,27.646052683700084,15.731431966726745,1241.3089223254647,4.08326758341431,44.09263636363637,59.740454545454554,15.773909090909079,28.19836363636364,44.0820909090909,9.598363636363633,8.18181818181655,5.0098770763868545
literature,10.579999999999998,8.311084337349397,5.55144578313253,4.111927710843373,0.7651807228915661,57.86373493975904,47.986144578313244,0.0,0.21361445783132527,1.2951807228915662,36.74433734939761,100.0,7.255522088353412,6.370273437286851,21.148463133579938,12.909677927396025,240.90938098545902,0.27073997011132533,71.51506024096386,32.17710843373492,21.310843373493974,50.17132530120481,11.236144578313256,12.760240963855424,2.2446855484760455,1.1414356290289036
business,17.82588235294118,7.139647058823528,2.955058823529412,55.39141176470588,1.0152941176470587,8.33764705882353,15.780941176470586,0.09411764705882353,2.569529411764706,9.541529411764705,62.84352941176471,100.0,5.069651198474728,4.434232098122272,37.818110982954686,14.190439574524051,289.18163707200495,3.5339072780300005,78.77799999999999,31.743058823529406,17.66964705882353,61.070705882352954,14.073764705882352,5.580588235294119,14.378811210346427,6.316840803357563
