category,art,movies_and_television,web_development_and_sites,politics,sports,technology,educational,religion,travel,music_and_entertainment,the_environment,school_and_education,health,citizen_journalism,personal_or_auto-biographical,food_and_drink,conferences_and_other_events,gaming,literature,business,the_mainstream_media,autos_and_vehicles,comedy,default_category,videoblogging,documentary
art,734.7991364764559,112.6712521350131,441.03045258855144,573.627851243131,262.7417433036852,636.8086308736976,576.6079656749362,780.3033604681273,204.7353856814203,160.51697639838775,128.59793586263507,664.9121066143854,115.85519023282978,400.0041100433589,516.741299131746,269.8087561409064,693.6443969953117,262.9110815738124,743.2806632497409,694.3825727061474,634.6200951857456,422.3258470693433,71.66522468119393,301.4882133483767,308.5327346237366,95.66864622676019
movies_and_television,112.6712521350131,570.2581038993384,331.3801033530561,463.2635069798579,154.4989035580638,526.5704262403868,466.69392310789465,670.3482323194686,102.8961707474366,78.07165973925615,45.24239852767147,555.0873574706994,68.61976614355193,289.8772623253628,409.2456857525692,161.41802603257395,583.7485660686178,372.2708945069802,634.9210203761749,584.2321927619018,524.4458116485221,312.56683730165616,61.89071559795125,192.20135198191744,202.21221118527117,27.84789942125729
web_development_and_sites,441.03045258855144,331.3801033530561,518.0212509008502,139.2124153303971,180.22238433260324,199.36493947460397,139.30665172123966,349.19253323456013,242.28788252453444,297.138864516674,326.15086054851247,227.5369412528683,357.74025459130723,57.34056054895356,108.8082326368815,176.61140164517053,260.70606503512715,701.2365811146259,315.8939937297467,256.5397508869005,200.54860138005424,58.72096106045807,384.96726011036174,142.81899394430883,144.02867277105014,347.2167536427977
politics,573.627851243131,463.2635069798579,139.2124153303971,275.5389624285324,312.793216641312,83.14836561049256,54.11188739533578,229.2062454606709,373.5582366592727,428.3028590535137,457.9295126108712,108.31368646178798,488.2992319072777,174.67859903288343,111.4600892061573,308.2817680090583,143.56498886372273,833.2292097002805,191.1397770789754,130.46607814500072,89.7553101485256,169.37249681007782,516.8532325828305,273.69903343653465,273.3688535471749,479.3989399935971
sports,262.7417433036852,154.4989035580638,180.22238433260324,312.793216641312,564.2379551057977,374.39980883473527,314.22309021829966,520.0038002430548,64.49015953181386,120.17281515475202,156.81190748049255,402.53659557213933,191.96281002356864,141.0427014168529,256.82080542638903,26.698174813925323,431.98738688780816,524.5248358890276,482.49980100026454,431.97339421547434,372.71609540215985,167.9830791887789,211.5444874593477,40.32555644535686,52.227549869119734,169.0755513309124
technology,636.8086308736976,526.5704262403868,199.36493947460397,83.14836561049256,374.39980883473527,311.56860158852487,61.67584401622234,158.00624261359118,435.20311269978134,487.0752312131228,522.6924853705656,35.83547182969473,554.0903707866876,242.19944784575284,135.41838778839156,369.4263797821027,68.3270935177052,898.0862908833909,136.37179556669153,59.70134641067732,24.810301884045405,226.88253357982208,581.668905262139,336.0370791319058,331.6055923042378,542.8214512154718
educational,576.6079656749362,466.69392310789465,139.30665172123966,54.11188739533578,314.22309021829966,61.67584401622234,399.97887616254644,213.35308583502734,375.0067563844613,427.11510715918456,463.19837184316594,89.33385189037949,495.08462738595597,183.35649328780002,84.22002996021368,309.4742246136642,123.13228751440016,838.0024582072127,185.81626696315135,119.54380600371844,66.27457294179554,171.3415279849654,521.8114079464839,276.0233218182871,271.61124150046044,482.7340480693687
religion,780.3033604681273,670.3482323194686,349.19253323456013,229.2062454606709,520.0038002430548,158.00624261359118,213.35308583502734,216.20183281918958,579.5879337369228,628.3517906139019,669.2095065450576,133.11783815206348,701.1058954007987,390.7940418890212,274.19466571085104,516.2705746039163,93.79933019978874,1042.152925011799,122.51090834388802,112.54726951878973,159.88771727121687,378.04133982239244,725.5279143977782,482.06047224254326,476.11596951159754,687.5050917745683
travel,204.7353856814203,102.8961707474366,242.28788252453444,373.5582366592727,64.49015953181386,435.20311269978134,375.0067563844613,579.5879337369228,562.5859364701222,60.03645132368549,116.29190834187017,462.84147144175836,151.83528846205863,201.72191299248766,313.4968322621424,75.67674200829423,491.81086985669265,466.72031931993615,540.3025795033292,492.27127983844605,433.1510849963171,230.65202791851436,161.78367525096837,101.93508874118622,105.42071530089733,113.39326017546496
music_and_entertainment,160.51697639838775,78.07165973925615,297.138864516674,428.3028590535137,120.17281515475202,487.0752312131228,427.11510715918456,628.3517906139019,60.03645132368549,722.1702998764662,107.59672490238741,514.5071743402654,139.5116776698637,258.1788146016222,361.7022703369882,130.55049407879517,541.6056119363571,421.04874084402826,591.0537952641291,544.2476742077874,484.06411088040244,284.74047307958807,132.95087158482264,157.72371280486672,157.1065380322173,82.3396405161701
