category,art,movies_and_television,web_development_and_sites,politics,sports,technology,educational,religion,travel,music_and_entertainment,the_environment,school_and_education,health,citizen_journalism,personal_or_auto-biographical,food_and_drink,conferences_and_other_events,gaming,literature,business,the_mainstream_media,autos_and_vehicles,comedy,default_category,videoblogging,documentary
art,120.27855440097272,21.090166458881637,53.59791063067343,48.955132167638055,21.42271799944702,49.519040938335806,40.05585697482089,61.28679649612193,39.90970719158177,32.86262769703689,61.2937331672088,27.517979731233634,46.627938059920794,42.934970095187694,50.92064496756479,48.026976174075784,48.028866662016526,21.5706497058738,94.62980975547886,42.323762006549686,47.72661636247396,88.14564431122386,20.76813108905335,20.6064757527898,29.803930869818394,19.229044994023987
movies_and_television,21.090166458881637,111.7176407267848,67.98427368507566,58.7490210735252,34.12522303742071,65.29658486374359,55.41178636509049,62.9768295889335,47.5979410954965,28.163064018077105,70.24780513584999,39.19603593626019,61.61839020425698,53.58642694590923,60.51569755872847,62.787022515812396,59.9482395089143,30.08879543753834,103.09979897986446,57.81449482428977,59.161543695382576,104.32329257250511,30.344646557320182,36.79700939446166,38.7883959283828,19.711976784839074
web_development_and_sites,53.59791063067343,67.98427368507566,110.35999550496719,54.59531803795428,49.22939148300615,27.85925906561658,19.845991452280433,55.31985464174321,66.49951144124687,76.98523115745971,82.44352896545786,38.00923196299339,51.48440118891848,52.454294271048276,53.678548288444865,51.279843912599965,36.669636342948735,49.96699351939554,96.26485205072791,28.57549663805468,47.768796420680495,59.26533421765488,57.44135045095958,39.71740600183138,58.576643143766816,60.017049930446525
politics,48.955132167638055,58.7490210735252,54.59531803795428,109.68080719369719,55.27645040938541,40.10875191896974,41.96380166050811,46.47928164609563,73.76061803552747,75.42808866743059,62.374627970101464,60.134551858195756,30.751653781727025,28.09283738083184,78.51622683856274,69.42224994323543,31.318411399125868,49.24214467501714,104.92517731056894,43.9980463028517,44.475935578775626,89.09781707450881,55.61403314419136,39.75628634349123,66.34701240761137,46.30371912560025
sports,21.42271799944702,34.12522303742071,49.22939148300615,55.27645040938541,120.69884565108734,49.25451657301124,38.412581317356434,67.13379771357474,27.618693126730683,33.954935223706755,58.04975620322517,23.551740201416386,47.727540843120394,52.90764330248983,37.79082571384945,33.30930841727738,53.04573847536822,17.778427387205966,77.34760421434947,34.29951907064115,50.025423913356356,77.32734227695167,13.644114159897514,18.735637081216016,15.077954687306313,28.82017906034686
technology,49.519040938335806,65.29658486374359,27.85925906561658,40.10875191896974,49.25451657301124,113.79505637453796,18.45728472782726,53.88371996590387,68.94541604967058,75.91931158846688,68.95987156322974,45.5721833773551,38.10384912822863,39.02203657985476,58.29405747440867,49.0277682328365,22.797813556824288,46.563731125642015,99.50313866118555,21.918273290378345,29.858946540145006,64.04849054840571,53.68095465649422,33.50343880113198,59.70136303175266,57.04086347869592
educational,40.05585697482089,55.41178636509049,19.845991452280433,41.96380166050811,38.412581317356434,18.45728472782726,113.68425493548374,49.197036198751924,60.218922930022636,66.62243078982969,70.3848946380265,32.607685726665245,40.05308649242312,40.13469608862012,50.76286589408922,45.31117454079463,26.27065537013355,37.840172121916865,95.5126341423353,20.593611765711614,35.86750240291418,63.94257227168484,45.325677991572,25.751799741233114,50.286110985143445,47.827321047682354
religion,61.28679649612193,62.9768295889335,55.31985464174321,46.47928164609563,67.13379771357474,53.88371996590387,49.197036198751924,99.44792082240367,89.46285885784357,84.70017501081115,92.53136167058466,61.992498323784304,62.47091420919948,45.98004450306557,82.53191094094794,82.94949452290847,35.54321986820313,57.6656999823442,117.17500311387018,57.357193723642446,55.49088664801439,97.87664847805209,69.58985312750933,55.789694684711876,78.3189159839519,55.89154990150599
travel,39.90970719158177,47.5979410954965,66.49951144124687,73.76061803552747,27.618693126730683,68.94541604967058,60.218922930022636,89.46285885784357,123.06099631351802,34.04474006372454,64.58486634939486,40.3061626645589,62.70778769919516,71.99540921093516,44.65039098901873,42.11681576676234,75.09882511023456,37.0057411693478,70.3577302810756,52.31202020102128,69.44922909985806,86.70865154674006,29.206123108780528,40.68359989379842,19.478818277729932,44.22798390002728
music_and_entertainment,32.86262769703689,28.163064018077105,76.98523115745971,75.42808866743059,33.954935223706755,75.91931158846688,66.62243078982969,84.70017501081115,34.04474006372454,112.85365108159783,71.14720829697191,44.421136223649285,69.88021751617975,72.22468448746791,52.323110585733346,58.469386679239285,76.5981871105762,37.190846406511014,92.03671905343245,63.663898398431776,69.19929668687611,101.95708492125252,28.16738878728924,44.670159433657794,28.549696713323467,37.75914886481971
