category,art,movies_and_television,web_development_and_sites,politics,sports,technology,educational,religion,travel,music_and_entertainment,the_environment,school_and_education,health,citizen_journalism,personal_or_auto-biographical,food_and_drink,conferences_and_other_events,gaming,literature,business,the_mainstream_media,autos_and_vehicles,comedy,default_category,videoblogging,documentary
art,88.14009179020834,17.972186234514393,60.68495570728835,54.003911277913645,19.60153370302076,46.96827366373503,52.939947821179175,58.40204896236095,29.829577022798485,27.347246950284898,59.22680853485567,35.265423912368725,50.50444256086226,40.95268378609156,43.78852083733594,33.81761821886898,44.18040691966917,18.854934923917565,75.2566568361264,44.79905639449211,60.47462020979667,94.367196308792,17.11302655464371,29.220573215961146,29.208064973082415,31.132296094848726
movies_and_television,17.972186234514393,80.13260573111835,55.62607560727992,47.889735657630666,23.475405048999804,40.07043350744249,46.05858539558512,46.26686571930691,35.727855972961926,41.079028137533406,54.47345346107418,30.618539301729758,45.71057305417087,35.35530877384244,48.628507708084484,32.43201615384993,34.79663343412309,27.254329131553543,79.1075634921112,39.30385219889078,52.57061405109975,91.42225362969594,17.876696586093896,29.59556270466597,36.286236245312324,32.716374779679136
web_development_and_sites,60.68495570728835,55.62607560727992,82.46709029740518,40.52924657822162,47.50498539179812,23.740828184462956,15.613224878088168,60.4885471164042,53.42391891782937,79.77381206100515,35.54128429692575,36.52017349322357,43.020201007866504,37.64416852409454,58.87435732974067,44.07991686118413,43.44702426095702,62.46825413438026,87.033595379396,29.40176495870713,39.67033367494651,53.30680771290547,52.290019764625676,41.024645358002935,59.00677695302919,51.49624060759272
politics,54.003911277913645,47.889735657630666,40.52924657822162,79.09093231891056,41.678006240098505,36.393858877292615,37.86368548075908,61.890226030832615,45.222924334881256,73.81093339920383,45.15391764637847,45.856970829751965,36.71867979261329,22.071475948289656,66.60146110401647,45.066490713859075,44.01287127222789,56.70055203133993,72.67281229367909,31.413562921840775,44.95962414801677,75.02766630378761,43.596095270695166,37.937834300706044,55.219885238040646,48.78900427550792
sports,19.60153370302076,23.475405048999804,47.50498539179812,41.678006240098505,93.84315933522073,37.26901984899655,41.38046210538452,59.694173529203105,17.85176414562459,36.01788026197392,48.585655990354546,32.77436922076275,38.88745992196839,28.615684412075304,40.35613145438173,23.52286026162738,41.078935923628315,19.026557609456532,63.34169848775052,33.405469523386046,51.04158534387571,79.25983570245106,13.633173589735756,13.75345102540891,21.194702799055243,19.383526272843223
technology,46.96827366373503,40.07043350744249,23.740828184462956,36.393858877292615,37.26901984899655,87.1326320283092,12.122249080947167,47.25980591375259,47.15048621100465,67.76633985562349,24.168060879218658,24.669768266768077,37.31035549857116,31.262601708509706,46.89284672911117,33.371953842276945,26.347413965292244,51.931206180874526,83.9242903503714,15.270444329394984,25.135048720121507,63.194889268671616,40.30293515458507,31.411873647910625,50.62141678363305,42.62539277114808
educational,52.939947821179175,46.05858539558512,15.613224878088168,37.86368548075908,41.38046210538452,12.122249080947167,90.64238133053631,49.782741101780665,50.35480473769665,73.29338200704609,26.582181526839683,26.66568749045522,41.174354451041715,32.65245839305286,51.52240919243234,36.75557336351064,31.489490451421414,56.318727684989014,84.36253027151761,19.472324901135053,31.156563004772565,60.21024910602321,45.08467103773692,34.78845330734027,53.74461656022664,45.164522807621175
religion,58.40204896236095,46.26686571930691,60.4885471164042,61.890226030832615,59.694173529203105,47.25980591375259,49.782741101780665,85.4195454987491,72.86983950348893,78.45667450845677,58.81270909332921,43.555935297867876,63.80897932522014,56.50696211847278,68.84942992728298,61.700110894480645,35.657600695219585,68.54204887885967,105.68670268114305,49.63863171092924,55.228517613197646,96.12276685992116,55.05242850614248,58.94570885469549,70.54338053580592,62.701855835806846
travel,29.829577022798485,35.727855972961926,53.42391891782937,45.222924334881256,17.85176414562459,47.15048621100465,50.35480473769665,72.86983950348893,88.62970522752885,36.23637901096826,55.15601309570455,43.48089709733929,46.34799336754,32.72694828673996,43.31550351983092,28.331468407069263,53.272155892016706,20.199854764591297,56.2607792396938,40.68420287505091,59.14286940326667,82.61733141399458,25.09833125882978,19.28059673289076,18.627856115576616,23.269057393867943
music_and_entertainment,27.347246950284898,41.079028137533406,79.77381206100515,73.81093339920383,36.01788026197392,67.76633985562349,73.29338200704609,78.45667450845677,36.23637901096826,95.37242815939258,74.87468659262643,56.879294820208045,68.11620277287861,59.98385397889087,45.638897559093856,47.86967722362908,65.76128292368946,23.616322434287035,70.92744572549474,63.16652469890703,77.60399035244656,105.72030404287656,36.47967618244614,43.06361710780208,29.010469213885987,38.93411511847635
the_environment,59.22680853485567,54.47345346107418,35.54128429692575,45.15391764637847,48.585655990354546,24.168060879218658,26.582181526839683,58.81270909332921,55.15601309570455,74.87468659262643,105.22202623935718,40.21968105706747,47.88639936997541,42.89118711375425,46.20709220138799,38.02004773698274,36.771145695648265,61.21767579807134,79.50070260079339,23.299005301420017,24.81089574055976,61.54345271745333,50.956219670653724,39.14314128574735,55.25268121061463,49.29719227664191
school_and_education,35.265423912368725,30.618539301729758,36.52017349322357,45.856970829751965,32.77436922076275,24.669768266768077,26.66568749045522,43.555935297867876,43.48089709733929,56.879294820208045,40.21968105706747,77.39724632958928,50.22086000769582,32.522577439851695,44.223010489530544,33.14907378565692,28.349226606075334,43.38238694601389,86.8883396752015,26.440690409154346,44.769968014946805,81.2596080495685,34.279901033979115,30.862785058315136,45.22327956709797,39.844545996584905
health,50.50444256086226,45.71057305417087,43.020201007866504,36.71867979261329,38.88745992196839,37.31035549857116,41.174354451041715,63.80897932522014,46.34799336754,68.11620277287861,47.88639936997541,50.22086000769582,74.283787174129,41.48157764618197,64.8729074126193,43.60282370169361,50.50611416026542,51.757395480931145,79.4206873011275,41.945535040201776,38.16348580776383,56.58518634912079,38.85083342709798,40.12951379155413,53.66256615829032,47.28823467630363
citizen_journalism,40.95268378609156,35.35530877384244,37.64416852409454,22.071475948289656,28.615684412075304,31.262601708509706,32.65245839305286,56.50696211847278,32.72694828673996,59.98385397889087,42.89118711375425,32.522577439851695,41.48157764618197,90.95744212214115,52.895028109210685,31.9274448197044,35.37058457713199,42.397675859443574,67.91465673311102,23.380921446894398,46.52188203227378,78.13269301767842,32.84132411489976,23.654864219850136,40.612313054030345,33.52752878952724
personal_or_auto-biographical,43.78852083733594,48.628507708084484,58.87435732974067,66.60146110401647,40.35613145438173,46.89284672911117,51.52240919243234,68.84942992728298,43.31550351983092,45.638897559093856,46.20709220138799,44.223010489530544,64.8729074126193,52.895028109210685,95.82464974448355,36.26537843860619,48.59104966046535,42.19627741489717,70.32131898992124,41.87553265271929,56.59742148905066,85.14809576274403,45.392246334608195,34.47939821147127,33.53896921146354,35.78670634379291
food_and_drink,33.81761821886898,32.43201615384993,44.07991686118413,45.066490713859075,23.52286026162738,33.371953842276945,36.75557336351064,61.700110894480645,28.331468407069263,47.86967722362908,38.02004773698274,33.14907378565692,43.60282370169361,31.9274448197044,36.26537843860619,74.03345196675357,39.715171413702286,29.33713370792121,64.45097362437913,29.963770135695246,46.46086863101466,75.75127573007958,25.546600341403078,17.58433016503695,28.165208863834735,24.437081280228067
conferences_and_other_events,44.18040691966917,34.79663343412309,43.44702426095702,44.01287127222789,41.078935923628315,26.347413965292244,31.489490451421414,35.657600695219585,53.272155892016706,65.76128292368946,36.771145695648265,28.349226606075334,50.50611416026542,35.37058457713199,48.59104966046535,39.715171413702286,92.24401732316292,52.97455414710195,85.47119908195208,26.19317658980275,39.803677939106926,82.62683481226624,40.502678304279755,37.175733602430356,51.823128479614645,43.65498698909791
