category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18
art,0,0,0,1,0,3,0,0,0,2,109,0,0,15,0,0,2,0,1,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0
business,0,0,1,1,0,0,0,0,0,0,66,7,0,9,0,0,0,1,0,0
citizen_journalism,0,0,0,0,0,0,0,0,0,0,100,21,0,10,0,0,0,0,0,0
comedy,2,0,1,0,0,0,0,0,0,4,109,0,0,25,0,0,1,0,1,0
conferences_and_other_events,0,0,0,0,0,0,0,1,0,0,67,0,0,5,0,0,0,0,0,0
default_category,0,0,0,2,2,2,1,1,0,2,528,13,1,96,3,4,0,4,1,0
documentary,0,1,0,0,0,0,2,0,1,0,74,0,0,28,0,2,0,0,0,0
educational,0,1,0,1,0,0,0,0,0,0,261,2,1,26,0,1,1,0,0,1
food_and_drink,0,0,0,0,2,0,0,0,3,0,63,1,0,9,0,0,0,0,0,0
gaming,0,0,2,1,0,0,1,0,0,0,74,0,1,29,1,0,0,0,1,0
health,0,1,0,0,1,0,0,1,0,0,68,0,5,11,0,0,0,0,0,0
literature,0,0,0,0,0,0,0,0,0,0,76,0,0,4,0,2,0,0,0,1
movies_and_television,1,2,0,0,1,0,1,0,0,1,228,0,0,34,0,0,1,0,0,0
music_and_entertainment,0,0,1,0,1,2,1,0,0,2,261,0,0,45,2,0,5,0,1,0
personal_or_auto-biographical,0,0,0,0,0,0,1,0,0,1,44,0,1,4,0,0,0,0,0,0
politics,1,0,2,0,0,0,0,0,0,0,440,118,0,26,0,4,0,1,0,0
religion,0,0,0,0,0,1,0,0,0,0,240,0,0,18,0,0,0,0,0,0
school_and_education,0,0,0,0,0,0,0,0,0,0,51,0,0,2,0,0,0,0,0,0
sports,1,1,0,1,0,0,0,1,0,0,161,1,1,28,3,0,0,0,0,1
technology,0,0,0,0,0,0,0,1,0,0,366,3,1,29,0,0,0,0,1,0
the_environment,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,0,0,0,0,0
the_mainstream_media,0,0,0,0,0,1,0,0,1,0,79,0,0,6,0,0,0,0,0,0
travel,0,0,0,1,0,0,1,1,0,0,35,0,0,11,0,0,0,0,0,1
videoblogging,0,1,0,1,0,0,0,1,0,1,188,2,0,45,0,0,0,0,2,1
web_development_and_sites,0,0,0,1,0,0,0,0,0,1,32,1,0,1,0,1,0,0,0,0
