category,cluster,precision
art,cluster 42,0.6015037593984962
autos_and_vehicles,cluster 14,0.5714285714285714
business,cluster 14,0.4588235294117647
citizen_journalism,cluster 42,0.4580152671755725
comedy,cluster 42,0.5874125874125874
conferences_and_other_events,cluster 42,0.5753424657534246
default_category,cluster 42,0.603030303030303
documentary,cluster 42,0.7962962962962963
educational,cluster 42,0.5728813559322034
food_and_drink,cluster 42,0.7948717948717948
gaming,cluster 42,0.6727272727272727
health,cluster 42,0.5747126436781609
literature,cluster 15,0.43373493975903615
movies_and_television,cluster 42,0.6840148698884758
music_and_entertainment,cluster 42,0.5358255451713395
personal_or_auto-biographical,cluster 42,0.803921568627451
politics,cluster 14,0.3581081081081081
religion,cluster 14,0.5135135135135135
school_and_education,cluster 42,0.4528301886792453
sports,cluster 42,0.5276381909547738
technology,cluster 14,0.4538653366583541
the_environment,cluster 42,0.4897959183673469
the_mainstream_media,cluster 14,0.5747126436781609
travel,cluster 42,0.6
videoblogging,cluster 42,0.6652892561983471
web_development_and_sites,cluster 42,0.5675675675675675
