cluster,art,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,gaming,health,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,6,0,1
11,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,0,0,2,0,1,0,3,0,0,1,0,0,0,1,0,0,1,1,0,0
2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
24,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,1,0,3,5,1,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0
26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,9,4,1,4,0,0,0,0,1,1,1,0,1,0,13,2,0
28,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,6,5,11,0,0,0,1,0,1,0,1,0,1,1,1,4,0,0
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0
7,0,0,0,0,3,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
8,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
