cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,4,8,0,1,1,5,0,3,0,9,1,0,0,0,1,2,2,3,0,1,2,0,2,9,3,3
1,0,1,0,0,2,3,0,0,0,2,1,0,0,1,0,1,0,2,0,0,1,0,0,3,1,3
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
11,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
13,0,0,0,1,2,1,1,0,0,5,0,2,5,1,0,0,0,0,0,1,0,1,4,4,0,1
14,3,9,6,11,5,39,27,1,1,10,2,5,4,3,4,10,3,7,4,6,0,4,7,45,16,6
15,7,33,1,6,4,0,8,0,1,5,0,13,1,5,0,1,2,4,0,1,0,0,5,11,2,6
16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
19,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,1,0,6,3,1,3,0,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1,1
20,2,5,1,17,1,12,5,0,0,2,0,4,1,9,0,1,3,4,0,0,1,0,2,5,1,1
21,9,3,0,0,6,1,2,1,0,7,0,0,0,0,1,3,1,4,0,0,0,0,6,7,1,1
22,2,0,1,12,4,25,9,0,0,0,0,3,2,0,0,0,1,0,0,1,5,0,0,9,0,1
23,7,21,12,10,20,36,49,7,1,10,1,15,11,1,4,6,10,2,1,6,18,2,8,34,16,3
24,0,1,0,0,0,1,1,0,2,3,0,0,0,0,1,0,0,2,0,0,0,0,3,1,0,1
25,40,61,5,67,59,94,52,10,20,140,4,71,6,40,16,27,10,38,64,15,9,0,29,175,97,30
26,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0
27,4,5,4,16,2,28,29,4,3,1,1,4,8,10,0,6,5,3,0,2,9,0,5,20,5,1
28,2,3,1,145,11,5,4,0,0,0,1,1,16,0,0,2,2,0,0,2,3,0,2,14,2,1
29,0,4,0,1,0,0,0,0,1,4,1,1,0,1,0,2,0,2,0,0,1,0,3,5,4,1
3,2,3,0,10,5,5,5,0,1,1,0,1,0,2,1,4,0,1,0,0,1,0,2,6,1,3
30,3,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
31,10,23,5,135,21,61,51,14,6,58,26,51,7,33,20,6,16,13,12,33,21,0,8,177,56,18
32,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0
33,28,52,0,15,18,33,13,9,3,42,1,81,8,11,2,3,9,8,1,2,9,0,35,58,10,14
34,0,0,0,22,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0
4,2,6,1,51,26,15,17,1,3,1,2,2,13,2,0,0,5,5,1,9,8,0,13,21,14,3
5,0,0,0,29,0,12,2,0,0,0,0,3,1,2,0,0,1,0,0,1,0,0,0,10,1,0
6,1,0,0,2,4,7,5,1,1,2,0,0,0,0,1,1,1,2,0,1,0,0,2,13,4,2
7,3,29,0,20,0,12,10,2,3,13,7,5,1,4,0,0,1,2,0,2,0,0,6,15,4,4
8,1,2,1,17,1,4,0,0,3,0,1,0,1,0,0,0,0,1,0,2,0,0,0,8,2,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
