category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9
art,0,0,0,0,0,0,0,0,1,0
business,0,0,1,0,0,0,0,0,1,1
citizen_journalism,0,0,0,0,0,0,0,0,1,0
comedy,0,2,0,0,0,0,0,1,0,0
conferences_and_other_events,0,2,0,0,0,0,0,0,2,0
default_category,3,4,0,1,0,0,0,7,26,9
documentary,0,2,1,1,0,0,0,1,1,0
educational,0,2,2,1,0,0,0,4,14,8
gaming,0,0,0,0,0,0,0,0,3,0
health,0,0,0,0,0,0,0,0,2,0
movies_and_television,0,0,8,1,3,1,5,0,0,0
music_and_entertainment,0,0,1,1,0,0,0,0,8,0
personal_or_auto-biographical,0,1,0,0,0,0,0,0,2,1
politics,0,1,1,0,0,0,0,0,0,0
religion,0,4,2,1,0,0,0,0,17,0
school_and_education,0,1,0,0,0,0,0,0,0,0
technology,0,8,2,3,0,0,0,2,10,3
the_environment,1,0,0,0,0,0,0,0,0,0
the_mainstream_media,0,0,0,0,0,0,0,0,1,1
travel,0,1,0,0,0,0,0,0,1,0
videoblogging,0,0,0,0,0,0,0,1,2,2
web_development_and_sites,0,0,0,0,0,0,0,1,1,0
