category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14
art,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
business,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
citizen_journalism,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
conferences_and_other_events,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0
default_category,9,24,1,0,0,7,0,0,1,5,0,0,0,2,1
documentary,0,1,1,1,0,0,0,0,1,2,0,0,0,0,0
educational,5,14,1,2,0,4,0,0,1,4,0,0,0,0,0
gaming,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
health,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
movies_and_television,0,0,0,7,1,0,1,2,0,1,1,2,3,0,0
music_and_entertainment,0,7,0,1,0,0,0,0,0,2,0,0,0,0,0
personal_or_auto-biographical,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
politics,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
religion,0,17,3,2,0,0,0,0,1,1,0,0,0,0,0
school_and_education,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
technology,2,9,3,2,0,2,0,0,2,7,0,0,0,0,1
the_environment,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
the_mainstream_media,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
travel,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
videoblogging,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
web_development_and_sites,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
