category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19
art,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
citizen_journalism,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conferences_and_other_events,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
default_category,7,18,3,1,0,2,0,0,0,0,1,7,0,0,0,0,3,0,7,1
documentary,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
educational,6,10,2,0,0,2,2,1,0,0,0,6,0,0,0,0,0,0,2,0
gaming,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
health,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
movies_and_television,0,0,0,0,0,1,5,0,0,1,0,0,0,3,3,5,0,0,0,0
music_and_entertainment,1,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
personal_or_auto-biographical,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
politics,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
religion,14,6,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
school_and_education,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
technology,11,0,1,0,1,3,0,0,2,0,3,5,0,0,0,0,0,0,1,1
the_environment,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the_mainstream_media,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
travel,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
videoblogging,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
web_development_and_sites,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
