category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,0,40,0,4,2,9,2,7,2,0,0,4,2,2,0,2,3,1,0,1,0,0,0,1,7,3,0,0,0,0,10,3,0,28,1
autos_and_vehicles,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
business,0,15,0,2,0,0,1,6,2,0,0,1,0,0,1,9,2,1,0,2,0,0,1,0,1,6,0,0,0,1,33,0,0,2,0
citizen_journalism,0,40,0,10,9,0,0,1,0,1,1,0,2,0,2,2,4,0,0,0,0,0,1,0,5,3,0,0,0,0,33,4,2,11,0
comedy,3,29,1,5,2,6,0,8,2,3,0,2,2,0,0,13,6,2,0,0,1,0,4,0,5,7,0,0,0,1,8,0,0,35,1
conferences_and_other_events,0,10,0,5,3,1,1,10,2,0,0,2,0,0,1,5,1,1,0,0,0,0,0,0,2,3,0,0,0,1,16,1,0,9,0
default_category,1,175,2,20,5,7,9,34,14,5,3,9,6,5,10,21,15,13,0,8,2,1,4,0,11,45,0,0,1,0,177,0,3,58,0
documentary,1,30,0,1,1,1,1,3,1,1,3,3,3,1,0,3,4,2,0,0,0,1,1,3,6,6,1,0,0,0,18,0,0,14,0
educational,1,52,1,29,5,2,9,49,4,0,0,0,5,3,2,17,10,5,0,0,0,0,1,0,8,27,0,0,1,1,51,0,0,13,0
food_and_drink,0,27,0,6,1,3,0,6,2,2,1,2,4,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,6,0,0,3,3
gaming,2,38,0,3,4,4,0,2,0,2,2,3,1,5,0,5,2,2,0,1,0,1,0,0,4,7,0,0,0,1,13,0,0,8,0
health,0,6,1,8,1,0,2,11,16,0,0,0,0,0,1,13,1,0,0,1,0,0,5,0,1,4,0,0,0,0,7,1,1,8,0
literature,0,64,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,1,0
movies_and_television,1,61,0,5,5,3,0,21,3,4,1,8,3,1,0,6,29,0,0,2,0,0,0,0,33,9,0,1,0,1,23,0,0,52,0
music_and_entertainment,3,140,0,1,2,7,0,10,0,4,2,9,1,2,0,1,13,2,0,0,2,1,5,2,5,10,0,0,0,0,58,0,0,42,0
personal_or_auto-biographical,1,16,0,0,0,1,0,4,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,20,0,0,2,0
politics,0,67,0,16,17,0,12,10,145,1,0,1,10,6,29,51,20,2,0,17,0,0,1,0,6,11,0,0,0,0,135,0,22,15,1
religion,0,71,0,4,4,0,3,15,1,1,0,0,1,0,3,2,5,0,0,0,0,0,2,0,13,5,0,0,0,0,51,0,0,81,1
school_and_education,0,10,0,4,0,1,0,7,0,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,9,0
sports,0,59,1,2,1,6,4,20,11,0,2,1,5,3,0,26,0,4,0,1,1,0,2,0,4,5,1,1,0,0,21,0,0,18,0
technology,1,94,0,28,12,1,25,36,5,0,3,5,5,1,12,15,12,7,0,4,0,0,1,0,0,39,0,0,5,1,61,1,0,33,0
the_environment,0,4,0,1,0,0,0,1,1,1,1,1,0,0,0,2,7,0,0,1,0,0,0,0,0,2,0,0,0,0,26,0,0,1,0
the_mainstream_media,0,9,0,9,1,0,5,18,3,1,1,2,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0,0,9,0
travel,2,20,0,3,0,0,0,1,0,1,0,0,1,1,0,3,3,1,0,3,0,0,0,0,1,1,0,0,0,0,6,0,0,3,0
videoblogging,0,97,0,5,1,1,0,16,2,4,1,3,1,1,1,14,4,4,1,2,0,0,0,0,2,16,0,0,0,0,56,0,0,10,1
web_development_and_sites,0,5,0,4,1,0,1,12,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,0,0,0,0,5,0,0,0,0
