category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,0,0,1,7,3,8,2,0,3,3,4,1,0,6,0,3,0,2,1,1,1,0,0,36,0,2,0,4,0,31,1,4,1,4,0,0,2,2,1,0
autos_and_vehicles,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
business,0,0,0,2,0,6,0,0,3,0,0,0,0,29,0,0,0,1,0,1,2,1,0,14,0,1,1,3,0,7,0,4,0,0,0,0,8,0,1,2
citizen_journalism,0,0,1,4,4,3,6,0,5,0,1,2,0,28,0,2,0,0,4,0,0,0,0,41,0,0,0,6,3,12,0,2,0,0,0,0,2,0,2,3
comedy,0,0,5,10,0,9,0,3,4,0,1,0,1,7,0,1,0,0,1,2,0,1,0,28,0,2,3,6,0,40,1,0,0,2,0,0,14,4,0,1
conferences_and_other_events,1,0,0,3,1,6,2,0,7,0,0,0,0,8,0,1,0,1,0,1,0,0,0,10,0,1,2,1,0,13,0,4,0,2,0,0,5,0,1,4
default_category,1,0,4,20,0,51,2,1,27,3,8,1,0,131,1,3,2,5,4,11,8,0,0,167,2,12,5,18,2,73,3,28,1,12,2,2,25,3,7,19
documentary,0,0,1,5,0,8,1,1,2,1,2,0,0,15,1,4,0,1,4,0,0,0,1,27,2,2,0,1,0,15,0,2,3,3,1,1,3,0,0,2
educational,1,1,0,15,0,44,4,1,42,1,2,1,0,44,0,0,0,1,4,3,0,3,0,50,0,5,1,11,0,32,0,2,0,0,0,0,20,2,1,5
food_and_drink,0,0,1,1,0,11,1,0,1,0,0,0,1,5,0,0,0,2,4,0,0,0,0,27,0,1,0,8,0,7,0,2,0,2,0,1,1,2,0,0
gaming,1,1,3,4,0,7,4,2,0,4,1,0,0,11,0,3,0,0,1,0,1,0,0,37,2,3,1,2,0,10,0,2,1,3,0,1,2,1,0,2
health,0,0,0,1,1,5,1,0,5,0,0,1,0,6,0,0,0,5,1,12,1,2,0,6,0,0,2,3,1,21,0,1,0,0,0,0,13,0,0,0
literature,0,0,0,0,0,4,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
movies_and_television,1,0,3,37,0,9,6,1,0,0,3,3,0,19,0,3,0,1,2,2,2,0,0,59,0,0,0,5,0,93,0,2,0,10,2,0,5,2,0,2
music_and_entertainment,0,0,7,20,0,11,0,3,0,2,6,0,0,34,0,2,0,0,2,0,0,1,0,135,1,1,0,2,0,53,2,21,2,11,1,0,1,1,0,3
personal_or_auto-biographical,0,0,0,1,0,5,0,1,2,0,0,0,0,14,0,0,0,0,1,0,0,0,0,16,0,1,0,1,0,3,0,4,0,0,0,0,0,0,0,2
politics,0,1,1,13,0,12,14,0,11,2,0,11,1,124,0,12,0,64,4,90,17,0,0,68,0,2,12,21,10,19,0,3,0,1,0,2,52,0,19,9
religion,0,8,1,8,0,7,2,0,8,0,0,0,1,36,0,2,0,0,0,0,0,0,0,67,0,0,0,1,0,99,0,19,0,0,0,0,2,0,2,0
school_and_education,0,0,0,1,0,1,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,1,0,5,0,14,0,3,0,4,0,0,1,0,0,1
sports,0,0,0,5,0,9,1,0,8,1,1,0,0,13,2,1,0,3,5,6,1,1,0,59,2,3,3,14,0,30,1,8,0,1,0,0,19,0,0,2
technology,1,1,0,10,1,48,5,1,36,1,2,0,0,41,0,6,2,2,3,7,4,2,1,92,4,6,16,9,0,44,0,14,0,5,1,6,19,0,11,6
the_environment,0,0,1,3,0,2,0,0,0,0,1,0,0,23,0,0,0,0,0,1,1,0,0,3,0,1,0,1,0,2,0,2,0,1,0,3,1,2,0,1
the_mainstream_media,0,0,1,0,1,3,1,0,2,0,1,0,0,18,0,0,0,2,1,1,0,0,0,9,0,0,9,1,0,27,0,1,0,1,0,0,8,0,0,2
travel,0,0,1,3,0,2,0,2,0,1,0,0,0,5,0,0,0,0,1,0,3,0,0,20,0,1,0,0,0,6,0,1,0,0,0,0,3,1,0,0
videoblogging,0,0,3,6,0,18,0,0,1,1,6,0,1,36,0,0,0,1,0,2,2,0,0,93,1,4,3,1,0,23,0,15,1,4,0,0,15,0,0,6
web_development_and_sites,0,0,0,0,0,10,1,0,11,0,0,0,0,5,0,0,0,0,0,0,1,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0
