category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,0,1,10,3,2,0,3,0,0,1,18,0,12,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,2,6,3,1,12,2,0,3,3,2,0,1,34,1,4,4
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
business,0,0,30,2,0,0,0,0,0,0,0,0,5,1,0,0,1,3,0,0,0,0,0,0,2,0,0,2,0,2,1,2,0,4,1,0,1,0,8,0,10,11,0,0,0
citizen_journalism,0,0,33,2,0,0,4,0,1,0,0,1,11,2,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,10,0,0,0,3,2,0,2,36,2,0,7
comedy,1,0,7,7,0,0,0,0,0,0,2,0,35,0,2,2,2,10,0,0,0,0,0,0,2,0,0,0,2,2,5,7,0,9,1,0,3,8,10,0,3,23,1,2,0
conferences_and_other_events,0,0,15,1,0,0,1,1,0,0,0,0,8,1,0,3,1,5,0,0,0,0,0,0,2,0,0,0,0,1,4,1,0,9,1,0,0,0,5,0,2,10,0,2,1
default_category,2,3,169,18,3,0,3,0,3,0,13,1,49,7,1,4,3,36,1,5,0,0,1,1,13,0,1,6,4,8,8,14,1,34,9,1,16,15,20,0,45,136,3,7,0
documentary,0,0,16,1,2,0,3,0,0,0,2,1,10,0,2,0,0,3,1,1,0,1,2,0,1,0,0,0,1,3,4,4,0,1,1,0,5,3,2,0,7,25,3,3,1
educational,1,0,46,15,1,0,1,1,0,0,1,1,17,1,0,4,1,22,0,0,1,0,0,0,2,0,0,0,1,7,5,11,3,52,9,0,3,1,16,0,30,39,4,0,0
food_and_drink,0,0,5,6,0,0,0,0,0,2,0,0,5,0,0,1,1,10,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,7,23,4,2,0
gaming,0,0,10,2,4,0,1,1,0,0,1,0,9,0,0,2,0,6,1,3,3,0,0,0,0,0,0,1,3,1,2,1,4,5,0,0,2,15,0,0,6,25,1,1,0
health,1,0,7,1,0,0,1,0,0,0,0,1,8,0,0,0,0,3,0,0,1,0,0,0,16,0,0,1,0,1,1,1,0,18,3,0,0,0,11,1,6,4,0,0,2
literature,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,3,59,0,0,0
movies_and_television,0,0,22,6,0,1,0,1,0,0,6,0,51,0,1,5,2,6,0,2,1,0,0,1,2,1,0,2,18,3,16,31,2,5,0,0,9,3,2,0,14,45,2,5,7
music_and_entertainment,1,2,57,3,2,0,0,0,0,0,11,0,41,0,5,1,0,5,0,2,0,0,0,0,0,0,0,0,7,11,4,12,1,4,0,0,4,10,1,0,10,117,1,8,2
personal_or_auto-biographical,0,0,19,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,5,14,1,0,0
politics,0,0,130,22,2,0,12,0,18,1,1,4,16,21,0,12,2,10,0,0,0,0,0,0,141,0,0,17,1,0,2,17,2,13,12,2,7,1,50,0,7,66,4,0,2
religion,0,0,49,2,0,1,0,0,0,1,1,0,61,3,0,4,0,3,0,0,1,0,0,0,1,0,0,0,0,4,6,5,32,7,3,0,0,0,0,0,27,52,0,0,0
school_and_education,0,0,9,4,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,1,1,0,8,6,0,4,0
sports,1,1,21,15,1,0,1,0,0,0,5,0,18,0,0,1,0,5,0,2,1,1,0,0,8,1,0,1,1,3,2,1,0,11,10,0,7,8,13,0,10,42,5,1,2
technology,0,0,57,8,1,0,0,1,0,0,2,0,31,8,1,11,10,24,0,4,0,0,0,0,4,0,2,3,0,2,0,10,2,36,26,7,3,0,14,0,58,72,4,4,2
the_environment,0,0,26,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,1,0,6,0,1,0,1,0,0,1,0,1,4,0,1,0
the_mainstream_media,0,0,20,1,0,0,0,0,0,0,1,0,8,0,0,1,1,2,0,1,0,0,0,0,3,0,0,0,0,3,0,1,1,19,6,0,1,0,7,0,5,5,1,1,1
travel,0,0,6,1,1,0,0,0,0,0,1,0,2,0,1,0,1,2,0,0,1,0,0,0,0,0,0,3,1,0,1,2,0,3,0,0,0,1,2,0,2,18,1,0,0
videoblogging,0,0,54,2,1,1,1,0,0,1,1,0,13,0,0,1,2,14,0,2,0,0,0,0,1,0,0,2,1,6,1,4,1,8,0,2,7,10,12,0,14,76,0,4,1
web_development_and_sites,0,0,5,3,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7,2,0,0,0,1,0,4,5,0,0,0
