category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49
art,6,2,2,0,1,4,0,0,1,2,0,3,4,1,2,2,0,0,1,0,0,0,0,0,3,3,8,22,4,0,1,7,0,2,3,0,6,0,24,1,4,2,0,5,1,0,4,0,3,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
business,18,1,0,0,0,0,0,0,2,10,0,0,4,10,0,0,1,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,1,1,0,18,0,4,0,0,1,2,4,0,0,0,0,1,0
citizen_journalism,28,4,1,0,0,7,0,0,0,2,2,0,2,4,6,1,1,2,0,0,0,0,0,0,1,3,0,8,1,0,4,1,0,0,0,2,4,0,33,0,2,4,0,4,0,0,3,0,0,1
comedy,3,3,7,0,0,0,0,0,1,12,0,0,0,5,2,0,2,5,3,0,0,0,0,0,1,5,6,36,8,0,0,2,0,2,0,2,8,0,17,0,1,1,2,2,0,1,5,1,3,0
conferences_and_other_events,10,2,1,0,0,1,2,0,0,5,1,0,4,2,0,0,1,0,0,0,0,0,0,0,3,1,2,8,9,0,3,0,0,1,1,0,5,0,5,0,1,1,1,3,0,0,0,0,1,0
default_category,103,10,27,0,1,0,0,6,6,24,6,5,27,49,7,4,5,9,3,0,1,0,2,0,28,14,4,54,27,1,3,22,1,13,5,4,33,1,94,0,4,5,11,28,1,0,9,0,7,0
documentary,8,1,2,0,0,1,0,0,0,3,0,1,2,7,5,7,0,3,1,0,2,0,0,0,5,0,1,11,1,0,0,1,0,3,1,1,11,0,15,3,3,1,0,3,0,0,3,0,3,0
educational,24,2,12,0,4,0,0,5,0,17,1,3,2,32,5,0,1,5,0,0,0,0,0,0,12,12,2,12,50,0,3,6,0,0,6,0,24,1,26,0,1,5,3,14,0,0,0,0,6,0
food_and_drink,3,0,7,0,0,0,0,1,0,0,0,0,2,3,4,0,1,2,0,0,0,0,0,0,1,2,3,6,4,0,0,0,0,2,3,4,7,0,18,0,0,0,0,4,1,0,0,0,0,0
gaming,4,0,4,1,2,0,0,1,1,4,0,5,2,3,1,1,0,3,0,0,0,0,0,0,6,2,3,9,2,0,2,5,1,1,0,1,8,0,18,1,2,0,0,6,0,0,11,0,0,0
health,3,1,3,0,0,2,0,0,1,11,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,18,0,7,4,0,1,0,0,0,5,0,3,0,4,0,1,1,12,3,0,1,0,0,1,0
literature,9,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0
movies_and_television,9,1,7,0,4,10,1,2,2,8,0,0,2,12,3,1,1,2,0,1,0,0,0,0,3,4,3,65,21,1,5,5,1,7,2,3,10,0,44,0,19,0,2,4,1,0,2,0,4,0
music_and_entertainment,25,1,3,1,1,2,0,0,0,1,0,2,21,13,1,0,0,2,5,0,0,0,0,0,15,6,5,42,8,0,0,30,0,8,0,1,10,0,89,4,1,1,0,9,0,0,5,2,8,0
personal_or_auto-biographical,9,0,2,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,5,2,1,1,1,0,0,2,0,1,0,0,3,0,9,0,0,0,0,3,0,0,1,0,0,0
politics,113,4,7,0,2,2,1,4,17,52,21,6,3,19,10,24,2,12,0,0,0,0,0,0,9,12,0,7,5,0,11,2,0,1,72,0,8,0,56,0,3,9,93,4,1,0,0,0,0,3
religion,14,1,0,0,30,0,0,0,0,3,2,0,16,23,0,0,1,1,0,0,0,0,0,0,11,1,0,46,15,0,2,0,0,1,1,1,36,0,30,0,4,19,0,2,1,0,0,0,2,0
school_and_education,2,0,1,0,0,0,0,0,0,1,0,1,3,8,0,0,1,0,0,0,0,0,0,0,1,1,1,9,7,0,0,1,0,3,0,0,8,0,2,0,0,0,0,2,0,0,0,0,1,0
sports,6,6,4,0,1,2,0,1,1,24,0,3,8,6,6,1,0,0,1,1,0,0,0,1,9,5,4,15,15,0,1,11,0,2,6,0,16,0,25,0,2,0,5,5,0,1,3,0,2,0
technology,20,7,10,0,2,2,5,7,4,14,12,2,13,42,7,0,8,6,0,0,0,1,2,0,8,19,2,23,28,0,7,2,0,4,2,0,66,1,37,0,0,9,11,23,0,0,0,0,1,0
the_environment,10,0,1,0,0,0,0,3,1,1,0,0,2,15,0,0,0,5,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0
the_mainstream_media,10,0,0,0,1,1,0,0,0,7,0,0,1,12,1,0,2,0,0,0,0,0,0,0,2,21,0,5,6,0,0,0,0,2,2,1,6,0,3,0,0,1,2,0,0,0,0,0,3,0
travel,2,0,1,0,0,1,0,0,3,3,0,1,1,3,1,0,1,0,0,0,0,0,0,0,3,3,0,3,0,0,0,1,0,0,0,1,5,0,13,0,1,0,0,1,0,0,1,1,0,0
videoblogging,30,1,10,0,0,1,0,1,2,13,0,1,15,12,1,1,2,1,1,0,0,0,0,0,6,7,1,7,8,0,0,15,0,2,1,1,18,0,62,0,2,0,2,7,0,0,7,0,5,0
web_development_and_sites,1,0,2,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,1,0,0,0,1,0,3,0,4,0,0,0,0,4,0,0,0,0,1,0
