category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,28,1,5,0,0,1,2,1,15,3,2,0,0,1,0,10,0,0,0,1,3,0,3,1,0,2,0,0,2,1,3,1,0,2,0,1,0,4,0,0,0,0,0,6,0,0,0,0,2,2,10,12,0,8,1
autos_and_vehicles,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
business,8,0,0,1,0,1,2,0,0,1,12,0,0,0,0,0,0,0,0,8,0,0,0,11,1,1,1,0,0,0,2,0,0,0,0,0,0,4,0,1,1,0,0,18,0,0,0,0,1,2,2,1,0,7,0
citizen_journalism,33,0,0,0,0,1,2,0,0,0,4,0,0,0,0,0,1,0,0,1,1,0,8,2,2,2,2,0,0,4,2,3,0,6,0,1,0,2,3,2,1,0,0,28,0,0,1,0,3,0,11,3,0,2,0
comedy,19,0,0,1,0,0,6,1,1,2,5,0,1,0,0,0,1,0,0,1,3,0,1,12,1,5,0,0,0,0,1,6,1,2,0,0,1,0,2,5,2,0,0,4,0,0,0,0,3,2,30,16,1,10,0
conferences_and_other_events,7,0,0,1,0,0,2,0,0,1,2,0,0,2,0,1,0,0,0,1,2,1,2,5,1,1,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,0,0,10,0,0,1,0,3,2,9,1,0,10,0
default_category,110,3,5,2,0,6,23,1,7,5,50,1,3,7,0,5,1,0,0,34,5,1,2,23,11,9,1,0,1,3,34,13,1,9,1,1,1,27,6,4,6,0,2,103,2,0,7,1,6,14,41,34,0,32,0
documentary,21,1,2,1,0,0,2,0,1,1,8,0,4,1,0,1,1,1,0,4,2,0,2,2,2,0,1,0,1,1,6,4,0,4,1,1,1,2,1,2,0,0,0,9,0,0,0,0,3,1,6,6,0,2,0
educational,31,2,0,0,0,9,13,0,0,2,34,0,2,1,0,3,1,0,0,17,3,1,2,17,4,9,0,0,3,0,15,1,1,5,0,0,0,2,0,4,2,1,0,24,0,0,1,2,21,4,8,3,0,48,0
food_and_drink,19,0,0,0,0,0,5,0,0,0,3,1,0,0,0,3,0,0,0,6,4,0,0,0,1,0,0,0,0,0,3,1,0,4,0,0,0,2,4,2,1,0,0,3,0,0,0,0,2,2,1,3,0,7,1
gaming,22,5,0,1,0,0,4,2,1,0,3,0,1,1,0,4,0,0,0,5,2,0,3,2,1,2,0,0,4,0,8,12,0,2,0,1,0,2,1,2,0,1,0,4,0,0,0,0,1,0,6,4,0,3,0
health,2,1,0,0,0,1,3,0,0,1,4,0,0,1,0,0,0,0,0,3,2,0,1,13,0,1,1,1,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,16,5,3,0,19,0
literature,60,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,1,0
movies_and_television,36,0,2,4,2,0,6,1,1,3,12,0,6,0,0,0,0,0,1,9,13,1,4,5,1,23,0,0,10,0,5,3,0,3,0,1,2,2,4,1,1,1,0,9,0,0,0,0,3,3,47,30,1,15,1
music_and_entertainment,104,1,7,2,0,0,4,1,7,7,14,0,3,0,0,5,0,0,0,8,4,0,1,1,0,8,0,0,1,0,17,7,1,1,0,0,2,21,2,1,0,0,0,24,0,0,0,0,1,0,22,37,2,6,0
personal_or_auto-biographical,11,0,0,1,0,0,2,0,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7,2,0,1,0,0,0,3,0,0,0,0,0,9,0,0,0,0,1,0,0,1,0,3,0
politics,55,6,0,0,0,9,8,1,1,0,21,19,1,5,0,0,0,0,0,3,0,0,16,52,6,16,24,0,4,22,10,0,0,10,0,1,0,3,0,7,2,1,0,113,0,0,8,0,3,146,11,1,0,9,1
