category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,17,4,1,0,0,0,1,0,0,5,2,1,1,0,0,1,0,4,0,0,2,0,3,0,0,3,0,3,2,0,1,2,9,2,0,1,3,5,4,1,0,0,1,1,1,7,11,3,0,0,0,0,0,0,0,6,1,0,1,24
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
business,0,4,0,0,0,0,1,1,0,2,1,3,1,0,1,2,0,16,2,0,9,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,2,1,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,18,0,0,0,6
citizen_journalism,0,2,0,0,0,0,0,2,0,1,0,2,2,0,1,0,0,4,0,0,2,0,0,0,0,3,0,0,6,0,0,0,3,6,0,5,2,5,0,0,1,0,2,0,0,5,10,0,1,0,0,2,0,1,0,28,0,0,1,34
comedy,2,0,0,0,0,0,2,1,0,6,2,3,0,0,3,0,0,6,0,1,12,1,0,0,0,0,0,2,2,3,0,0,0,0,0,2,9,6,2,1,0,1,2,0,2,2,39,2,0,0,0,1,0,0,0,4,1,0,0,26
conferences_and_other_events,0,4,0,0,0,0,0,1,0,2,1,5,1,0,2,1,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,0,9,2,0,3,2,4,0,0,0,0,0,0,0,3,8,2,0,0,0,1,0,0,0,10,0,0,0,4
default_category,11,27,0,1,1,0,3,11,0,28,8,18,5,0,6,7,1,57,7,2,20,0,4,1,0,0,2,15,6,1,3,1,42,2,0,2,15,28,6,3,3,1,3,3,11,8,50,12,3,2,0,8,1,1,0,98,1,1,1,113
documentary,2,1,3,0,0,0,2,1,0,4,3,1,0,0,0,2,1,8,0,0,1,0,1,0,0,0,0,5,4,1,0,0,13,3,0,0,3,5,4,1,1,0,1,0,2,1,10,1,0,0,0,2,1,0,0,6,0,1,1,13
educational,1,2,0,1,0,0,0,8,0,12,4,36,0,0,0,2,0,48,0,0,16,0,3,0,1,0,0,3,6,1,0,5,34,0,0,3,11,3,0,0,0,0,0,5,5,5,22,2,0,2,0,3,0,1,0,21,0,0,1,29
food_and_drink,0,2,0,0,0,0,1,1,0,9,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,7,0,0,1,1,8,0,0,1,0,3,1,1,0,5,3,0,1,0,1,0,0,0,2,2,0,0,17
gaming,1,2,0,1,0,0,1,1,0,4,1,0,0,0,0,1,0,5,1,0,3,0,5,0,0,0,0,1,2,2,0,3,7,1,0,3,2,6,1,2,0,2,2,1,2,0,9,0,0,0,0,0,1,0,0,3,0,0,1,33
health,0,1,0,0,0,0,0,6,0,4,1,3,0,0,0,0,0,4,1,2,14,0,1,0,0,1,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,1,17,16,0,0,0,0,0,1,0,3,0,0,0,5
