cluster,category,precision
0,travel,0.275
1,citizen_journalism,0.24880382775119617
10,travel,0.19285714285714287
11,autos_and_vehicles,0.2222222222222222
12,citizen_journalism,0.16279069767441862
13,travel,0.20689655172413793
14,autos_and_vehicles,0.1111111111111111
15,conferences_and_other_events,0.3055555555555556
16,citizen_journalism,0.23940677966101695
17,travel,1.0
18,conferences_and_other_events,1.0
19,conferences_and_other_events,0.5
2,citizen_journalism,0.5217391304347826
20,citizen_journalism,0.7037037037037037
21,autos_and_vehicles,0.21428571428571427
22,conferences_and_other_events,0.3333333333333333
23,videoblogging,1.0
24,religion,0.2
25,art,0.35714285714285715
26,food_and_drink,0.1891891891891892
27,travel,0.15673981191222572
28,conferences_and_other_events,0.22110552763819097
29,autos_and_vehicles,0.2549019607843137
3,autos_and_vehicles,0.23232323232323232
30,health,0.75
31,citizen_journalism,0.34782608695652173
32,default_category,0.1605351170568562
33,food_and_drink,0.4
34,food_and_drink,0.18781725888324874
35,autos_and_vehicles,0.14733542319749215
36,citizen_journalism,0.6790697674418604
37,default_category,0.25609756097560976
38,art,0.1111111111111111
39,comedy,0.3333333333333333
4,health,0.5
40,autos_and_vehicles,0.2
41,citizen_journalism,0.27586206896551724
42,citizen_journalism,0.25
43,autos_and_vehicles,0.18181818181818182
44,web_development_and_sites,1.0
45,autos_and_vehicles,0.5
46,art,0.24390243902439024
47,default_category,0.16666666666666666
48,food_and_drink,0.3181818181818182
49,autos_and_vehicles,1.0
5,literature,1.0
50,art,0.2
51,citizen_journalism,0.14925373134328357
52,conferences_and_other_events,0.27586206896551724
53,travel,0.19008264462809918
54,travel,0.13784461152882205
6,travel,0.18681318681318682
7,citizen_journalism,0.6470588235294118
8,comedy,0.16666666666666666
9,travel,0.18055555555555555
