category,cluster,precision
art,cluster 9,1.0
business,cluster 8,0.3333333333333333
citizen_journalism,cluster 9,1.0
comedy,cluster 1,0.3333333333333333
conferences_and_other_events,cluster 16,0.75
default_category,cluster 19,0.34
documentary,cluster 1,0.16666666666666666
educational,cluster 19,0.3225806451612903
gaming,cluster 3,0.3333333333333333
health,cluster 19,0.5
movies_and_television,cluster 21,0.2222222222222222
music_and_entertainment,cluster 19,0.4
personal_or_auto-biographical,cluster 3,0.25
politics,cluster 8,0.5
religion,cluster 9,0.3333333333333333
school_and_education,cluster 9,1.0
technology,cluster 9,0.2857142857142857
the_environment,cluster 0,1.0
the_mainstream_media,cluster 9,0.5
travel,cluster 5,0.5
videoblogging,cluster 13,0.4
web_development_and_sites,cluster 1,0.5
