category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,7,11,7,3,2,1,12,1,4,0,7,5,0,0,1,4,0,13,6,2,0,0,7,7,5,8,4,5,7,4
autos_and_vehicles,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
business,0,8,0,0,0,2,2,6,4,0,0,7,0,0,0,3,0,2,0,0,0,0,12,2,1,1,29,4,1,1
citizen_journalism,8,4,4,0,1,4,1,23,1,0,1,4,0,0,0,4,0,4,1,1,0,1,9,9,0,1,25,19,1,5
comedy,7,5,6,6,2,1,1,0,34,0,3,2,0,0,0,9,0,7,6,4,0,0,4,7,8,8,4,4,11,4
conferences_and_other_events,2,3,1,0,0,1,8,0,10,0,1,13,0,0,0,2,0,0,3,0,0,0,9,1,0,1,10,3,0,5
default_category,38,40,17,10,4,23,31,32,34,0,19,65,1,0,2,35,0,25,37,6,1,0,62,21,4,24,61,31,10,27
documentary,5,3,5,7,0,3,10,3,0,0,8,8,0,0,0,3,0,3,5,2,0,0,7,7,2,8,6,8,3,2
educational,18,23,8,0,2,3,13,5,18,0,0,28,0,0,0,14,0,5,9,1,0,1,59,6,2,3,58,7,3,9
food_and_drink,7,1,2,1,0,1,7,0,2,0,3,6,0,0,0,6,0,3,3,0,0,0,6,6,1,3,6,5,6,3
gaming,2,4,7,3,3,0,10,0,4,1,5,3,0,0,1,3,1,6,6,4,0,0,3,9,2,13,3,7,6,4
health,4,6,9,1,0,0,4,0,1,0,5,2,0,0,0,8,0,5,3,1,0,0,6,9,0,0,7,4,8,4
literature,7,4,0,1,0,16,3,21,0,0,0,2,0,0,0,1,0,0,3,0,0,0,14,0,0,1,10,0,0,0
movies_and_television,24,9,5,6,1,3,12,1,5,0,8,3,0,0,0,31,1,15,15,2,0,1,12,16,6,17,17,13,15,31
music_and_entertainment,4,6,13,13,3,2,57,2,10,0,11,47,0,0,3,17,0,8,28,7,0,0,7,11,8,28,7,15,12,2
personal_or_auto-biographical,0,2,0,1,0,1,12,0,0,0,2,16,0,0,0,0,0,0,1,1,0,0,2,2,0,3,4,1,2,1
politics,100,102,0,3,0,56,2,105,5,0,1,2,0,0,0,25,0,8,6,0,0,0,45,15,0,1,25,13,9,69
religion,4,13,1,3,0,1,14,0,93,0,0,35,0,0,0,1,0,0,4,1,0,0,64,2,1,3,16,0,2,1
school_and_education,2,3,0,0,0,1,1,0,1,0,0,3,0,0,0,1,0,0,3,0,0,0,14,4,0,1,15,1,2,1
sports,18,7,8,3,4,3,6,2,5,0,5,22,0,0,0,14,0,15,14,0,0,0,15,9,2,11,13,6,6,11
technology,35,59,1,2,1,9,16,10,20,0,0,28,0,1,0,13,0,2,6,0,0,0,83,6,0,10,75,6,4,14
the_environment,0,1,0,4,0,0,3,0,1,0,1,2,0,0,4,3,0,0,2,0,0,0,0,0,1,4,20,1,1,1
the_mainstream_media,9,15,0,1,0,0,6,2,2,0,1,5,0,0,0,3,0,1,1,0,0,0,15,2,0,3,16,1,0,4
travel,3,1,4,1,0,0,10,0,0,0,2,5,0,0,0,2,0,2,0,0,0,0,0,5,1,5,3,2,2,2
videoblogging,8,9,10,4,2,6,15,6,5,0,3,31,0,0,0,20,0,7,19,4,0,1,12,13,2,26,18,11,2,8
web_development_and_sites,2,5,1,0,0,1,2,1,2,0,0,2,0,0,1,2,0,0,0,1,0,0,5,1,0,1,6,1,0,3
