category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,2,4,3,0,5,0,6,3,2,1,3,1,4,6,4,0,4,1,3,8,0,9,0,0,0,3,1,2,1,5,1,5,10,3,2,5,2,3,1,4,6,1,0,1,8
autos_and_vehicles,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
business,2,1,0,5,1,0,1,0,1,2,3,2,0,1,0,0,1,0,12,0,0,1,0,0,0,4,3,0,0,7,0,0,2,21,1,5,0,1,0,0,0,4,0,0,4
citizen_journalism,1,1,2,12,0,0,5,1,5,1,2,10,4,0,1,0,3,1,5,2,0,3,0,0,1,18,19,4,0,4,0,1,1,3,0,5,1,0,5,0,0,5,0,2,3
comedy,34,8,6,0,7,0,3,3,5,2,4,0,3,5,5,0,3,3,0,4,0,6,0,0,0,3,1,3,0,2,5,4,0,3,1,2,2,0,0,5,2,3,0,3,3
conferences_and_other_events,8,0,0,0,0,0,1,0,1,3,1,0,2,0,2,0,0,0,5,1,0,0,0,0,0,2,4,0,0,10,0,0,7,10,2,1,0,0,2,0,1,3,0,3,4
default_category,33,7,11,9,4,0,21,10,24,10,19,15,17,11,21,0,16,5,30,13,1,15,0,1,0,17,30,17,2,57,5,15,27,29,16,27,4,22,23,13,11,17,0,17,18
documentary,0,3,1,0,2,0,6,6,2,1,2,1,1,7,2,0,2,1,3,4,0,1,0,0,0,5,3,3,0,7,3,3,7,4,3,4,0,3,2,2,7,3,0,2,2
educational,16,2,6,1,2,0,4,0,12,13,17,3,7,2,5,0,1,1,32,3,0,4,0,0,1,5,20,8,0,23,0,1,11,29,3,17,2,13,3,2,0,8,0,7,11
food_and_drink,2,4,3,0,0,0,5,2,3,3,2,0,0,3,0,0,1,0,1,1,0,2,0,0,0,2,2,6,0,3,1,2,7,3,1,5,0,2,1,3,2,4,0,2,0
gaming,2,6,3,0,0,0,2,2,3,1,2,0,0,6,7,0,2,5,1,5,0,5,1,0,0,3,1,2,1,2,4,6,8,4,0,2,2,1,0,6,3,7,1,3,1
health,0,7,4,0,0,0,2,0,6,2,1,0,3,0,1,0,1,1,1,6,0,4,0,0,0,4,3,2,0,0,1,1,3,5,0,7,0,5,0,0,5,10,0,0,2
literature,0,0,0,0,0,0,0,0,1,0,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,9,4,0,1,1,0,0,1,13,14,0,5,24,0,0,0,0,0,1
movies_and_television,2,12,6,0,7,0,8,6,27,5,8,0,10,9,12,0,19,1,3,3,0,12,1,0,1,6,5,16,0,3,1,12,9,13,3,5,1,3,3,11,6,8,0,11,1
music_and_entertainment,9,6,11,0,8,0,6,12,4,2,5,2,1,16,25,0,12,5,2,11,0,6,0,0,0,3,4,2,3,39,6,14,56,2,1,7,3,4,1,19,5,4,0,4,1
personal_or_auto-biographical,0,1,1,0,1,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,9,3,1,3,0,2,0,2,2,2,0,0,1
politics,3,4,5,74,0,0,6,1,38,5,46,39,78,1,3,0,4,0,8,0,0,3,0,0,0,17,20,15,0,2,2,1,0,7,30,23,0,19,29,0,1,17,0,16,75
religion,77,2,0,0,1,0,0,2,0,65,11,0,1,1,5,0,1,1,8,1,0,0,0,0,0,0,5,3,0,33,1,1,10,15,0,2,0,1,2,2,0,1,0,1,6
school_and_education,1,1,1,0,0,0,0,0,1,2,4,0,1,0,1,0,1,0,6,0,0,0,0,0,0,0,7,1,0,3,0,2,1,6,1,6,0,2,0,1,0,3,0,0,1
sports,4,3,6,0,0,0,7,6,10,3,5,1,7,5,12,0,6,0,11,5,0,11,0,0,0,4,1,9,0,21,2,4,6,8,6,4,4,4,2,6,2,6,0,5,3
technology,13,4,0,2,0,0,1,1,8,12,47,3,20,5,3,1,4,0,51,1,0,2,0,0,0,7,18,13,0,24,1,1,11,52,4,22,1,16,11,4,0,7,0,12,19
the_environment,1,1,0,0,1,0,0,4,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2,0,0,2,19,1,0,0,0,0,3,1,0,0,1,1
the_mainstream_media,1,0,0,0,0,0,1,1,2,3,12,0,5,1,1,0,2,0,9,0,0,1,0,0,0,0,0,2,0,3,0,2,6,15,0,2,0,2,2,1,1,1,0,1,10
travel,0,1,3,0,0,0,1,1,2,0,0,0,2,3,1,0,1,0,2,2,0,2,0,0,0,1,0,2,0,3,1,4,7,2,0,2,0,1,0,2,2,1,0,0,1
videoblogging,5,2,4,1,3,1,10,1,7,1,6,1,3,11,18,0,16,2,7,7,0,4,0,0,0,2,8,5,0,25,4,8,12,9,6,7,2,9,4,14,2,5,0,9,1
web_development_and_sites,2,0,1,0,1,0,1,0,1,1,4,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,1,4,2,3,0,0,1,0,0,1,0,0,3
