category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54
art,0,4,7,0,1,3,1,6,1,5,2,3,1,3,1,0,1,2,4,2,1,0,1,0,6,1,2,1,0,0,4,4,0,4,0,1,0,7,7,2,8,4,1,0,4,0,0,4,4,12,0,1,4,2,1
autos_and_vehicles,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
business,0,0,0,0,1,0,1,1,0,2,4,0,3,4,0,1,2,1,5,1,0,6,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,5,0,21,0,0,12,0,0,3,0,1,1,2,0,1,1,0,0
citizen_journalism,0,0,0,0,1,0,3,0,0,4,8,4,4,22,0,10,1,0,1,0,1,12,1,0,0,4,1,0,0,0,1,2,0,1,0,1,0,3,2,2,1,0,5,1,5,16,2,0,3,4,0,0,2,2,1
comedy,0,5,0,0,0,3,4,0,4,1,0,2,1,3,1,0,34,3,2,2,4,0,1,0,8,0,2,0,0,0,6,6,0,3,3,2,0,3,3,2,2,5,0,0,4,1,3,5,4,6,0,1,2,1,1
conferences_and_other_events,0,0,0,0,0,1,1,2,0,7,2,4,3,2,0,0,7,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3,0,4,0,9,4,0,4,0,0,3,1,1,0,0,0,0,3,2,0
default_category,2,7,5,0,15,17,18,24,6,25,25,23,13,18,0,5,31,3,38,23,4,7,3,1,15,20,10,0,1,0,8,17,3,18,6,10,0,14,7,22,20,3,29,0,17,21,8,20,16,18,0,12,17,8,7
documentary,0,1,4,0,1,4,1,6,3,3,4,0,1,5,0,0,0,2,3,2,0,0,0,0,4,2,5,0,0,0,3,6,1,0,2,1,0,2,4,4,3,2,3,0,2,1,0,8,2,3,0,2,6,1,1
educational,0,3,0,0,2,3,9,8,0,24,16,6,9,6,1,1,12,0,11,10,1,1,0,0,3,3,0,0,0,0,2,1,1,19,0,10,0,9,2,29,5,2,30,0,7,11,4,9,1,4,1,1,11,4,3
food_and_drink,0,1,0,0,0,3,4,3,1,9,1,2,4,2,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,4,3,0,1,2,1,0,1,1,1,2,0,1,0,3,0,2,4,2,3,0,0,9,2,0
