category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64
art,1,2,3,4,0,1,0,1,5,1,5,3,2,3,0,3,3,4,4,1,6,4,4,2,0,0,0,1,2,2,0,0,0,2,0,1,1,3,0,3,1,2,0,0,0,0,0,0,2,1,6,0,2,4,2,5,4,7,7,3,4,0,1,4,1
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
business,0,0,0,0,12,1,1,3,2,0,0,4,4,0,0,1,4,1,1,0,0,1,3,1,1,0,1,0,0,4,0,0,0,0,0,0,2,0,0,1,0,0,6,1,0,0,2,0,20,0,1,0,1,1,1,0,0,0,1,0,0,0,3,0,0
citizen_journalism,11,0,1,4,5,1,2,9,1,2,0,0,14,0,1,4,2,0,7,0,0,1,2,4,1,1,10,2,2,3,1,0,0,0,0,1,2,1,0,0,0,5,12,0,0,0,3,0,3,0,1,0,0,1,3,0,0,3,2,1,0,0,0,1,1
comedy,0,3,5,2,1,3,0,1,1,2,5,0,2,1,0,2,1,3,3,1,2,8,6,3,2,0,0,0,1,2,3,0,0,0,0,4,0,5,0,0,0,1,0,0,0,3,2,0,1,1,1,0,3,3,0,0,5,4,5,0,0,4,34,3,1
conferences_and_other_events,1,1,2,3,5,7,0,2,3,1,0,1,2,0,0,1,0,0,1,1,1,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,8,0,5,0,0,1,2,1,0,1,0,5,0,0,6,0,0
default_category,6,15,22,19,23,17,13,18,8,12,11,30,17,12,0,14,19,11,12,10,10,7,8,10,9,9,5,15,6,9,4,1,1,10,2,4,11,9,0,20,0,8,7,3,0,10,13,0,24,5,15,0,3,14,22,19,3,10,9,7,7,7,21,13,1
documentary,2,1,2,1,3,1,0,1,1,2,3,3,4,1,0,1,5,7,3,0,6,3,3,1,1,1,0,1,2,2,2,0,0,2,0,0,1,1,0,1,0,4,0,2,0,1,1,0,3,1,5,0,2,2,2,4,2,4,1,0,2,4,0,0,0
educational,2,8,4,4,26,16,2,13,6,5,2,7,4,1,1,5,8,1,4,2,1,2,1,6,8,0,1,3,4,4,0,0,0,1,0,1,5,4,0,13,0,5,1,0,0,2,6,0,28,1,8,0,0,24,11,9,2,4,2,8,0,0,7,1,1
food_and_drink,0,8,0,0,2,2,0,0,1,0,1,0,4,0,0,1,1,1,3,0,0,4,1,0,1,0,0,1,0,0,3,0,0,1,0,0,2,3,0,1,0,3,0,1,0,3,4,0,0,0,6,0,1,3,9,1,0,1,2,1,0,1,0,1,0
