category,cluster,precision
art,cluster 32,0.07518796992481203
autos_and_vehicles,cluster 8,0.2857142857142857
business,cluster 33,0.24705882352941178
citizen_journalism,cluster 26,0.1450381679389313
comedy,cluster 0,0.23776223776223776
conferences_and_other_events,cluster 29,0.136986301369863
default_category,cluster 29,0.08636363636363636
documentary,cluster 13,0.06481481481481481
educational,cluster 18,0.10847457627118644
food_and_drink,cluster 32,0.08974358974358974
gaming,cluster 32,0.07272727272727272
health,cluster 41,0.11494252873563218
literature,cluster 38,0.2891566265060241
movies_and_television,cluster 8,0.10037174721189591
music_and_entertainment,cluster 32,0.17445482866043613
personal_or_auto-biographical,cluster 29,0.29411764705882354
politics,cluster 12,0.13175675675675674
religion,cluster 0,0.2972972972972973
school_and_education,cluster 26,0.1320754716981132
sports,cluster 29,0.10552763819095477
technology,cluster 33,0.12967581047381546
the_environment,cluster 33,0.3877551020408163
the_mainstream_media,cluster 33,0.1724137931034483
travel,cluster 32,0.14
videoblogging,cluster 29,0.10330578512396695
web_development_and_sites,cluster 10,0.10810810810810811
