cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,20,46,3,148,14,29,38,0,1,71,544,6,0,37,0,22,9,23,0,5,13,0,71,95,36,23
1,104,447,24,176,140,204,119,23,29,257,7,92,38,78,17,57,43,104,5,21,30,1,120,342,104,105
10,49,40,57,601,94,363,311,25,9,27,24,123,55,23,12,29,69,17,8,65,229,7,71,246,65,16
11,59,80,10,26,40,69,73,12,15,134,12,13,3,11,18,36,13,76,2,9,13,1,61,171,77,30
12,91,69,5,70,55,87,69,13,8,73,75,21,11,23,7,55,25,28,6,10,10,1,58,162,53,38
13,14,37,6,200,71,67,78,1,31,26,1,44,33,11,5,2,14,114,57,29,4,0,19,111,76,45
14,312,363,76,2864,210,1474,737,17,22,47,62,275,547,512,16,52,304,139,3,83,238,13,154,1123,101,57
15,223,234,18,646,73,149,173,13,6,69,2,239,45,172,9,14,61,148,2,8,31,0,62,300,19,142
16,70,213,3,175,45,87,29,10,14,80,5,21,8,150,1,1,23,28,0,8,46,0,29,152,72,78
17,22,12,0,2,5,14,4,0,2,51,1,3,0,9,2,0,0,13,5,5,4,0,14,59,49,15
18,90,341,0,223,45,20,24,4,9,100,9,32,46,103,1,10,16,16,0,7,89,1,27,99,56,78
19,34,59,7,42,104,14,31,12,27,77,12,5,10,42,29,34,0,159,53,4,5,0,89,222,130,24
2,151,162,27,4537,57,416,165,9,0,177,3,245,79,281,2,6,144,131,3,29,16,0,106,512,22,222
20,183,571,17,281,220,129,124,29,33,296,17,83,27,82,8,88,41,82,5,10,24,0,207,343,130,164
21,1,48,1,58,54,12,11,0,1,17,0,0,1,5,1,2,15,12,33,5,12,0,33,71,40,46
22,85,113,0,172,22,26,13,2,4,37,0,16,1,129,0,0,21,10,0,1,9,0,25,75,18,64
23,32,65,59,120,68,403,167,23,16,37,27,15,6,28,16,69,11,44,6,31,5,0,56,304,55,8
24,168,57,0,1327,40,111,41,2,0,55,0,15,208,284,1,2,62,7,0,10,21,0,32,277,37,96
25,50,219,10,122,96,82,69,11,28,110,34,46,18,43,7,48,23,44,0,18,27,0,80,127,65,52
26,0,0,0,0,4,1,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0
27,138,188,1,215,38,92,30,6,11,113,12,25,57,164,0,9,16,17,0,3,47,0,43,119,50,81
28,68,211,8,94,67,80,40,13,4,66,11,48,16,51,1,13,18,49,2,1,15,0,46,181,38,103
29,39,205,6,117,37,55,41,10,6,20,4,53,18,39,0,9,21,19,1,0,11,0,25,86,13,70
3,160,251,22,166,144,225,254,14,12,220,14,112,48,94,32,30,77,116,0,48,84,4,108,377,125,101
30,117,20,18,88,108,256,100,14,24,32,24,7,9,55,5,92,16,51,0,12,4,3,34,219,27,5
31,108,251,49,678,125,945,387,21,5,60,12,450,33,302,5,23,168,69,5,52,204,0,62,533,33,27
32,69,128,1,135,38,52,11,12,10,65,3,19,65,91,0,7,23,21,0,4,31,0,12,66,13,44
33,104,406,30,210,84,128,299,20,3,47,2,702,17,79,3,19,61,98,0,11,27,1,41,188,59,79
34,47,126,1,105,45,31,28,7,3,34,2,21,29,40,1,12,30,42,0,11,2,0,11,136,24,77
35,58,26,1,9,31,70,6,0,3,234,4,5,0,3,11,6,5,50,1,4,4,0,47,168,48,41
36,78,51,36,160,107,178,163,15,21,151,22,67,27,44,27,40,30,34,33,27,16,6,37,271,111,33
37,19,22,10,375,64,50,22,2,62,8,8,2,48,42,2,1,2,11,0,30,10,0,1,147,24,30
38,65,643,4,63,75,48,116,10,22,101,1,77,72,70,6,1,45,63,0,14,20,0,26,162,46,79
39,71,195,6,168,65,67,49,6,4,36,1,33,30,64,0,10,17,61,5,14,16,0,30,83,19,88
4,110,262,59,6042,395,1180,861,8,16,46,485,510,386,183,1,80,135,20,7,130,150,6,233,1263,238,142
5,155,165,41,950,42,429,212,21,3,188,0,1518,28,223,4,10,124,76,5,23,71,0,82,427,30,132
6,137,206,6,715,54,122,61,3,4,76,9,44,59,285,2,2,41,13,0,10,73,0,20,321,29,84
7,165,127,12,138,64,147,204,17,12,38,20,22,18,22,7,29,18,95,4,3,9,0,50,239,40,17
8,1217,1724,27,514,524,253,272,96,133,1580,14,408,96,169,16,59,47,321,2,28,103,0,618,1490,360,519
9,114,134,4,242,87,259,174,25,23,100,34,52,13,39,10,122,33,81,2,27,24,0,84,278,88,72
