category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44
art,69,260,30,101,39,20,50,69,15,82,151,75,85,40,45,77,106,29,224,149,1214,166,4,138,48,90,184,59,47,11,0,138,52,165,70,187,14,151,38,29,1,68,37,65,105
autos_and_vehicles,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,4,0,3,0,0,0,0,12,0,1
business,4,43,19,20,0,5,19,14,0,23,20,11,1,28,5,39,63,2,8,28,28,10,29,10,14,7,10,20,11,5,0,3,51,2,7,18,29,47,91,4,5,1,31,13,12
citizen_journalism,91,485,26,78,41,38,43,59,4,40,224,16,128,34,2,43,287,4,176,279,166,284,26,287,5,103,79,48,40,10,0,164,31,22,150,73,8,83,145,39,4,51,19,67,81
comedy,12,97,13,117,27,66,83,26,1,36,79,58,25,100,56,47,62,11,62,105,614,32,1,20,12,27,210,30,11,49,0,43,67,49,30,64,16,97,188,74,32,46,65,26,38
conferences_and_other_events,23,243,60,41,24,11,23,17,0,28,116,9,21,17,12,80,151,4,63,142,47,62,0,41,6,16,38,27,30,0,0,16,93,18,23,31,12,73,57,0,15,18,12,44,57
default_category,63,655,353,343,90,104,128,78,18,262,424,138,74,288,164,527,491,35,306,510,1489,276,72,326,173,99,344,190,136,121,1,119,261,230,152,325,112,347,742,183,57,181,222,158,180
documentary,44,53,5,104,84,23,53,88,11,35,132,29,64,28,40,35,26,20,141,222,517,96,5,84,6,78,164,48,77,43,0,81,17,18,78,23,45,98,107,16,23,103,3,78,82
educational,11,375,316,114,42,33,70,47,8,163,205,59,13,160,16,604,313,20,174,163,272,41,4,59,75,24,117,129,28,13,0,30,399,203,29,138,79,220,259,23,10,40,124,114,274
food_and_drink,7,34,8,57,9,20,48,9,0,49,9,58,0,74,13,22,20,14,14,6,59,1,1,2,28,10,83,68,12,10,0,9,27,28,1,126,2,28,59,24,0,13,19,2,18
gaming,19,140,15,105,21,22,45,61,3,38,74,50,10,93,52,15,59,5,148,130,319,6,8,14,18,16,84,32,42,41,0,17,25,94,28,60,114,108,9,145,8,49,0,63,97
health,65,157,37,38,18,1,18,30,0,27,27,5,1,4,1,268,36,0,47,74,96,208,10,59,5,46,27,10,29,0,0,57,34,18,8,17,34,41,119,8,0,16,419,72,18
literature,0,3,0,5,1,0,0,5,0,31,5,1,0,1,1,1,5,0,2,3,2,0,0,0,4,0,5,1,0,28,0,0,8,4,0,5,58,0,6,45,23,2,0,0,0
movies_and_television,128,351,12,445,208,48,219,192,10,58,163,74,113,119,32,75,226,18,232,160,1722,56,18,208,4,338,560,62,127,51,0,188,61,123,215,65,38,237,194,38,40,213,31,637,408
music_and_entertainment,65,23,6,256,21,70,112,36,27,160,187,89,37,128,227,27,55,29,68,177,1582,55,6,75,29,100,296,15,34,33,0,113,29,38,79,78,26,222,23,67,19,68,24,100,47
personal_or_auto-biographical,0,1,3,18,0,0,5,0,0,29,4,4,0,16,13,2,7,1,9,2,16,1,2,2,13,1,9,7,1,5,0,0,9,7,1,8,5,34,1,26,1,1,12,6,3
politics,135,1721,182,174,119,146,127,169,1,145,944,29,172,84,6,2624,869,8,648,4527,514,1326,349,719,68,222,275,245,105,11,0,215,259,139,173,141,194,136,3428,36,61,97,1151,63,217
religion,16,248,40,90,53,6,46,33,0,68,1509,21,16,25,6,380,338,9,237,244,405,15,2,45,2,32,80,37,21,3,0,25,269,22,22,17,44,99,132,5,0,47,10,75,675
school_and_education,12,5,8,22,10,0,11,6,0,15,20,8,2,29,1,9,19,0,13,9,97,2,2,3,6,4,27,18,7,0,0,6,34,17,9,24,1,10,0,12,0,13,7,10,18
sports,35,92,35,143,37,15,97,65,4,96,42,54,22,85,40,286,129,8,73,56,523,40,2,55,16,45,221,98,45,28,0,38,86,64,46,140,62,133,114,83,64,67,111,74,82
technology,52,763,673,203,56,27,81,66,3,162,422,77,26,363,71,114,875,9,147,410,253,111,33,119,111,20,124,211,32,13,1,94,404,145,87,322,67,179,1071,14,11,80,150,47,125
the_environment,2,53,3,7,4,541,34,1,1,23,0,29,0,29,9,2,9,5,2,3,14,0,6,9,10,9,16,11,2,4,0,12,28,20,5,87,1,14,484,9,0,11,6,1,1
the_mainstream_media,31,157,13,29,13,8,27,14,3,16,70,18,9,13,4,23,258,5,31,16,102,18,6,73,5,89,23,16,2,0,0,47,153,10,46,11,4,76,128,3,12,15,102,20,28
travel,10,11,6,30,18,2,28,4,0,17,3,9,4,29,4,20,5,4,6,0,133,0,48,4,1,9,32,17,3,14,0,11,7,12,14,21,31,11,2,19,0,4,8,22,3
videoblogging,13,58,16,105,14,35,65,18,11,111,31,62,17,53,48,50,33,13,20,21,360,37,21,29,77,56,129,37,24,47,1,50,61,40,70,61,76,121,193,124,37,38,38,44,56
web_development_and_sites,1,23,56,23,6,2,11,6,0,35,40,0,0,16,2,57,36,0,18,26,27,0,8,6,50,0,16,6,1,2,0,1,70,12,3,23,6,16,2,7,0,10,13,4,24
