category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,2,8,0,3,4,0,2,3,1,2,3,41,1,5,0,3,10,3,3,0,0,7,13,2,5,3,2,6,2,0
autos_and_vehicles,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
business,3,0,0,1,0,0,5,6,2,3,5,4,0,2,4,0,2,8,0,0,2,7,4,3,9,6,3,1,3,3
citizen_journalism,4,0,0,4,4,0,0,3,4,1,5,3,0,7,16,0,17,5,3,0,4,13,5,10,1,2,11,6,0,3
comedy,1,1,0,4,1,7,1,4,13,4,13,24,4,1,0,1,8,14,6,0,0,6,21,3,2,1,0,2,3,1
conferences_and_other_events,0,1,0,0,1,0,1,2,2,6,4,3,1,2,0,0,6,4,0,0,1,11,8,0,7,2,0,4,2,6
default_category,23,16,2,12,16,18,13,23,37,23,32,69,14,32,8,6,25,34,14,2,15,41,43,18,44,30,10,13,14,17
documentary,2,6,0,4,1,4,1,6,5,5,0,12,4,2,1,2,10,5,0,0,3,2,7,10,3,7,1,3,2,1
educational,13,3,1,1,13,1,15,10,4,4,10,11,2,16,2,1,8,31,2,0,6,50,17,11,29,7,0,2,20,6
food_and_drink,3,2,0,2,1,4,3,0,13,2,6,5,0,2,0,0,1,4,1,0,1,1,10,3,9,2,1,1,1,0
gaming,4,3,0,2,5,7,0,3,5,4,2,17,1,2,0,1,5,0,15,0,2,3,9,1,8,3,2,3,1,2
health,0,0,0,0,2,1,1,1,8,1,24,8,0,0,0,0,5,3,0,0,2,23,5,0,2,0,1,1,0,0
literature,0,0,0,14,2,5,0,0,21,1,0,1,4,2,0,0,1,2,0,0,22,0,1,2,2,2,0,0,0,1
movies_and_television,0,2,0,11,3,4,6,10,6,35,17,24,7,1,0,2,9,25,5,0,2,3,53,3,13,0,2,22,5,2
music_and_entertainment,3,39,3,1,4,5,4,13,7,8,1,90,3,6,0,11,4,7,22,0,1,4,41,3,9,11,0,11,7,4
personal_or_auto-biographical,2,4,0,2,1,1,1,2,3,1,0,4,0,2,0,0,0,0,2,0,1,2,4,1,3,10,0,1,1,3
politics,7,0,0,3,16,3,6,1,15,6,169,1,12,4,68,0,56,57,1,0,29,30,2,28,11,3,54,1,2,10
religion,1,2,0,1,0,1,6,9,2,25,4,27,0,1,0,0,15,18,0,0,1,11,24,0,17,11,0,10,76,1
school_and_education,3,0,0,0,2,1,3,2,0,2,0,6,0,1,0,0,2,1,2,0,0,3,14,1,7,0,0,0,2,1
sports,2,4,1,2,4,7,5,3,7,4,12,28,6,5,0,1,7,15,11,0,6,17,23,4,5,6,1,9,2,2
technology,17,11,0,1,12,5,14,15,5,9,30,25,2,17,0,3,18,28,3,0,2,74,21,6,52,10,2,6,10,9
the_environment,1,1,0,1,1,1,15,0,2,0,0,2,0,3,0,0,1,10,0,0,0,3,1,0,1,4,1,0,0,1
the_mainstream_media,1,2,0,0,2,0,13,2,1,1,8,1,1,2,0,2,2,7,1,0,0,22,3,1,6,5,0,3,2,1
travel,3,2,0,1,1,4,2,3,6,0,2,7,0,1,1,0,0,0,2,0,1,1,4,1,0,2,4,1,0,1
videoblogging,4,14,1,10,4,7,3,10,24,5,6,27,9,10,2,5,2,7,12,0,5,7,25,4,12,10,2,7,4,5
web_development_and_sites,4,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,2,2,0,0,11,3,0,6,0,1,1,1,1
