category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59
art,3,7,7,0,2,2,1,0,4,0,1,0,1,2,2,2,0,1,1,0,0,2,0,2,2,6,3,1,2,3,0,0,27,3,0,2,0,1,1,0,1,0,12,0,5,5,1,0,0,1,4,2,0,2,4,1,0,1,4,0
autos_and_vehicles,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business,0,2,0,6,1,0,1,2,1,1,2,2,0,2,1,3,0,1,1,0,3,0,0,0,5,0,3,0,0,1,3,0,1,0,2,2,1,0,4,2,0,0,3,5,4,2,1,2,0,1,2,1,1,0,2,2,3,1,0,3
citizen_journalism,1,1,2,2,6,3,1,5,0,2,2,10,1,1,0,13,0,0,1,0,1,3,0,1,3,0,1,0,0,1,11,0,1,4,0,0,1,3,0,0,0,0,3,1,2,3,2,4,4,0,11,2,3,0,0,1,6,0,8,0
comedy,0,13,7,0,2,0,1,8,1,3,2,0,0,4,1,2,0,0,1,0,1,3,1,3,2,0,3,0,1,1,0,0,15,7,1,0,0,4,2,1,8,0,23,0,6,3,3,2,1,3,1,3,0,0,0,0,0,1,2,0
conferences_and_other_events,1,1,0,2,3,1,1,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,2,0,0,3,3,0,0,0,0,6,4,0,0,1,0,5,4,1,0,1,1,6,0,2,0,3,4,0,3,3,0
default_category,19,17,15,14,7,6,6,18,12,9,18,7,1,13,14,15,1,12,10,2,13,11,5,8,18,13,14,1,3,20,4,1,36,13,2,7,4,23,6,9,18,2,38,7,21,7,15,7,16,13,16,8,8,14,9,9,4,10,10,5
documentary,1,4,2,2,2,2,2,3,0,0,3,0,2,1,0,0,0,1,2,0,1,0,0,1,1,1,3,2,2,3,1,0,7,4,1,4,0,2,0,0,4,0,6,0,0,4,3,4,1,5,2,3,1,3,5,5,0,0,3,0
educational,13,10,5,5,2,3,0,21,5,3,9,0,0,5,7,8,0,30,9,0,3,1,9,6,4,2,11,0,0,5,2,0,5,4,4,2,1,2,18,5,1,1,6,1,12,5,2,9,3,3,11,0,2,4,0,3,1,3,1,9
food_and_drink,0,6,2,0,0,1,0,1,1,1,11,1,0,1,2,11,0,0,0,0,1,1,0,0,1,1,4,0,0,2,0,0,1,3,2,0,0,2,1,0,3,0,3,0,3,0,4,2,1,0,0,1,0,1,0,1,0,2,0,0
gaming,2,5,7,0,1,4,1,0,1,0,5,1,0,0,1,2,0,1,2,0,2,10,0,2,1,1,1,1,0,1,0,0,11,3,1,2,0,5,0,0,7,0,9,0,3,2,0,1,1,0,1,0,3,2,2,2,0,3,0,0
health,0,7,0,1,1,1,0,2,1,18,1,1,0,22,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,7,1,0,0,0,3,1,1,0,0,2,1,1,0,2,0,1,0,3,0,0,0,0,1,0,0,3,1
literature,2,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,8,2,1,2,0,1,0,0,0,20,1,16,10,0,7,0,2,1,0,0,0,0,0
movies_and_television,1,15,6,1,12,1,13,6,1,0,19,1,1,3,0,2,0,0,5,0,0,6,0,4,14,1,7,1,1,0,0,0,8,11,2,0,0,0,2,1,5,0,40,2,15,4,3,2,1,8,2,7,2,0,0,28,0,2,3,3
music_and_entertainment,5,11,20,2,3,2,6,3,2,4,11,0,2,0,2,2,0,0,5,1,4,19,1,2,0,26,3,4,10,5,0,0,44,7,2,0,2,0,1,2,3,3,39,2,4,6,3,3,1,0,0,1,2,7,21,4,0,8,1,1
personal_or_auto-biographical,1,1,3,3,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,0,3,0,1,0,5,1,0,1,1,0,3,0,1,0,2,1,1,0,0,1,2,4,3,0,0,1,0,0
politics,2,2,0,7,2,6,0,19,8,3,3,49,0,133,5,20,0,0,0,0,0,1,2,12,47,0,5,0,0,1,29,0,1,23,4,2,0,15,0,10,1,0,1,7,4,33,5,16,29,12,19,0,0,0,0,3,42,0,10,2
religion,2,2,0,4,5,0,5,11,2,1,19,0,5,0,0,2,0,0,5,0,2,0,62,0,5,5,6,0,0,3,0,0,17,14,1,0,0,1,15,1,0,0,18,3,1,8,0,0,1,0,6,1,0,7,1,11,0,4,4,3
school_and_education,1,3,2,0,1,0,0,1,0,1,1,0,1,0,1,2,0,2,1,0,0,0,1,1,0,0,2,0,0,2,0,0,2,1,0,0,0,0,3,0,1,0,12,0,2,1,0,1,0,0,1,0,1,0,0,1,0,1,1,2
sports,3,9,16,1,6,1,1,3,8,4,4,0,1,4,2,9,0,1,3,3,0,4,1,4,10,8,0,1,1,1,0,0,13,2,0,5,0,1,1,2,5,1,11,1,6,1,2,2,6,4,5,0,2,4,1,3,0,2,6,4
technology,12,8,2,4,7,6,1,16,9,0,10,1,1,14,10,13,0,22,23,1,6,2,3,4,18,7,16,0,1,10,1,0,12,8,10,2,2,2,8,7,4,0,10,0,16,13,1,6,2,2,37,3,2,4,6,7,0,6,6,3
the_environment,2,3,0,3,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,1,3,0,0,0,3,1,11
the_mainstream_media,1,0,0,1,0,1,3,3,24,0,1,0,1,1,1,0,0,0,0,0,1,1,2,1,7,0,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,2,1,9,1,0,1,0,0,6,1,2,1,1,2,0,1,2,3
travel,1,1,2,0,0,0,1,0,0,0,0,4,0,1,1,2,0,0,1,0,1,2,0,1,0,2,1,0,0,0,1,0,5,0,1,0,0,2,0,1,3,0,4,0,1,0,4,1,1,0,1,1,0,1,0,1,0,0,0,1
videoblogging,5,15,15,2,3,2,4,3,1,1,11,2,1,0,3,4,0,1,1,1,5,11,2,2,4,5,9,4,2,3,1,0,15,2,3,1,1,4,3,4,6,1,16,1,6,1,14,1,4,7,3,7,4,3,7,2,0,2,1,1
web_development_and_sites,2,1,1,0,2,0,0,2,1,2,1,1,0,0,4,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
