category,cluster,precision
art,cluster 7,0.1865671641791045
autos_and_vehicles,cluster 34,0.5714285714285714
business,cluster 8,0.09302325581395349
citizen_journalism,cluster 12,0.11450381679389313
comedy,cluster 51,0.1506849315068493
conferences_and_other_events,cluster 20,0.08108108108108109
default_category,cluster 51,0.04969879518072289
documentary,cluster 45,0.05504587155963303
educational,cluster 54,0.13851351351351351
food_and_drink,cluster 20,0.14102564102564102
gaming,cluster 48,0.13636363636363635
health,cluster 13,0.26136363636363635
literature,cluster 24,0.2289156626506024
movies_and_television,cluster 51,0.15808823529411764
music_and_entertainment,cluster 7,0.12111801242236025
personal_or_auto-biographical,cluster 2,0.11764705882352941
politics,cluster 13,0.22521008403361345
religion,cluster 29,0.2585551330798479
school_and_education,cluster 51,0.20754716981132076
sports,cluster 5,0.07035175879396985
technology,cluster 36,0.11056511056511056
the_environment,cluster 10,0.22448979591836735
the_mainstream_media,cluster 36,0.21348314606741572
travel,cluster 39,0.1
videoblogging,cluster 0,0.06995884773662552
web_development_and_sites,cluster 54,0.2631578947368421
