cluster,category,precision
0,citizen_journalism,0.3090128755364807
1,food_and_drink,0.19708029197080293
10,travel,0.2
100,autos_and_vehicles,0.5
101,educational,0.5
102,health,0.6666666666666666
103,food_and_drink,0.3333333333333333
104,web_development_and_sites,1.0
105,comedy,0.2
106,religion,1.0
107,food_and_drink,1.0
108,health,0.5
109,health,1.0
11,travel,0.23529411764705882
110,movies_and_television,0.5
111,literature,0.5
112,travel,0.6666666666666666
113,travel,0.5
114,citizen_journalism,0.5
115,default_category,0.5
116,technology,0.5
117,food_and_drink,0.5
118,citizen_journalism,0.5
119,conferences_and_other_events,1.0
12,school_and_education,0.45454545454545453
120,travel,0.5
121,educational,0.3333333333333333
122,citizen_journalism,0.5
123,travel,1.0
124,autos_and_vehicles,0.5
125,citizen_journalism,0.5
126,autos_and_vehicles,0.5
127,food_and_drink,0.5
128,food_and_drink,0.5
129,autos_and_vehicles,0.5
13,citizen_journalism,0.7
130,comedy,0.3333333333333333
131,videoblogging,0.5
132,art,0.5
133,default_category,0.5
134,conferences_and_other_events,0.5
135,politics,0.5
136,food_and_drink,0.36363636363636365
137,travel,0.375
138,travel,1.0
139,travel,1.0
14,travel,0.21951219512195122
140,travel,1.0
141,videoblogging,1.0
142,food_and_drink,1.0
143,travel,1.0
144,travel,1.0
145,conferences_and_other_events,1.0
146,videoblogging,1.0
147,videoblogging,1.0
148,educational,1.0
149,school_and_education,1.0
15,citizen_journalism,0.42857142857142855
150,travel,1.0
151,web_development_and_sites,1.0
152,food_and_drink,1.0
153,citizen_journalism,0.5
154,default_category,1.0
155,travel,1.0
156,citizen_journalism,1.0
157,sports,1.0
158,videoblogging,1.0
159,citizen_journalism,0.6666666666666666
16,travel,0.2857142857142857
160,travel,1.0
161,autos_and_vehicles,1.0
162,the_mainstream_media,1.0
163,travel,1.0
164,autos_and_vehicles,1.0
165,videoblogging,1.0
166,religion,0.5
167,travel,1.0
168,citizen_journalism,0.3333333333333333
169,food_and_drink,1.0
17,conferences_and_other_events,0.2631578947368421
170,videoblogging,1.0
171,comedy,1.0
172,conferences_and_other_events,0.16666666666666666
173,sports,1.0
174,travel,1.0
175,conferences_and_other_events,1.0
176,videoblogging,1.0
177,autos_and_vehicles,0.2222222222222222
178,videoblogging,1.0
179,autos_and_vehicles,1.0
18,citizen_journalism,0.6153846153846154
180,technology,1.0
181,conferences_and_other_events,1.0
182,sports,1.0
183,food_and_drink,1.0
184,videoblogging,1.0
