category,distance_mean
art,187.2655171388949
movies_and_television,177.89454953327376
web_development_and_sites,191.18165134611436
politics,170.10121848197744
music_and_entertainment,183.17625847716204
technology,196.305586351518
educational,197.77074307288638
religion,171.13634676503682
travel,198.26009158691355
sports,191.43787799831122
the_environment,129.05443509705086
school_and_education,188.7928310251898
health,190.1291358284118
citizen_journalism,188.20423118706123
personal_or_auto-biographical,194.93175347074734
food_and_drink,179.55128094729943
conferences_and_other_events,186.164399931326
gaming,194.0042070673834
literature,193.4574828727563
business,203.96210782428983
the_mainstream_media,179.25779229542513
autos_and_vehicles,160.91982248716823
comedy,182.65038098149932
default_category,198.16371323049165
videoblogging,206.9926294553421
documentary,195.65790357139264
