cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,9,6,1,2,22,26,29,1,4,55,4,47,0,2,15,5,12,3,0,4,4,0,3,64,26,6
1,5,7,1,5,7,1,6,1,4,9,0,0,9,1,1,4,1,5,0,0,0,0,8,14,3,0
10,1,1,0,2,2,1,0,0,1,5,0,1,1,0,1,1,0,2,1,0,0,0,4,5,4,2
11,4,8,0,0,8,7,3,1,3,16,1,2,0,0,2,2,0,8,1,0,1,0,5,13,17,5
12,9,10,1,3,5,13,10,1,8,41,1,8,5,1,10,7,6,7,0,1,5,0,1,24,13,5
13,6,22,2,81,11,19,6,1,3,3,0,1,3,4,0,1,3,2,0,0,5,1,4,30,5,0
14,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,5,0,1
15,0,2,1,17,1,11,2,0,0,2,0,1,1,3,0,0,1,0,21,1,3,0,0,24,5,1
16,2,3,1,29,2,6,3,1,0,1,0,1,0,2,1,1,1,0,14,0,0,0,1,23,4,1
17,10,13,0,3,10,2,3,0,1,8,0,0,2,4,0,2,0,5,0,1,1,0,6,13,4,2
18,4,15,0,11,8,2,5,3,4,8,0,2,8,6,2,3,2,8,0,3,2,1,6,22,12,7
19,1,1,0,30,5,7,7,0,0,0,0,0,0,0,1,4,0,2,5,1,1,0,0,16,6,2
2,3,2,1,0,0,0,1,0,0,7,0,1,1,1,1,0,0,3,0,0,0,0,4,4,4,1
20,6,14,1,2,9,4,7,0,4,16,3,1,2,2,1,5,0,5,2,1,2,0,6,17,14,7
21,7,9,2,80,4,30,10,1,1,5,1,6,2,4,1,1,4,2,1,4,15,2,3,20,5,3
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,6,5,0,0,1,0,0,0,2,6,1,0,3,0,2,0,1,3,0,0,1,0,2,10,2,6
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,3,9,0,4,12,5,6,3,0,26,1,4,1,1,2,2,2,5,1,0,1,0,6,27,16,4
27,7,3,0,0,5,0,4,0,1,12,0,1,5,3,0,1,0,4,0,0,0,0,3,8,7,5
28,3,5,3,25,6,37,16,3,0,5,0,12,1,1,1,1,1,1,1,2,7,1,3,18,4,3
29,3,12,0,4,4,4,1,1,2,7,1,2,4,1,1,3,0,5,0,1,0,0,6,12,2,3
3,5,26,2,21,8,12,11,2,1,18,0,1,6,5,0,4,1,3,0,1,3,0,6,27,14,2
30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,1,1,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,1,2,0
33,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
35,3,4,0,0,1,1,0,0,0,6,4,2,0,0,0,1,0,3,0,0,1,0,3,5,1,5
36,1,20,1,24,8,6,7,1,0,2,4,0,5,4,1,3,2,2,0,2,1,2,3,17,6,1
37,4,6,3,5,6,45,37,11,2,4,0,7,3,5,0,2,5,1,0,13,8,0,0,31,8,1
38,1,3,0,2,6,0,0,0,1,8,0,0,2,1,0,3,0,2,0,0,0,0,2,11,1,3
39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,12,1,11,5,6,4,1,2,11,1,0,0,13,0,2,2,4,0,2,0,0,2,16,6,5
40,1,13,1,33,2,16,5,1,0,0,0,4,0,4,0,1,0,1,0,1,3,0,3,8,2,2
41,2,11,4,4,10,57,33,9,3,1,20,24,4,3,3,1,10,6,0,23,13,0,3,35,11,4
42,2,1,1,20,6,6,5,0,1,2,1,0,0,1,0,1,3,1,6,0,1,0,1,6,3,1
43,3,6,0,0,0,0,2,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,6,3,1,1
44,1,3,0,4,1,8,6,1,0,2,0,47,2,1,0,2,2,1,0,1,3,0,2,7,0,1
5,2,6,5,54,5,30,30,6,1,10,1,9,6,33,3,8,5,3,19,5,2,0,1,53,17,9
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,2,4,2,5,8,14,13,1,0,7,0,72,0,1,0,0,8,0,2,4,1,0,33,18,3,0
8,6,0,1,100,2,21,15,3,0,4,0,2,5,15,1,1,0,2,9,10,2,0,1,31,5,4
9,4,4,1,11,5,2,5,0,1,2,0,0,6,7,1,6,1,4,0,3,1,0,4,18,8,5
