category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,4,0,3,7,5,3,0,0,6,3,1,0,4,2,9,8,7,2,4,6,9,8,8,9,0,3,10,8,0,4
autos_and_vehicles,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1
business,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,16,0,6,27,3,4,5,10,1,0,0,1,5,0,3
citizen_journalism,0,0,1,3,1,0,0,0,4,1,0,1,0,1,7,7,1,36,4,9,2,20,17,1,0,1,4,4,0,6
comedy,5,0,6,3,8,6,0,0,4,6,0,0,7,2,10,5,4,1,36,9,3,6,2,1,0,4,6,3,0,6
conferences_and_other_events,0,0,2,0,1,0,0,0,3,0,0,0,0,0,3,8,1,6,18,3,12,3,1,6,0,0,0,4,0,2
default_category,13,1,27,8,14,3,0,0,30,12,2,0,10,6,31,56,21,77,53,44,64,34,54,24,1,4,13,36,0,22
documentary,5,0,4,5,0,1,0,0,0,3,0,0,7,1,10,5,9,10,4,3,6,10,5,5,0,1,2,5,0,7
educational,3,0,6,4,6,2,0,0,6,1,0,1,0,2,17,59,0,32,46,18,29,9,18,10,0,1,3,17,0,5
food_and_drink,2,0,2,1,4,0,0,0,1,3,0,0,2,0,7,5,3,8,1,7,5,8,2,7,0,0,2,5,0,3
gaming,8,0,5,4,5,0,1,1,2,5,1,0,5,4,7,3,5,3,6,5,3,8,2,7,0,3,5,4,0,8
health,0,0,1,5,9,0,0,0,3,4,0,0,1,0,2,6,5,7,4,11,0,6,5,5,0,1,2,2,0,8
literature,1,0,1,0,0,0,0,0,0,0,0,0,1,0,8,1,0,40,2,0,0,0,23,0,0,0,0,6,0,0
movies_and_television,8,0,9,3,7,6,0,1,22,12,0,1,5,1,28,14,8,8,15,46,6,16,3,10,0,2,13,10,0,15
music_and_entertainment,16,0,26,12,9,6,0,0,3,7,3,0,11,3,18,11,14,12,8,20,55,13,5,41,0,7,8,5,0,8
personal_or_auto-biographical,2,0,2,0,1,0,0,0,0,1,0,0,1,0,1,1,2,3,3,1,15,1,2,10,0,1,0,2,0,2
politics,0,0,4,0,5,0,0,0,81,4,0,0,2,0,55,34,2,71,9,45,2,22,129,3,0,0,3,110,0,11
religion,2,0,4,1,0,1,0,0,1,2,0,0,3,0,5,66,0,10,96,1,47,0,3,8,0,1,0,6,0,2
school_and_education,1,0,3,0,1,0,0,0,1,1,0,0,0,0,1,15,0,6,10,3,1,1,4,1,0,0,0,1,0,3
sports,8,0,12,5,7,0,0,0,11,4,0,0,3,4,17,13,7,6,18,16,22,10,4,5,0,0,10,9,0,8
technology,7,0,5,0,1,0,0,0,19,4,0,0,2,1,26,90,0,41,71,18,26,8,27,13,0,0,2,37,1,2
the_environment,1,0,1,0,0,1,0,0,0,1,4,0,4,0,4,0,1,1,20,4,4,1,0,1,0,0,0,1,0,0
the_mainstream_media,1,0,1,0,0,0,0,0,5,0,0,0,1,0,6,18,1,5,14,4,4,1,2,5,0,0,1,16,0,2
travel,3,0,0,1,4,0,0,0,3,2,0,0,1,0,5,2,3,1,3,1,4,3,0,8,0,0,1,1,0,4
videoblogging,17,0,16,7,3,1,0,0,5,2,0,1,5,2,19,12,3,22,14,20,26,14,9,13,0,4,4,11,0,12
web_development_and_sites,0,0,0,0,1,0,0,0,2,0,1,0,0,0,3,6,0,6,6,3,1,2,2,1,0,1,0,2,0,0
