category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,4,0,3,7,5,3,0,0,6,3,6,4,7,9,9,8,8,3,4,6,2,8,0,9,0,1,10,2,0,4,0,0,0,1,1
autos_and_vehicles,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
business,0,0,0,0,0,1,0,0,0,1,3,0,0,2,4,16,5,0,27,10,5,5,0,1,1,0,1,0,0,3,0,0,0,0,0
citizen_journalism,0,0,1,3,1,0,0,0,4,1,9,0,1,7,2,7,4,1,4,15,33,20,1,1,3,0,4,2,0,6,0,0,0,0,1
comedy,5,0,6,3,8,6,0,0,4,6,9,7,4,10,3,5,3,4,36,1,1,6,0,1,0,1,6,1,0,6,0,0,0,0,1
conferences_and_other_events,0,0,2,0,1,0,0,0,3,0,3,0,1,3,12,8,4,0,18,0,5,3,0,6,1,0,0,1,0,2,0,0,0,0,0
default_category,13,1,27,8,14,3,0,0,30,12,44,10,21,31,64,56,36,4,53,31,53,34,0,24,24,5,13,23,0,22,1,0,2,0,1
documentary,5,0,4,5,0,1,0,0,0,3,3,7,9,10,6,5,5,1,4,4,9,10,0,5,1,1,2,1,0,7,0,0,0,0,0
educational,3,0,6,4,6,2,0,0,6,1,18,0,0,17,29,59,17,1,46,15,30,9,0,10,2,1,3,3,0,5,0,1,0,0,1
food_and_drink,2,0,2,1,4,0,0,0,1,3,7,2,3,7,5,5,5,0,1,1,8,8,0,7,0,0,2,1,0,3,0,0,0,0,0
gaming,8,0,5,4,5,0,1,1,2,5,5,5,5,7,3,3,4,3,6,2,3,8,0,7,0,2,5,0,0,8,0,0,0,1,2
health,0,0,1,5,9,0,0,0,3,4,11,1,5,2,0,6,2,1,4,5,6,6,0,5,1,0,2,0,0,8,0,0,0,0,0
literature,1,0,1,0,0,0,0,0,0,0,0,1,0,8,0,1,6,0,2,9,19,0,0,0,21,0,0,14,0,0,0,0,0,0,0
movies_and_television,8,0,9,3,7,6,0,1,22,12,46,5,8,28,6,14,10,2,15,0,6,16,0,10,2,0,13,3,0,15,0,1,0,0,1
music_and_entertainment,16,0,26,12,9,6,0,0,3,7,20,11,14,18,55,11,5,7,8,4,10,13,0,41,2,1,8,1,0,8,0,0,2,1,2
personal_or_auto-biographical,2,0,2,0,1,0,0,0,0,1,1,1,2,1,15,1,2,1,3,1,3,1,0,10,0,0,0,1,0,2,0,0,0,0,0
politics,0,0,4,0,5,0,0,0,81,4,45,2,2,55,2,34,110,0,9,100,54,22,0,3,17,0,3,29,0,11,0,0,0,0,0
religion,2,0,4,1,0,1,0,0,1,2,1,3,0,5,47,66,6,1,96,2,9,0,0,8,1,0,0,1,0,2,0,0,0,0,0
school_and_education,1,0,3,0,1,0,0,0,1,1,3,0,0,1,1,15,1,0,10,3,6,1,0,1,0,0,0,1,0,3,0,0,0,0,0
sports,8,0,12,5,7,0,0,0,11,4,16,3,7,17,22,13,9,0,18,2,5,10,0,5,1,3,10,2,0,8,0,0,0,0,1
technology,7,0,5,0,1,0,0,0,19,4,18,2,0,26,26,90,37,0,71,21,30,8,0,13,11,0,2,6,1,2,0,0,0,0,1
the_environment,1,0,1,0,0,1,0,0,0,1,4,4,1,4,4,0,1,0,20,0,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0
the_mainstream_media,1,0,1,0,0,0,0,0,5,0,4,1,1,6,4,18,16,0,14,2,2,1,0,5,3,0,1,0,0,2,0,0,0,0,0
travel,3,0,0,1,4,0,0,0,3,2,1,1,3,5,4,2,1,0,3,0,1,3,0,8,0,0,1,0,0,4,0,0,0,0,0
videoblogging,17,0,16,7,3,1,0,0,5,2,20,5,3,19,26,12,11,4,14,5,17,14,1,13,5,0,4,4,0,12,0,0,0,0,2
web_development_and_sites,0,0,0,0,1,0,0,0,2,0,3,0,0,3,1,6,2,1,6,1,5,2,0,1,1,0,0,1,0,0,0,0,1,0,0
