cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
0,1,0,1,4,3,11,3,3,2,1,1,2,0,1,0,3,0,2,0,2,0,0,2,22,5,0
1,3,1,0,5,9,5,2,1,1,3,0,0,1,6,1,9,1,1,1,0,0,1,2,13,6,2
10,5,1,0,0,6,5,2,0,1,23,1,3,0,0,0,1,0,2,0,0,1,0,0,11,7,1
11,0,0,0,2,1,0,2,0,0,0,1,2,1,2,0,0,1,0,1,1,1,0,0,5,2,0
12,0,11,0,4,6,10,9,4,0,5,0,26,0,1,1,5,4,1,0,1,1,0,1,13,8,0
13,12,24,0,2,8,6,5,3,2,20,0,3,0,2,2,1,1,3,1,1,1,0,9,28,9,2
14,1,10,3,7,3,15,13,3,2,4,0,3,2,2,1,5,4,3,0,5,3,0,5,17,7,1
15,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,1,1
16,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
17,3,1,0,4,2,6,0,1,0,0,0,5,4,7,0,0,2,0,0,1,1,0,1,13,0,2
18,0,0,3,6,1,29,17,0,0,2,1,5,2,2,0,0,1,3,0,3,0,1,3,10,1,1
19,0,2,0,2,2,2,3,0,0,4,0,2,0,0,0,0,0,1,1,0,1,0,0,3,0,0
2,0,2,1,24,2,6,5,1,1,1,0,0,0,11,1,5,0,0,1,2,1,0,1,9,2,4
20,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1
21,1,12,0,0,4,3,4,1,0,10,0,7,1,0,1,6,2,2,0,4,2,0,6,9,7,4
22,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,0
23,1,0,3,9,7,8,10,1,2,3,1,1,18,2,1,2,0,1,0,1,17,4,4,18,1,0
24,4,0,0,1,2,9,0,1,0,4,1,2,1,1,2,3,2,1,0,1,1,0,4,12,1,2
25,5,6,0,2,9,8,11,4,2,11,0,2,8,0,1,3,0,4,0,0,0,0,4,12,15,3
26,3,3,5,3,0,23,16,5,1,3,0,5,0,0,0,3,5,2,1,3,2,0,4,12,3,1
27,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,1
28,0,1,0,0,0,5,8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1
29,2,1,0,0,4,10,4,1,2,12,4,5,0,0,4,2,3,2,1,0,1,0,2,17,6,2
3,2,3,0,13,3,8,8,0,1,2,1,0,2,5,1,1,1,6,2,0,2,0,0,9,1,4
30,0,0,1,12,5,3,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,2,8,0,1
31,3,1,2,5,11,1,4,2,2,6,0,1,0,3,3,1,0,7,0,0,1,0,7,15,12,0
32,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,6,1,0
33,1,1,3,0,2,9,25,1,0,3,0,64,0,1,0,1,6,0,1,2,1,0,3,12,2,1
34,2,0,3,1,0,9,13,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,10,3,1
35,0,0,0,20,2,1,1,0,0,1,0,1,0,5,0,0,0,0,0,3,0,0,0,3,2,0
36,0,0,0,0,1,3,0,0,0,3,1,0,0,0,3,0,1,0,0,1,3,0,0,5,1,2
37,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,6,4,1
38,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
39,1,5,0,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,4,3
4,4,16,2,5,5,6,3,2,2,9,0,10,1,8,0,2,4,1,0,0,1,0,1,9,5,4
40,0,2,0,9,1,7,4,0,1,3,0,1,1,1,1,0,3,3,1,0,0,0,1,11,6,0
41,1,1,0,4,0,2,3,0,0,1,0,0,0,1,2,1,1,0,10,0,0,0,0,5,1,0
42,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
43,1,0,0,4,3,7,2,1,0,6,0,4,1,1,2,1,0,2,0,5,2,0,1,9,4,2
44,2,1,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,2,2,3,0
