category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25
art,0,0,4,1,5,8,52,13,1,0,1,5,0,4,4,10,2,0,2,5,2,10,2,0,3,0
autos_and_vehicles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0
business,0,2,1,2,4,10,4,19,3,9,3,5,6,1,0,5,0,3,2,0,0,6,1,0,0,0
citizen_journalism,0,11,0,1,4,5,5,13,1,30,3,9,0,5,1,14,1,1,0,7,5,11,3,0,1,0
comedy,0,1,2,2,4,9,37,32,2,0,3,7,1,9,2,8,0,0,0,2,0,9,13,0,3,0
conferences_and_other_events,0,0,4,0,2,2,5,12,8,0,8,7,1,0,0,11,0,1,0,1,1,11,0,0,0,0
default_category,2,9,30,27,30,25,104,97,28,17,29,22,9,33,17,36,6,16,11,23,9,54,18,2,8,2
documentary,0,4,3,0,4,3,19,13,5,1,1,9,1,3,6,9,3,4,3,3,4,2,6,2,1,0
educational,0,5,5,7,7,14,15,70,13,3,9,7,13,5,3,30,1,9,4,15,8,50,1,0,1,1
food_and_drink,0,5,3,3,3,4,5,15,5,0,1,8,2,1,1,1,2,1,0,9,1,5,3,0,0,0
gaming,0,0,4,2,2,5,25,12,1,1,4,3,1,9,1,4,2,2,2,2,6,4,6,0,12,0
health,0,0,0,0,1,1,8,39,1,2,1,2,2,2,0,4,0,0,0,1,2,22,0,0,0,0
literature,0,1,2,0,0,0,3,6,0,0,12,0,0,32,12,1,0,0,2,1,2,1,8,0,0,0
movies_and_television,0,2,1,0,0,31,56,37,48,3,4,32,5,3,11,8,2,1,2,1,3,6,11,1,4,0
music_and_entertainment,0,1,18,2,8,10,137,20,11,1,4,21,5,8,6,8,6,6,4,4,2,7,5,4,21,3
personal_or_auto-biographical,0,1,6,1,5,4,7,2,1,0,4,1,0,4,0,0,1,8,0,2,1,1,2,0,0,0
politics,0,24,0,6,1,27,4,222,8,140,25,5,4,21,5,46,3,0,5,6,13,28,1,0,1,0
religion,0,0,13,2,4,9,36,31,42,2,1,19,3,1,0,79,6,0,2,1,0,11,1,0,0,0
school_and_education,0,1,1,3,2,2,12,8,4,0,1,3,2,2,0,3,1,0,0,1,0,7,0,0,0,0
sports,0,2,6,3,4,13,35,34,8,8,6,10,3,13,3,5,1,1,6,9,3,16,5,1,3,1
technology,0,6,12,15,13,28,30,94,15,3,12,10,14,3,3,30,2,13,4,14,8,71,5,0,2,0
the_environment,0,0,5,1,3,1,3,12,0,0,1,0,13,0,1,0,0,1,0,1,1,4,2,0,0,0
the_mainstream_media,0,1,2,1,2,9,3,14,1,0,2,5,3,1,1,5,0,3,2,0,2,29,1,0,2,0
travel,0,1,4,2,0,3,9,4,1,5,1,2,1,4,0,0,0,0,0,2,1,4,5,0,1,0
videoblogging,0,2,9,7,4,13,43,32,11,6,8,14,5,22,16,4,4,8,1,9,1,6,8,1,8,1
web_development_and_sites,0,1,0,3,1,0,0,7,0,1,1,2,0,3,0,3,0,0,0,3,0,11,2,0,0,0
