category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29
art,0,0,7,0,4,1,5,8,44,1,0,5,10,4,1,0,0,6,4,2,2,8,2,5,2,10,0,0,3,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0
business,0,2,11,3,1,2,4,10,3,2,1,5,5,1,3,3,6,8,0,1,0,1,2,0,0,6,6,0,0,0
citizen_journalism,0,11,9,14,0,1,4,5,5,0,1,9,14,5,3,1,0,4,1,3,1,0,0,7,5,11,16,0,1,0
comedy,0,1,20,0,2,2,4,9,35,1,1,7,8,9,3,0,1,12,2,13,0,2,0,2,0,9,0,0,3,0
conferences_and_other_events,0,0,7,0,4,0,2,2,4,3,5,7,11,0,8,1,1,5,0,0,0,1,0,1,1,11,0,0,0,0
default_category,2,9,58,7,30,27,30,25,87,9,19,22,36,33,29,16,9,39,17,18,6,17,11,23,9,54,10,2,8,2
documentary,0,4,8,1,3,0,4,3,13,5,0,9,9,3,1,4,1,5,6,6,3,6,3,3,4,2,0,2,1,0
educational,0,5,29,1,5,7,7,14,13,4,9,7,30,5,9,9,13,41,3,1,1,2,4,15,8,50,2,0,1,1
food_and_drink,0,5,7,0,3,3,3,4,4,0,5,8,1,1,1,1,2,8,1,3,2,1,0,9,1,5,0,0,0,0
gaming,0,0,2,1,4,2,2,5,21,0,1,3,4,9,4,2,1,10,1,6,2,4,2,2,6,4,0,0,12,0
health,0,0,27,2,0,0,1,1,8,1,0,2,4,2,1,0,2,12,0,0,0,0,0,1,2,22,0,0,0,0
literature,0,1,6,0,2,0,0,0,2,0,0,0,1,32,12,0,0,0,12,8,0,1,2,1,2,1,0,0,0,0
movies_and_television,0,2,21,3,1,0,0,31,54,37,11,32,8,3,4,1,5,16,11,11,2,2,2,1,3,6,0,1,4,0
music_and_entertainment,0,1,3,0,18,2,8,10,95,6,5,21,8,8,4,6,5,17,6,5,6,42,4,4,2,7,1,4,21,3
personal_or_auto-biographical,0,1,0,0,6,1,5,4,5,0,1,1,0,4,4,8,0,2,0,2,1,2,0,2,1,1,0,0,0,0
politics,0,24,207,70,0,6,1,27,4,1,7,5,46,21,25,0,4,15,5,1,3,0,5,6,13,28,70,0,1,0
religion,0,0,21,1,13,2,4,9,32,4,38,19,79,1,1,0,3,10,0,1,6,4,2,1,0,11,1,0,0,0
school_and_education,0,1,1,0,1,3,2,2,12,0,4,3,3,2,1,0,2,7,0,0,1,0,0,1,0,7,0,0,0,0
sports,0,2,21,6,6,3,4,13,29,2,6,10,5,13,6,1,3,13,3,5,1,6,6,9,3,16,2,1,3,1
technology,0,6,42,2,12,15,13,28,23,5,10,10,30,3,12,13,14,52,3,5,2,7,4,14,8,71,1,0,2,0
the_environment,0,0,11,0,5,1,3,1,0,0,0,0,0,0,1,1,13,1,1,2,0,3,0,1,1,4,0,0,0,0
the_mainstream_media,0,1,11,0,2,1,2,9,2,0,1,5,5,1,2,3,3,3,1,1,0,1,2,0,2,29,0,0,2,0
travel,0,1,0,5,4,2,0,3,8,1,0,2,0,4,1,0,1,4,0,5,0,1,0,2,1,4,0,0,1,0
videoblogging,0,2,9,4,9,7,4,13,32,2,9,14,4,22,8,8,5,23,16,8,4,11,1,9,1,6,2,1,8,1
web_development_and_sites,0,1,1,1,0,3,1,0,0,0,0,2,3,3,1,0,0,6,0,2,0,0,0,3,0,11,0,0,0,0
