category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34
art,0,0,0,0,4,1,5,8,44,1,0,10,2,6,5,4,0,2,3,0,2,8,1,7,2,10,1,0,3,0,3,0,2,0,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
business,0,2,1,3,1,2,4,10,3,2,3,5,1,8,4,0,6,2,0,6,0,1,2,11,0,6,1,1,0,0,0,1,0,0,0
citizen_journalism,0,11,1,14,0,1,4,5,5,0,1,14,3,4,8,1,0,0,1,16,1,0,2,9,5,11,2,1,6,0,3,1,1,0,0
comedy,0,1,1,0,2,2,4,9,35,1,0,8,13,12,7,2,1,0,3,0,0,2,3,20,0,9,2,0,2,0,7,0,0,0,0
conferences_and_other_events,0,0,4,0,4,0,2,2,4,3,1,11,0,5,6,0,1,0,0,0,0,1,6,7,1,11,0,2,1,0,0,1,0,0,1
default_category,2,9,13,7,30,27,30,25,87,9,16,36,18,39,18,17,9,11,8,10,6,17,24,58,9,54,18,5,13,2,15,4,10,2,6
documentary,0,4,0,1,3,0,4,3,13,5,4,9,6,5,8,6,1,3,1,0,3,6,1,8,4,2,3,0,2,0,0,1,1,2,0
educational,0,5,9,1,5,7,7,14,13,4,9,30,1,41,7,3,13,4,1,2,1,2,7,29,8,50,1,2,2,1,4,0,13,0,0
food_and_drink,0,5,5,0,3,3,3,4,4,0,1,1,3,8,8,1,2,0,0,0,2,1,1,7,1,5,0,0,9,0,1,0,0,0,0
gaming,0,0,1,1,4,2,2,5,21,0,2,4,6,10,3,1,1,2,12,0,2,4,3,2,6,4,2,1,1,0,7,0,1,0,0
health,0,0,0,2,0,0,1,1,8,1,0,4,0,12,2,0,2,0,0,0,0,0,1,27,2,22,2,0,1,0,0,0,0,0,0
literature,0,1,0,0,2,0,0,0,2,0,0,1,8,0,0,12,0,2,0,0,0,1,12,6,2,1,32,0,1,0,0,0,0,0,0
movies_and_television,0,2,11,3,1,0,0,31,54,37,1,8,11,16,28,11,5,2,4,0,2,2,3,21,3,6,2,1,1,0,1,4,0,1,0
music_and_entertainment,0,1,5,0,18,2,8,10,95,6,6,8,5,17,19,6,5,4,21,1,6,42,4,3,2,7,2,0,3,3,6,2,1,4,0
personal_or_auto-biographical,0,1,1,0,6,1,5,4,5,0,8,0,2,2,1,0,0,0,0,0,1,2,3,0,1,1,1,1,1,0,3,0,1,0,0
politics,0,24,4,70,0,6,1,27,4,1,0,46,1,15,5,5,4,5,1,70,3,0,25,207,13,28,16,0,5,0,5,0,1,0,3
religion,0,0,26,1,13,2,4,9,32,4,0,79,1,10,17,0,3,2,0,1,6,4,1,21,0,11,0,0,0,0,1,2,1,0,12
school_and_education,0,1,4,0,1,3,2,2,12,0,0,3,0,7,3,0,2,0,0,0,1,0,0,1,0,7,0,1,1,0,2,0,0,0,0
sports,0,2,6,6,6,3,4,13,29,2,1,5,5,13,9,3,3,6,3,2,1,6,6,21,3,16,2,0,9,1,11,1,0,1,0
technology,0,6,10,2,12,15,13,28,23,5,13,30,5,52,9,3,14,4,2,1,2,7,12,42,8,71,2,0,5,0,1,1,9,0,0
the_environment,0,0,0,0,5,1,3,1,0,0,1,0,2,1,0,1,13,0,0,0,0,3,0,11,1,4,0,1,0,0,0,0,1,0,0
the_mainstream_media,0,1,1,0,2,1,2,9,2,0,3,5,1,3,3,1,3,2,2,0,0,1,0,11,2,29,0,2,0,0,1,2,0,0,0
travel,0,1,0,5,4,2,0,3,8,1,0,0,5,4,2,0,1,0,1,0,0,1,1,0,1,4,2,0,1,0,2,0,1,0,0
videoblogging,0,2,8,4,9,7,4,13,32,2,8,4,8,23,12,16,5,1,8,2,4,11,7,9,1,6,10,1,6,1,12,2,3,1,1
web_development_and_sites,0,1,0,1,0,3,1,0,0,0,0,3,2,6,2,0,0,0,0,0,0,0,1,1,0,11,1,0,0,0,2,0,3,0,0
