category,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39,cluster 40,cluster 41,cluster 42,cluster 43,cluster 44,cluster 45,cluster 46,cluster 47,cluster 48,cluster 49,cluster 50,cluster 51,cluster 52,cluster 53,cluster 54,cluster 55,cluster 56,cluster 57,cluster 58,cluster 59,cluster 60,cluster 61,cluster 62,cluster 63,cluster 64,cluster 65,cluster 66,cluster 67,cluster 68,cluster 69
art,0,0,1,0,1,2,2,1,0,0,2,1,6,0,6,0,0,4,5,3,0,0,1,1,1,1,1,2,1,0,2,0,1,3,1,2,0,2,4,0,1,0,1,2,1,6,0,0,7,0,5,12,0,0,1,3,0,0,0,3,0,0,0,0,2,1,0,0,32,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
business,0,0,0,3,5,1,1,0,2,1,1,0,2,0,4,0,3,1,0,3,0,1,4,0,1,6,3,0,0,0,0,0,0,0,2,0,2,0,0,1,2,0,1,2,0,2,0,0,5,1,0,1,1,0,5,1,0,0,3,0,2,2,1,3,0,2,0,0,2,3
citizen_journalism,0,1,0,0,1,0,0,0,11,3,3,1,9,0,5,0,0,1,0,0,0,1,0,0,2,2,3,0,1,0,0,1,1,6,1,5,11,0,8,1,0,0,2,0,0,6,0,0,4,2,0,2,1,1,2,7,0,0,2,3,0,0,0,5,1,1,0,0,3,11
comedy,0,0,0,1,1,0,2,1,0,0,3,0,1,0,11,0,0,4,4,4,0,0,6,0,4,9,0,2,1,0,2,1,0,2,2,0,1,0,1,0,1,10,2,0,1,4,0,0,8,0,0,9,1,0,5,1,0,0,3,7,2,0,0,0,0,3,0,0,26,0
conferences_and_other_events,0,0,1,1,0,1,0,0,0,0,0,0,6,1,5,0,0,2,0,5,0,0,2,0,0,1,0,0,0,0,3,3,1,1,0,1,0,0,4,2,3,0,0,0,0,3,0,0,2,1,0,1,4,0,4,2,0,0,1,0,2,0,1,0,0,6,0,1,3,0
default_category,1,1,1,6,9,13,5,8,5,2,9,2,24,3,27,3,3,12,12,12,2,1,9,1,18,26,18,2,6,4,17,11,5,13,22,9,9,2,9,5,9,7,18,8,6,11,2,5,16,5,11,28,13,1,17,13,2,3,10,15,8,6,5,3,10,12,1,6,59,7
documentary,0,0,3,1,2,1,2,2,0,1,1,1,1,0,6,0,0,2,3,1,1,1,4,0,0,2,2,0,1,1,2,0,0,2,0,4,4,2,4,0,5,4,3,3,3,6,0,0,1,0,1,2,0,1,1,2,2,0,1,0,1,1,2,0,1,1,0,0,11,0
educational,0,0,0,4,2,1,0,2,0,1,0,0,24,0,18,0,9,0,11,16,0,0,4,0,10,9,7,1,0,8,4,4,3,2,3,8,5,1,3,2,4,1,1,1,1,5,1,4,12,2,2,5,9,0,13,0,0,3,17,4,0,1,0,1,13,25,0,0,8,1
food_and_drink,0,0,0,2,1,1,0,0,0,0,1,1,0,0,4,0,0,3,3,3,0,0,6,0,2,3,0,0,0,0,2,0,1,9,3,1,5,2,2,0,0,2,0,0,0,0,0,0,3,0,1,1,5,0,5,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0
