cluster,art,autos_and_vehicles,business,citizen_journalism,comedy,conferences_and_other_events,default_category,documentary,educational,food_and_drink,gaming,health,literature,movies_and_television,music_and_entertainment,personal_or_auto-biographical,politics,religion,school_and_education,sports,technology,the_environment,the_mainstream_media,travel,videoblogging,web_development_and_sites
-1,43,78,5,56,49,66,67,3,17,91,16,36,18,26,12,27,16,48,12,18,16,1,50,184,76,45
0,67,154,27,301,116,299,195,46,28,191,33,221,48,55,36,43,53,46,26,54,68,6,78,360,137,50
1,9,9,0,2,4,0,3,1,1,16,0,0,0,1,0,1,0,5,0,0,0,0,4,13,5,3
10,0,0,1,118,0,3,2,0,0,0,0,0,0,21,0,0,0,0,0,7,0,0,0,11,2,0
11,0,0,0,5,0,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
13,4,4,0,0,4,0,1,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,1,8,2,1
14,2,0,0,1,3,2,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
15,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1
16,0,1,0,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,1
17,0,0,0,0,1,0,2,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0
18,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1
19,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,18,0,3,2,2,0,0,0,0,1,10,0,0,1,0,3,2,0,0,0,6,1,0
20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
21,0,0,0,0,1,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0
22,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0
25,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0
26,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0
3,0,2,0,1,0,2,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0
30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
32,0,1,0,2,3,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
33,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
34,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
35,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
37,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0
4,2,6,2,55,7,18,9,1,0,3,0,1,0,6,1,1,3,0,39,1,2,0,1,42,10,3
5,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
8,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
9,0,0,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
