category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36,cluster 37,cluster 38,cluster 39
art,0,0,0,0,0,0,0,0,0,0,0,8,8,0,3,0,1,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
business,0,0,0,0,1,0,0,0,0,0,1,30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,0,0,43,0
citizen_journalism,1,1,0,0,6,5,4,1,1,0,0,8,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,79,0
comedy,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,0
conferences_and_other_events,0,0,0,1,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
default_category,1,9,0,0,2,0,1,1,3,1,0,57,14,4,2,1,5,10,2,3,1,0,2,4,1,1,1,2,1,7,1,2,0,1,1,0,0,0,0,519,0
documentary,1,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,97,0
educational,0,1,2,1,0,0,0,0,0,0,0,36,5,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,243,0
food_and_drink,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0
gaming,0,0,1,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,88,0
health,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,68,0
literature,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,6,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,1,0,0,0,55,1
movies_and_television,0,1,0,1,0,0,0,1,9,8,0,6,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0
music_and_entertainment,1,12,0,0,0,0,0,1,0,0,0,5,46,1,2,0,0,1,1,0,0,0,1,8,1,1,0,0,0,0,0,2,0,0,2,1,5,0,0,230,0
personal_or_auto-biographical,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
politics,4,0,0,7,21,1,6,1,0,0,4,169,1,6,0,3,1,34,1,3,0,0,0,0,0,0,2,0,1,68,15,0,0,0,0,2,0,5,4,233,0
religion,0,1,2,0,0,0,0,0,0,0,0,38,7,0,0,0,0,0,0,0,3,0,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,169,0
school_and_education,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
sports,0,3,0,3,0,0,0,0,0,0,0,25,21,1,1,0,0,1,0,0,2,0,0,3,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,133,0
technology,0,1,0,1,0,0,0,0,0,0,0,86,2,1,0,0,4,6,1,2,1,8,5,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,278,2
the_environment,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
the_mainstream_media,0,0,0,0,0,0,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,0
travel,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,37,0
videoblogging,0,1,0,0,0,0,0,0,0,0,0,11,8,2,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,211,0
web_development_and_sites,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0
