category,cluster -1,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,cluster 14,cluster 15,cluster 16,cluster 17,cluster 18,cluster 19,cluster 20,cluster 21,cluster 22,cluster 23,cluster 24,cluster 25,cluster 26,cluster 27,cluster 28,cluster 29,cluster 30,cluster 31,cluster 32,cluster 33,cluster 34,cluster 35,cluster 36
art,0,0,0,0,0,0,0,0,0,1,13,11,0,0,0,1,0,8,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,94,0
autos_and_vehicles,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
business,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,1,0,0,0,0,0,0,0,5,1,2,1,0,0,0,0,0,0,0,0,0,40,0
citizen_journalism,0,0,0,1,2,0,0,0,2,0,10,1,0,0,0,4,3,0,0,0,0,0,0,11,6,7,0,7,1,4,1,0,0,0,0,0,71,0
comedy,0,0,0,0,0,0,0,0,0,0,41,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
conferences_and_other_events,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
default_category,1,0,0,3,1,0,0,1,1,2,83,28,2,1,2,28,1,6,5,0,2,1,0,7,2,1,3,1,1,1,0,2,0,0,1,1,472,0
documentary,0,0,0,0,1,0,0,0,0,0,5,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0
educational,1,1,1,0,0,0,1,1,0,1,64,6,0,0,1,4,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,208,0
food_and_drink,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0
gaming,0,0,0,0,0,0,0,1,0,0,9,10,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,82,0
health,5,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,62,0
literature,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,0
movies_and_television,0,0,0,14,0,0,0,0,12,0,13,1,0,1,0,3,0,3,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,218,0
music_and_entertainment,0,0,0,0,1,0,0,2,0,0,12,72,1,4,2,3,0,21,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,2,0,194,0
personal_or_auto-biographical,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
politics,0,0,0,0,4,9,0,0,0,0,196,1,1,0,0,55,3,0,1,0,0,1,0,69,21,15,3,1,1,6,5,0,4,6,0,0,185,5
religion,0,0,0,0,0,0,0,0,0,0,114,10,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,126,0
school_and_education,0,1,3,0,0,0,1,0,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0
sports,3,0,0,0,0,0,0,0,0,0,37,24,0,1,1,6,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0
technology,0,4,0,0,0,1,1,0,0,0,147,4,1,0,0,12,0,1,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,222,0
the_environment,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
the_mainstream_media,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,0
travel,0,0,0,0,0,0,0,0,0,1,6,7,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
videoblogging,0,0,0,0,0,0,0,1,0,0,19,13,0,1,1,8,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,188,0
web_development_and_sites,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0
